Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2011-03-09,England,Riverside Ground,c S R Patel b S C J Broad,40,90.91,0,0,0.0,0.0,0.0,23,S C J Broad,0,England
2011-09-09,England,Kennington Oval,c I J L Trott b J M Anderson,0,0.0,0,0,0.0,0.0,0.0,23,J M Anderson,London,England
2011-11-09,England,Lord's,lbw b S C J Broad,38,71.7,0,0,0.0,0.0,0.0,23,S C J Broad,London,England
2011-10-14,England,Rajiv Gandhi International Stadium,st C Kieswetter b G P Swann,15,36.59,0,0,0.0,0.0,0.0,23,G P Swann,Hyderabad,India
2011-10-17,England,Feroz Shah Kotla,c J W Dernbach b T T Bresnan,14,93.33,0,0,0.0,0.0,0.0,23,T T Bresnan,Delhi,India
2013-06-01,Pakistan,Feroz Shah Kotla,c †Kamran Akmal b Mohammad Irfan,4,36.36,1,5,0.0,0.0,0.0,24,Mohammad Irfan,Delhi,India
2011-10-20,England,Punjab Cricket Association IS Bindra Stadium,c A N Cook b S T Finn,91,87.5,0,0,0.0,0.0,0.0,23,S T Finn,"Mohali, Chandigarh",India
2011-10-25,England,Eden Gardens,c †C Kieswetter b T T Bresnan,42,68.85,1,1,0.0,0.0,0.0,23,T T Bresnan,Kolkata,India
2011-11-12,West Indies,MA Chidambaram Stadium,lbw b K A J Roach,0,0.0,2,3,0.0,0.0,0.0,23,K A J Roach,Chennai,India
2012-04-08,Sri Lanka,Pallekele International Cricket Stadium,lbw b N L T C Perera,9,52.94,1,4,0.0,0.0,0.0,24,N L T C Perera,"Pallekele, Kandy",Sri Lanka
2013-11-01,England,Saurashtra Cricket Association Stadium,c J W Dernbach b J C Tredwell,47,82.46,1,6,0.0,0.0,0.0,24,J C Tredwell,"Khandheri, Rajkot",India
