Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2017-06-23,Sri Lanka,Harare Sports Club,c & b T Thushara,38.0,0.0,0,0,0.0,0.0,0.0,23,T Thushara,Harare,Zimbabwe
2017-06-25,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,,0.0,0,0,0.0,0.0,0.0,24,0,Visakhapatnam,India
2018-07-17,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,,0.0,1,4,0.0,0.0,0.0,25,0,Visakhapatnam,India
2017-06-30,New Zealand,Nehru Stadium (Guwahati),c & b A J McKay,0.0,0.0,0,0,0.0,0.0,0.0,24,A J McKay,Guwahati,India
2017-02-07,New Zealand,Sawai Mansingh Stadium,did not bat,,33.33,0,0,0.0,0.0,0.0,24,0,Jaipur,India
2017-06-07,New Zealand,Reliance Stadium,did not bat,,0.0,0,0,0.0,0.0,0.0,24,0,Vadodara,India
2017-08-31,New Zealand,M Chinnaswamy Stadium,did not bat,,0.0,0,0,0.0,0.0,0.0,24,0,"Bengaluru, Bangalore",India
2017-03-09,New Zealand,MA Chidambaram Stadium,did not bat,,0.0,0,0,0.0,0.0,0.0,24,0,Chennai,India
2017-09-17,West Indies,MA Chidambaram Stadium,not out,10.0,0.0,1,1,0.0,0.0,0.0,24,0,Chennai,India
2019-05-03,Pakistan,MA Chidambaram Stadium,not out,31.0,100.0,1,6,0.0,0.0,0.0,26,0,Chennai,India
2017-09-21,Australia,Sardar Patel Stadium,did not bat,,0.0,0,1,0.0,0.0,0.0,24,0,Ahmedabad,India
2018-09-18,West Indies,Sardar Patel Stadium,lbw b S P Narine,31.0,0.0,0,4,0.0,0.0,0.0,25,S P Narine,Ahmedabad,India
2017-01-10,West Indies,Sabina Park,not out,8.0,0.0,0,1,0.0,0.0,0.0,24,0,"Kingston, Jamaica",West Indies
2017-10-22,England,Riverside Ground,b T T Bresnan,0.0,0.0,0,1,0.0,0.0,0.0,24,T T Bresnan,0,England
2017-12-17,England,Kennington Oval,not out,36.0,0.0,0,1,0.0,0.0,0.0,24,0,London,England
2018-01-02,England,Lord's,did not bat,,0.0,1,2,0.0,0.0,0.0,24,0,London,England
2018-07-02,England,Rajiv Gandhi International Stadium,run out,8.0,0.0,1,3,0.0,0.0,0.0,25,0,Hyderabad,India
2018-10-02,England,Feroz Shah Kotla,did not bat,,0.0,0,3,0.0,0.0,0.0,25,0,Delhi,India
2019-10-03,Pakistan,Feroz Shah Kotla,lbw b Saeed Ajmal,0.0,100.0,0,6,0.0,0.0,0.0,26,Saeed Ajmal,Delhi,India
2018-02-13,England,Punjab Cricket Association IS Bindra Stadium,did not bat,,50.0,0,3,0.0,0.0,0.0,25,0,"Mohali, Chandigarh",India
2018-12-07,England,Eden Gardens,c J M Bairstow b S R Patel,7.0,0.0,0,3,0.0,0.0,0.0,25,S R Patel,Kolkata,India
2019-08-03,Pakistan,Eden Gardens,st Kamran Akmal b Shoaib Malik,3.0,62.5,0,6,0.0,0.0,0.0,26,Shoaib Malik,Kolkata,India
2018-07-14,West Indies,Barabati Stadium,run out,6.0,30.77,0,3,0.0,0.0,0.0,25,0,Cuttack,India
2018-09-19,West Indies,Holkar Cricket Stadium,did not bat,,0.0,0,4,0.0,0.0,0.0,25,0,Indore,India
2018-09-21,Australia,Melbourne Cricket Ground,run out,5.0,0.0,0,4,0.0,0.0,0.0,25,0,Melbourne,Australia
2018-09-25,Australia,Adelaide Oval,not out,1.0,81.82,0,4,0.0,0.0,0.0,25,0,Adelaide,Australia
2018-09-28,Sri Lanka,Adelaide Oval,c S M S M Senanayake b S L Malinga,14.0,100.0,0,4,0.0,0.0,0.0,25,S L Malinga,Adelaide,Australia
2018-10-24,Sri Lanka,Brisbane Cricket Ground,c †K C Sangakkara b S L Malinga,5.0,0.0,0,4,0.0,0.0,0.0,25,S L Malinga,Brisbane,Australia
2018-10-29,Sri Lanka,Bellerive Oval,did not bat,,0.0,1,5,0.0,0.0,0.0,25,0,Hobart,Australia
2019-01-23,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,not out,0.0,0.0,0,5,0.0,0.0,0.0,25,0,Hambantota,Sri Lanka
2019-01-26,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,run out,21.0,0.0,0,5,0.0,0.0,0.0,25,0,Hambantota,Sri Lanka
2019-01-28,Sri Lanka,R Premadasa Stadium,did not bat,,0.0,0,5,0.0,0.0,0.0,25,0,Colombo,Sri Lanka
2019-01-31,Sri Lanka,R Premadasa Stadium,did not bat,,45.45,0,5,0.0,0.0,0.0,25,0,Colombo,Sri Lanka
2019-02-03,Sri Lanka,Pallekele International Cricket Stadium,not out,2.0,0.0,0,5,0.0,0.0,0.0,25,0,"Pallekele, Kandy",Sri Lanka
2019-03-13,England,Saurashtra Cricket Association Stadium,c †C Kieswetter b S T Finn,13.0,66.67,0,6,0.0,0.0,0.0,26,S T Finn,"Khandheri, Rajkot",India
