Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
23/01/2016,Australia,Sydney Cricket Ground,S P D Smith (c R G Sharma),10.0,2/40,30.00
 , , ,J P Faulkner (b), , , 
11/06/2016,Zimbabwe,Harare Sports Club,V Sibanda (c †M S Dhoni),9.5,4/28,19.83
 , , ,E Chigumbura (b), , , 
 , , ,C J Chibhabha (b), , , 
 , , ,T L Chatara (c A T Rayudu), , , 
13/06/2016,Zimbabwe,Harare Sports Club,R Mutumbami (c †M S Dhoni),6.0,1/27,22.14
15/06/2016,Zimbabwe,Harare Sports Club,E Chigumbura (c †M S Dhoni),10.0,4/22,19.55
 , , ,T Mupariwa (c M K Pandey), , , 
 , , ,T Maruma (b), , , 
 , , ,R Mutumbami (c K L Rahul), , , 
16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium, ,8.0,0/29,23.91
20/10/2016,New Zealand,Feroz Shah Kotla,T G Southee (b),10.0,3/35,23.07
 , , ,A P Devcich (c A R Patel), , , 
 , , ,M J Henry (b), , , 
23/10/2016,New Zealand,Punjab Cricket Association IS Bindra Stadium,T A Boult (b),9.4,2/52,23.81
 , , ,M J Santner (c V Kohli), , , 
29/10/2016,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,T W M Latham (c J Yadav),5.0,1/16,24.18
15/01/2017,England,Maharashtra Cricket Association Stadium,B A Stokes (c U T Yadav),10.0,2/79,24.79
 , , ,J E Root (c H H Pandya), , , 
19/01/2017,England,Barabati Stadium,C R Woakes (b),9.0,2/81,25.00
 , , ,A D Hales (c †M S Dhoni), , , 
22/01/2017,England,Eden Gardens,M M Ali (c R A Jadeja),10.0,1/68,26.59
04/06/2017,Pakistan,Edgbaston, ,5.0,0/23,27.95
08/06/2017,Sri Lanka,Kennington Oval, ,10.0,0/52,30.68
11/06/2017,South Africa,Kennington Oval,C H Morris (c B Kumar),8.0,2/28,30.13
 , , ,A L Phehlukwayo (lbw), , , 
15/06/2017,Bangladesh,Edgbaston,Mahmudullah (b),10.0,2/39,30.12
 , , ,Mosaddeck Hossain (c & b), , , 
18/06/2017,Pakistan,Kennington Oval, ,9.0,0/68,32.19
20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,N L T C Perera (b),6.2,2/22,31.25
 , , ,M V T Fernando (b), , , 
24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,C K Kapugedera (b),10.0,4/43,29.22
 , , ,A Dananjaya (c A R Patel), , , 
 , , ,N Dickwella (c S Dhawan), , , 
 , , ,T A M Siriwardana (c R G Sharma), , , 
27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,H D R L Thirimanne (c K M Jadhav),10.0,5/27,26.89
 , , ,A Dananjaya (b), , , 
 , , ,N Dickwella (lbw), , , 
 , , ,T A M Siriwardana (b), , , 
 , , ,B K G Mendis (c R G Sharma), , , 
31/08/2017,Sri Lanka,R Premadasa Stadium,E M D Y Munaweera (c †M S Dhoni),7.0,2/32,26.59
 , , ,P M Pushpakumara (c H H Pandya), , , 
03/09/2017,Sri Lanka,R Premadasa Stadium,W U Tharanga (c †M S Dhoni),10.0,2/45,26.76
 , , ,P M Pushpakumara (b), , , 
17/09/2017,Australia,MA Chidambaram Stadium,H W R Cartwright (b),4.0,1/20,26.69
21/09/2017,Australia,Eden Gardens, ,7.0,0/39,27.69
24/09/2017,Australia,Holkar Cricket Stadium,T M Head (b),10.0,2/52,27.80
 , , ,P S P Handscomb (c H H Pandya), , , 
01/10/2017,Australia,Vidarbha Cricket Association Stadium,M S Wade (c A M Rahane),10.0,2/51,27.89
 , , ,M P Stoinis (lbw), , , 
22/10/2017,New Zealand,Wankhede Stadium,C Munro (c K D Karthik),9.0,1/56,28.45
25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,K S Williamson (lbw),10.0,2/38,28.51
 , , ,M J Santner (c V Kohli), , , 
29/10/2017,New Zealand,Green Park,L R P L Taylor (c K M Jadhav),10.0,3/47,28.02
 , , ,M J Guptill (c K D Karthik), , , 
 , , ,M J Santner (c S Dhawan), , , 
10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,M D Gunathilaka (c †M S Dhoni),7.0,1/32,28.28
13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,A Dananjaya (c R G Sharma),10.0,2/43,28.35
 , , ,M D Gunathilaka (c †M S Dhoni), , , 
17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,M D Gunathilaka (c R G Sharma),8.0,1/39,28.70
01/02/2018,South Africa,Kingsmead,H M Amla (lbw),10.0,1/56,29.25
04/02/2018,South Africa,SuperSport Park,Imran Tahir (b),5.0,1/12,29.26
07/02/2018,South Africa,Newlands,H M Amla (lbw),7.0,2/32,28.98
 , , ,D A Miller (c †M S Dhoni), , , 
10/02/2018,South Africa,New Wanderers Stadium,A K Markram (lbw),5.0,1/21,29.00
13/02/2018,South Africa,St George's Park,A K Markram (c V Kohli),7.0,1/22,29.21
16/02/2018,South Africa,SuperSport Park,Imran Tahir (c V Kohli),8.0,2/24,29.05
 , , ,H Klaasen (c V Kohli), , , 
19/09/2018,Pakistan,Dubai International Cricket Stadium,Usman Shinwari (b),7.1,2/23,28.82
 , , ,Faheem Ashraf (c S Dhawan), , , 
21/09/2018,Bangladesh,Dubai International Cricket Stadium,Mustafizur Rahman (c S Dhawan),9.1,3/37,28.36
 , , ,Mehidy Hasan Miraz (c S Dhawan), , , 
 , , ,Nazmul Hossain Shanto (c S Dhawan), , , 
23/09/2018,Pakistan,Dubai International Cricket Stadium,Shoaib Malik (c †M S Dhoni),10.0,2/29,28.41
 , , ,Shadab Khan (b), , , 
28/09/2018,Bangladesh,Dubai International Cricket Stadium,Rubel Hossain (b),8.3,1/39,28.72
27/10/2018,West Indies,Maharashtra Cricket Association Stadium,K O A Powell (c R G Sharma),10.0,4/35,28.00
 , , ,A R Nurse (lbw), , , 
 , , ,S D Hope (b), , , 
 , , ,C Hemraj (c †M S Dhoni), , , 
29/10/2018,West Indies,Brabourne Stadium, ,8.0,0/25,28.63
01/11/2018,West Indies,Greenfield International Stadium,S D Hope (b),6.0,2/11,28.36
 , , ,F A Allen (c K M Jadhav), , , 
02/03/2019,Australia,Rajiv Gandhi International Stadium,A J Finch (c †M S Dhoni),10.0,2/60, 
 , , ,N M Coulter-Nile (c V Kohli), , , 
