Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
05/06/2010,Sri Lanka,Harare Sports Club,W U Tharanga (c V Kohli),10.0,2/50,30.00
 , , ,L D Chandimal (st †N V Ojha), , , 
20/10/2010,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,M E K Hussey (lbw),9.0,1/34,38.00
28/11/2010,New Zealand,Nehru Stadium (Guwahati),G J Hopkins (c Y K Pathan),10.0,3/50,29.00
 , , ,L R P L Taylor (c M M Patel), , , 
 , , ,M J Guptill (c M M Patel), , , 
01/12/2010,New Zealand,Sawai Mansingh Stadium,M J Guptill (c †W P Saha),10.0,1/52,33.43
04/12/2010,New Zealand,Reliance Stadium,S B Styris (c Yuvraj Singh),9.0,2/49,32.00
 , , ,N L McCullum (c G Gambhir), , , 
07/12/2010,New Zealand,M Chinnaswamy Stadium,B B McCullum (c R G Sharma),10.0,2/66,31.64
 , , ,L R P L Taylor (lbw), , , 
10/12/2010,New Zealand,MA Chidambaram Stadium,S B Styris (lbw),8.0,3/24,28.29
 , , ,K D Mills (c S S Tiwary), , , 
 , , ,T G Southee (c R G Sharma), , , 
20/03/2011,West Indies,MA Chidambaram Stadium,R Rampaul (b),10.0,2/41,28.50
 , , ,K A Edwards (lbw), , , 
24/03/2011,Australia,Sardar Patel Stadium,R T Ponting (c Z Khan),10.0,2/52,28.67
 , , ,S R Watson (b), , , 
13/06/2011,West Indies,Sir Vivian Richards Stadium,K A Pollard (c I Sharma),10.0,1/39,30.32
16/06/2011,West Indies,Sabina Park, ,10.0,0/50,33.47
06/09/2011,England,The Rose Bowl,I R Bell (c V Kohli),5.0,2/42,31.71
 , , ,R S Bopara (c V Kohli), , , 
09/09/2011,England,Kennington Oval,R S Bopara (b),9.0,3/40,30.00
 , , ,I J L Trott (b), , , 
 , , ,B A Stokes (b), , , 
11/09/2011,England,Lord's,B A Stokes (c & b),10.0,1/44,31.20
16/09/2011,England,Sophia Gardens, ,4.0,0/25,32.16
14/10/2011,England,Rajiv Gandhi International Stadium,T T Bresnan (st †M S Dhoni),8.1,3/35,30.46
 , , ,R S Bopara (c & b), , , 
 , , ,J W Dernbach (b), , , 
17/10/2011,England,Feroz Shah Kotla,R S Bopara (lbw),10.0,1/56,31.48
20/10/2011,England,Punjab Cricket Association IS Bindra Stadium, ,10.0,0/45,33.55
23/10/2011,England,Wankhede Stadium,K P Pietersen (c sub),10.0,3/38,32.28
 , , ,A N Cook (lbw), , , 
 , , ,S R Patel (c V Kohli), , , 
25/10/2011,England,Eden Gardens,I R Bell (c †M S Dhoni),9.0,3/28,31.06
 , , ,S T Finn (c †M S Dhoni), , , 
 , , ,S C Meaker (lbw), , , 
29/11/2011,West Indies,Barabati Stadium,K A Pollard (c V Kohli),10.0,1/30,31.86
02/12/2011,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,K A Pollard (c †P A Patel),10.0,1/74,32.62
05/12/2011,West Indies,Sardar Patel Stadium,M N Samuels (b),10.0,1/33,33.34
08/12/2011,West Indies,Holkar Cricket Stadium,D J G Sammy (c A Mithun),10.0,1/59,34.03
05/02/2012,Australia,Melbourne Cricket Ground, ,5.0,0/48,34.79
08/02/2012,Sri Lanka,WACA Ground,D P M D Jayawardene (c R G Sharma),10.0,3/32,33.74
 , , ,N L T C Perera (st †M S Dhoni), , , 
 , , ,L D Chandimal (st †M S Dhoni), , , 
12/02/2012,Australia,Adelaide Oval, ,8.0,0/47,34.88
14/02/2012,Sri Lanka,Adelaide Oval,K C Sangakkara (c G Gambhir),10.0,2/30,34.66
 , , ,N L T C Perera (c V Kohli), , , 
21/02/2012,Sri Lanka,Brisbane Cricket Ground,T M Dilshan (c †P A Patel),10.0,2/50,34.46
 , , ,H D R L Thirimanne (c S K Raina), , , 
26/02/2012,Australia,Sydney Cricket Ground, ,10.0,0/45,35.76
28/02/2012,Sri Lanka,Bellerive Oval, ,10.0,0/52,37.07
13/03/2012,Sri Lanka,Shere Bangla National Stadium,K C Sangakkara (c R A Jadeja),9.0,3/39,35.90
 , , ,H D R L Thirimanne (lbw), , , 
 , , ,L D Chandimal (b), , , 
16/03/2012,Bangladesh,Shere Bangla National Stadium,Shakib Al Hasan (st †M S Dhoni),10.0,1/56,36.38
18/03/2012,Pakistan,Shere Bangla National Stadium,Nasir Jamshed (c I K Pathan),10.0,1/56,36.84
21/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,W U Tharanga (c V Sehwag),10.0,2/46,36.58
 , , ,H D R L Thirimanne (lbw), , , 
24/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,T M Dilshan (c †M S Dhoni),5.0,1/18,36.46
28/07/2012,Sri Lanka,R Premadasa Stadium, ,10.0,0/50,37.57
31/07/2012,Sri Lanka,R Premadasa Stadium,W U Tharanga (st †M S Dhoni),10.0,2/46,37.30
 , , ,H D R L Thirimanne (b), , , 
04/08/2012,Sri Lanka,Pallekele International Cricket Stadium, ,9.0,0/37,38.27
30/12/2012,Pakistan,MA Chidambaram Stadium, ,10.0,0/34,39.34
03/01/2013,Pakistan,Eden Gardens,Misbah-ul-Haq (lbw),10.0,1/49,39.70
06/01/2013,Pakistan,Feroz Shah Kotla,Misbah-ul-Haq (c A M Rahane),10.0,2/47,39.37
 , , ,Nasir Jamshed (lbw), , , 
11/01/2013,England,Saurashtra Cricket Association Stadium, ,9.0,0/61,40.29
15/01/2013,England,Nehru Stadium (Kochi),C Kieswetter (c S K Raina),7.0,3/39,39.02
 , , ,J C Tredwell (lbw), , , 
 , , ,S T Finn (c †M S Dhoni), , , 
19/01/2013,England,JSCA International Stadium Complex,T T Bresnan (b),10.0,2/37,38.73
 , , ,E J G Morgan (c Yuvraj Singh), , , 
23/01/2013,England,Punjab Cricket Association IS Bindra Stadium,A N Cook (lbw),10.0,2/63,38.47
 , , ,E J G Morgan (c Yuvraj Singh), , , 
27/01/2013,England,Himachal Pradesh Cricket Association Stadium, ,10.0,0/50,39.38
06/06/2013,South Africa,Sophia Gardens, ,10.0,0/47,40.29
11/06/2013,West Indies,Kennington Oval,D M Bravo (st †M S Dhoni),9.0,1/36,40.49
15/06/2013,Pakistan,Edgbaston,Kamran Akmal (c V Kohli),8.0,2/35,40.01
 , , ,Wahab Riaz (b), , , 
20/06/2013,Sri Lanka,Sophia Gardens,K M D N Kulasekara (b),10.0,3/48,39.18
 , , ,A D Mathews (c B Kumar), , , 
 , , ,B M A J Mendis (st †M S Dhoni), , , 
23/06/2013,England,Edgbaston,I J L Trott (st †M S Dhoni),4.0,2/15,38.45
 , , ,J E Root (c I Sharma), , , 
30/06/2013,West Indies,Sabina Park,D Ramdin (b),10.0,2/44,38.22
 , , ,D M Bravo (c S Dhawan), , , 
02/07/2013,Sri Lanka,Sabina Park,D P M D Jayawardene (c U T Yadav),10.0,1/67,38.51
05/07/2013,West Indies,Queen's Park Oval, ,4.0,0/25,38.82
09/07/2013,Sri Lanka,Queen's Park Oval,B M A J Mendis (b),5.0,1/20,38.71
11/07/2013,Sri Lanka,Queen's Park Oval,K C Sangakkara (c R Vinay Kumar),10.0,2/42,38.49
 , , ,M D K J Perera (st †M S Dhoni), , , 
13/10/2013,Australia,Maharashtra Cricket Association Stadium,B J Haddin (lbw),10.0,2/55,38.28
 , , ,G J Bailey (c S K Raina), , , 
16/10/2013,Australia,Sawai Mansingh Stadium,P J Hughes (c †M S Dhoni),8.0,1/50,38.40
19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium, ,9.0,0/58,39.05
23/10/2013,Australia,JSCA International Stadium Complex,M G Johnson (st †M S Dhoni),9.0,2/57,38.76
 , , ,A C Voges (lbw), , , 
30/10/2013,Australia,Vidarbha Cricket Association Stadium,A J Finch (b),10.0,2/64,38.56
 , , ,G J Maxwell (c B Kumar), , , 
02/11/2013,Australia,M Chinnaswamy Stadium,B J Haddin (b),10.0,2/51,38.37
 , , ,P J Hughes (c Yuvraj Singh), , , 
21/11/2013,West Indies,Nehru Stadium (Kochi),R Rampaul (c S Dhawan),9.5,2/42,38.18
 , , ,S P Narine (c & b), , , 
24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,D M Bravo (c †M S Dhoni),10.0,2/37,38.00
 , , ,J Charles (st †M S Dhoni), , , 
27/11/2013,West Indies,Green Park,M N Samuels (b),10.0,2/45,37.83
 , , ,K O A Powell (c S Dhawan), , , 
05/12/2013,South Africa,New Wanderers Stadium, ,10.0,0/58,38.46
08/12/2013,South Africa,Kingsmead,Q de Kock (c R G Sharma),9.0,1/48,38.63
11/12/2013,South Africa,SuperSport Park, ,9.0,0/63,39.19
19/01/2014,New Zealand,McLean Park, ,10.0,0/52,39.81
22/01/2014,New Zealand,Seddon Park, ,8.0,0/50,40.31
25/01/2014,New Zealand,Eden Park,C J Anderson (b),10.0,1/47,40.52
28/01/2014,New Zealand,Seddon Park, ,10.0,0/41,41.13
31/01/2014,New Zealand,Westpac Stadium, ,6.0,0/37,41.51
26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,Mominul Haque (st †K D Karthik),10.0,1/50,41.69
28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,H D R L Thirimanne (lbw),10.0,2/42,41.46
 , , ,M D K J Perera (c †K D Karthik), , , 
01/03/2014,Pakistan,Shere Bangla National Stadium,Mohammad Hafeez (c B Kumar),9.4,3/44,40.82
 , , ,Saeed Ajmal (b), , , 
 , , ,Sharjeel Khan (b), , , 
05/03/2014,Afghanistan,Shere Bangla National Stadium,Mohammad Shahzad (lbw),10.0,3/31,40.23
 , , ,Shapoor Zadran (lbw), , , 
