Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
08/02/2009,Sri Lanka,R Premadasa Stadium, ,6.0,0/40,144.00
26/06/2009,West Indies,Sabina Park, ,7.0,0/34,45.75
28/06/2009,West Indies,Sabina Park, ,2.0,0/12, 
25/10/2009,Australia,Reliance Stadium,R T Ponting (lbw),9.0,1/39, 
28/10/2009,Australia,Vidarbha Cricket Association Stadium,M E K Hussey (b),6.3,3/35,39.50
 , , ,A C Voges (b), , , 
 , , ,S E Marsh (st †M S Dhoni), , ,46.50
31/10/2009,Australia,Feroz Shah Kotla,R T Ponting (lbw),9.0,2/41,51.50
 , , ,M C Henriques (b), , ,61.50
02/11/2009,Australia,Punjab Cricket Association IS Bindra Stadium, ,7.0,0/27,69.50
05/11/2009,Australia,Rajiv Gandhi International Stadium, ,5.0,0/44,78.67
08/11/2009,Australia,Nehru Stadium (Guwahati), ,10.0,0/36,53.20
15/12/2009,Sri Lanka,Madhavrao Scindia Cricket Ground, ,8.0,0/73, 
18/12/2009,Sri Lanka,Vidarbha Cricket Association Stadium, ,9.1,0/42, 
21/12/2009,Sri Lanka,Barabati Stadium,K M D N Kulasekara (lbw),10.0,4/32, 
 , , ,W U Tharanga (b), , ,58.60
 , , ,C K Kapugedera (b), , ,61.00
 , , ,B A W Mendis (b), , ,60.36
24/12/2009,Sri Lanka,Eden Gardens, ,9.0,0/51,63.64
05/01/2010,Sri Lanka,Shere Bangla National Stadium, ,4.0,0/31,66.91
07/01/2010,Bangladesh,Shere Bangla National Stadium,Mohammad Ashraful (b),9.0,1/45,64.83
10/01/2010,Sri Lanka,Shere Bangla National Stadium, ,6.0,0/21,59.86
11/01/2010,Bangladesh,Shere Bangla National Stadium, ,6.0,0/23, 
13/01/2010,Sri Lanka,Shere Bangla National Stadium,T T Samaraweera (b),7.0,1/29,55.69
21/02/2010,South Africa,Sawai Mansingh Stadium,H H Gibbs (c V Kohli),10.0,2/29, 
 , , ,A B de Villiers (b), , ,55.94
24/02/2010,South Africa,Captain Roop Singh Stadium,C K Langeveldt (c A Nehra),8.5,2/41,56.17
 , , ,A N Petersen (b), , ,53.55
27/02/2010,South Africa,Sardar Patel Stadium,H M Amla (c M Vijay),10.0,1/53, 
28/05/2010,Zimbabwe,Queens Sports Club,G A Lamb (lbw),10.0,1/51,50.59
30/05/2010,Sri Lanka,Queens Sports Club,L P C Silva (lbw),10.0,2/49, 
 , , ,C K Kapugedera (c M Vijay), , ,53.32
03/06/2010,Zimbabwe,Harare Sports Club,H Masakadza (c V Kohli),7.0,2/27,53.09
 , , ,C K Coventry (c Y K Pathan), , ,53.38
05/06/2010,Sri Lanka,Harare Sports Club, ,10.0,0/54,55.00
16/06/2010,Bangladesh,Rangiri Dambulla International Stadium,Mahmudullah (c †M S Dhoni),8.0,1/27,52.31
19/06/2010,Pakistan,Rangiri Dambulla International Stadium,Umar Akmal (c †M S Dhoni),10.0,1/43, 
22/06/2010,Sri Lanka,Rangiri Dambulla International Stadium, ,6.3,0/29,54.38
24/06/2010,Sri Lanka,Rangiri Dambulla International Stadium,M Muralitharan (c †M S Dhoni),6.4,2/29,52.64
 , , ,K M D N Kulasekara (st †M S Dhoni), , , 
10/08/2010,New Zealand,Rangiri Dambulla International Stadium, ,9.0,0/63,51.45
16/08/2010,Sri Lanka,Rangiri Dambulla International Stadium,C K Kapugedera (b),10.0,2/34,52.90
 , , ,A D Mathews (lbw), , ,51.23
25/08/2010,New Zealand,Rangiri Dambulla International Stadium,T G Southee (c P Kumar),3.0,1/21, 
04/12/2010,New Zealand,Reliance Stadium, ,7.0,0/40,51.31
09/09/2011,England,Kennington Oval,T T Bresnan (b),9.0,2/42,50.67
 , , ,C Kieswetter (b), , ,47.61
11/09/2011,England,Lord's,I R Bell (c sub),9.0,1/60, 
16/09/2011,England,Sophia Gardens,I J L Trott (c R P Singh),5.0,1/52, 
14/10/2011,England,Rajiv Gandhi International Stadium,A N Cook (c R Vinay Kumar),7.0,3/34,47.46
 , , ,I J L Trott (b), , ,47.47
 , , ,J M Bairstow (c & b), , ,46.60
17/10/2011,England,Feroz Shah Kotla,J M Bairstow (c V Kohli),7.0,1/38, 
20/10/2011,England,Punjab Cricket Association IS Bindra Stadium,K P Pietersen (lbw),8.0,1/41,43.45
23/10/2011,England,Wankhede Stadium,R S Bopara (lbw),10.0,2/41, 
 , , ,J M Bairstow (b), , , 
25/10/2011,England,Eden Gardens,S R Patel (c †M S Dhoni),8.0,4/33, 
 , , ,I J L Trott (c V Kohli), , ,43.82
