Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
25/06/2017,West Indies,Queen's Park Oval,J O Holder (st †M S Dhoni),9.0,3/50,18.00
 , , ,S D Hope (lbw), , , 
 , , ,E Lewis (st †M S Dhoni), , , 
30/06/2017,West Indies,Sir Vivian Richards Stadium,J N Mohammed (lbw),10.0,3/41,19.00
 , , ,R L Chase (b), , , 
 , , ,R Powell (c H H Pandya), , , 
02/07/2017,West Indies,Sir Vivian Richards Stadium,E Lewis (c V Kohli),10.0,2/31,21.75
 , , ,R L Chase (b), , , 
06/07/2017,West Indies,Sabina Park, ,10.0,0/36,29.25
31/08/2017,Sri Lanka,R Premadasa Stadium,S L Malinga (b),8.4,2/31,28.60
 , , ,M V T Fernando (c & b), , , 
03/09/2017,Sri Lanka,R Premadasa Stadium,A D Mathews (c †M S Dhoni),10.0,1/40,31.45
17/09/2017,Australia,MA Chidambaram Stadium,D A Warner (c †M S Dhoni),4.0,2/33,28.46
 , , ,M P Stoinis (c sub), , , 
21/09/2017,Australia,Eden Gardens,P J Cummins (c †M S Dhoni),10.0,3/54,26.88
 , , ,M S Wade (b), , , 
 , , ,A C Agar (lbw), , , 
24/09/2017,Australia,Holkar Cricket Stadium,S P D Smith (c J J Bumrah),10.0,2/75,27.22
 , , ,A J Finch (c K M Jadhav), , , 
01/10/2017,Australia,Vidarbha Cricket Association Stadium, ,10.0,0/48,30.56
22/10/2017,New Zealand,Wankhede Stadium,K S Williamson (c K M Jadhav),10.0,1/64,32.11
17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,W U Tharanga (st †M S Dhoni),10.0,3/42,30.45
 , , ,A Dananjaya (b), , , 
 , , ,N Dickwella (c S S Iyer), , , 
01/02/2018,South Africa,Kingsmead,J-P Duminy (b),10.0,3/34,29.20
 , , ,D A Miller (c V Kohli), , , 
 , , ,C H Morris (b), , , 
04/02/2018,South Africa,SuperSport Park,D A Miller (c A M Rahane),6.0,3/20,27.36
 , , ,K Rabada (lbw), , , 
 , , ,A K Markram (c B Kumar), , , 
07/02/2018,South Africa,Newlands,C H Morris (lbw),9.0,4/23,25.63
 , , ,A L Phehlukwayo (c V Kohli), , , 
 , , ,L Ngidi (lbw), , , 
 , , ,A K Markram (st †M S Dhoni), , , 
10/02/2018,South Africa,New Wanderers Stadium,J-P Duminy (lbw),6.0,2/51,25.18
 , , ,H M Amla (c B Kumar), , , 
13/02/2018,South Africa,St George's Park,K Rabada (c Y S Chahal),10.0,4/57,24.11
 , , ,T Shamsi (c H H Pandya), , , 
 , , ,A L Phehlukwayo (b), , , 
 , , ,H Klaasen (st †M S Dhoni), , , 
16/02/2018,South Africa,SuperSport Park,C H Morris (c S Dhawan),10.0,1/51,25.03
12/07/2018,England,Trent Bridge,B A Stokes (c S Kaul),10.0,6/25,23.02
 , , ,J C Buttler (c †M S Dhoni), , , 
 , , ,J M Bairstow (lbw), , , 
 , , ,J E Root (lbw), , , 
 , , ,J J Roy (c U T Yadav), , , 
 , , ,D J Willey (c K L Rahul), , , 
14/07/2018,England,Lord's,E J G Morgan (c S Dhawan),10.0,3/68,22.83
 , , ,J M Bairstow (b), , , 
 , , ,J J Roy (c U T Yadav), , , 
17/07/2018,England,Headingley, ,10.0,0/55,24.08
18/09/2018,Hong Kong,Dubai International Cricket Stadium,Anshuman Rath (c R G Sharma),10.0,2/42,24.32
 , , ,S S McKechnie (st †M S Dhoni), , , 
19/09/2018,Pakistan,Dubai International Cricket Stadium,Babar Azam (b),8.0,1/37,24.78
21/09/2018,Bangladesh,Dubai International Cricket Stadium, ,10.0,0/34,25.96
23/09/2018,Pakistan,Dubai International Cricket Stadium,Sarfraz Ahmed (c R G Sharma),10.0,2/41,26.11
 , , ,Fakhar Zaman (lbw), , , 
25/09/2018,Afghanistan,Dubai International Cricket Stadium,Asghar Afghan (b),10.0,2/38,26.25
 , , ,Hashmatullah Shahidi (st †M S Dhoni), , , 
28/09/2018,Bangladesh,Dubai International Cricket Stadium,Mashrafe Mortaza (st †M S Dhoni),10.0,3/45,25.93
 , , ,Mahmudullah (c J J Bumrah), , , 
 , , ,Liton Das (st †M S Dhoni), , , 
24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,M N Samuels (b),10.0,3/67,25.64
 , , ,R Powell (c R G Sharma), , , 
 , , ,C Hemraj (b), , , 
27/10/2018,West Indies,Maharashtra Cricket Association Stadium,R Powell (c R G Sharma),10.0,2/52,25.78
 , , ,S O Hetmeyer (st †M S Dhoni), , , 
29/10/2018,West Indies,Brabourne Stadium,K A J Roach (b),8.2,3/42,25.36
 , , ,A R Nurse (c R G Sharma), , , 
 , , ,F A Allen (c R G Sharma), , , 
01/11/2018,West Indies,Greenfield International Stadium,K M A Paul (c A T Rayudu),5.0,1/18,25.43
12/01/2019,Australia,Sydney Cricket Ground,S E Marsh (c Mohammed Shami),10.0,2/54,25.57
 , , ,A T Carey (c R G Sharma), , , 
15/01/2019,Australia,Adelaide Oval, ,10.0,0/66,26.43
23/01/2019,New Zealand,McLean Park,K S Williamson (c V Shankar),10.0,4/39,25.81
 , , ,D A J Bracewell (b), , , 
 , , ,T A Boult (c R G Sharma), , , 
 , , ,L H Ferguson (st †M S Dhoni), , , 
26/01/2019,New Zealand,Bay Oval,T W M Latham (lbw),10.0,4/45,25.25
 , , ,C de Grandhomme (c A T Rayudu), , , 
 , , ,I S Sodhi (b), , , 
 , , ,H M Nicholls (c Mohammed Shami), , , 
28/01/2019,New Zealand,Bay Oval, ,8.0,0/39,25.87
31/01/2019,New Zealand,Seddon Park, ,1.0,0/2,25.95
02/03/2019,Australia,Rajiv Gandhi International Stadium,U T Khawaja (c V Shankar),10.0,2/46,26.05
 , , ,P S P Handscomb (st †M S Dhoni), , , 
05/03/2019,Australia,Vidarbha Cricket Association Stadium,A J Finch (lbw),10.0,3/54,25.83
