Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium,L Ronchi (c U T Yadav),7.0,3/31,14.00
 , , ,M J Guptill (c R G Sharma), , , 
 , , ,C J Anderson (c U T Yadav), , , 
20/10/2016,New Zealand,Feroz Shah Kotla, ,9.0,0/45,32.00
23/10/2016,New Zealand,Punjab Cricket Association IS Bindra Stadium, ,5.0,0/34,42.00
26/10/2016,New Zealand,JSCA International Stadium Complex,M J Guptill (c †M S Dhoni),5.0,1/31,39.00
15/01/2017,England,Maharashtra Cricket Association Stadium,E J G Morgan (c †M S Dhoni),9.0,2/46,35.00
 , , ,J C Buttler (c S Dhawan), , , 
19/01/2017,England,Barabati Stadium, ,6.0,0/60,41.00
22/01/2017,England,Eden Gardens,E J G Morgan (c J J Bumrah),10.0,3/49,34.00
 , , ,J C Buttler (c K L Rahul), , , 
 , , ,J M Bairstow (c R A Jadeja), , , 
04/06/2017,Pakistan,Edgbaston,Sarfraz Ahmed (c †M S Dhoni),8.0,2/43,32.18
 , , ,Imad Wasim (c K M Jadhav), , , 
08/06/2017,Sri Lanka,Kennington Oval, ,7.0,0/51,36.00
11/06/2017,South Africa,Kennington Oval,F du Plessis (b),10.0,1/52,38.00
15/06/2017,Bangladesh,Edgbaston, ,4.0,0/34,40.00
18/06/2017,Pakistan,Kennington Oval,Fakhar Zaman (c R A Jadeja),10.0,1/53,41.54
25/06/2017,West Indies,Queen's Park Oval, ,9.0,0/32,45.69
30/06/2017,West Indies,Sir Vivian Richards Stadium,S D Hope (c & b),6.0,2/32,42.00
 , , ,K A Hope (c K M Jadhav), , , 
02/07/2017,West Indies,Sir Vivian Richards Stadium,J N Mohammed (c R A Jadeja),10.0,3/40,38.33
 , , ,S D Hope (c †M S Dhoni), , , 
 , , ,K A Hope (c K M Jadhav), , , 
06/07/2017,West Indies,Sabina Park,E Lewis (c V Kohli),6.0,1/27,38.21
20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium, ,6.0,0/35,40.11
24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,W U Tharanga (c V Kohli),5.2,1/24,39.70
27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,L D Chandimal (c J J Bumrah),8.0,1/42,40.10
31/08/2017,Sri Lanka,R Premadasa Stadium,H D R L Thirimanne (c S Dhawan),8.0,2/50,38.70
 , , ,T A M Siriwardana (c †M S Dhoni), , , 
17/09/2017,Australia,MA Chidambaram Stadium,S P D Smith (c J J Bumrah),4.0,2/28,36.56
 , , ,T M Head (c †M S Dhoni), , , 
21/09/2017,Australia,Eden Gardens,S P D Smith (c sub),10.0,2/56,36.07
 , , ,N M Coulter-Nile (c & b), , , 
24/09/2017,Australia,Holkar Cricket Stadium,D A Warner (b),10.0,1/58,36.93
28/09/2017,Australia,M Chinnaswamy Stadium, ,5.0,0/32,38.00
01/10/2017,Australia,Vidarbha Cricket Association Stadium,A J Finch (c J J Bumrah),2.0,1/14,37.10
22/10/2017,New Zealand,Wankhede Stadium,M J Guptill (c K D Karthik),10.0,1/46,37.87
25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,L R P L Taylor (c †M S Dhoni),4.0,1/23,37.42
29/10/2017,New Zealand,Green Park, ,5.0,0/47,38.39
10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,W U Tharanga (c S Dhawan),5.0,1/39,38.13
13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,W U Tharanga (c K D Karthik),10.0,1/39,38.79
17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,R A S Lakmal (lbw),10.0,2/49,38.29
 , , ,S S Pathirana (c Y S Chahal), , , 
01/02/2018,South Africa,Kingsmead, ,7.0,0/41,39.49
04/02/2018,South Africa,SuperSport Park, ,5.0,0/34,40.34
07/02/2018,South Africa,Newlands, ,8.0,0/35,41.71
10/02/2018,South Africa,New Wanderers Stadium,A B de Villiers (c R G Sharma),5.0,1/37,41.39
13/02/2018,South Africa,St George's Park,J-P Duminy (c R G Sharma),9.0,2/30,40.63
 , , ,A B de Villiers (c †M S Dhoni), , , 
16/02/2018,South Africa,SuperSport Park,M Morkel (c S S Iyer),10.0,1/39,41.13
12/07/2018,England,Trent Bridge, ,7.0,0/47,42.21
14/07/2018,England,Lord's,B A Stokes (c †M S Dhoni),10.0,1/70,42.65
17/07/2018,England,Headingley, ,5.3,0/39,43.48
19/09/2018,Pakistan,Dubai International Cricket Stadium, ,4.5,0/24,44.20
28/01/2019,New Zealand,Bay Oval,M J Santner (c †K D Karthik),10.0,2/45,43.52
 , , ,H M Nicholls (c †K D Karthik), , , 
31/01/2019,New Zealand,Seddon Park, ,3.0,0/15,43.95
03/02/2019,New Zealand,Westpac Stadium,L R P L Taylor (lbw),8.0,2/50,43.05
 , , ,M J Santner (c Mohammed Shami), , , 
