Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
30/07/2005,Sri Lanka,Rangiri Dambulla International Stadium, ,0.2,0/4,26.00
31/07/2005,West Indies,Rangiri Dambulla International Stadium,S Chanderpaul (lbw),4.0,1/23,32.00
26/05/2006,West Indies,Queen's Park Oval, ,1.0,0/10,38.00
14/06/2008,Pakistan,Shere Bangla National Stadium, ,1.0,0/11,50.00
18/08/2008,Sri Lanka,Rangiri Dambulla International Stadium, ,2.0,0/11,74.00
28/01/2009,Sri Lanka,Rangiri Dambulla International Stadium, ,4.0,0/16,98.00
31/01/2009,Sri Lanka,R Premadasa Stadium, ,4.0,0/19,134.00
08/02/2009,Sri Lanka,R Premadasa Stadium, ,6.0,0/24,140.00
11/09/2009,New Zealand,R Premadasa Stadium, ,1.0,0/4,79.00
12/09/2009,Sri Lanka,R Premadasa Stadium,A D Mathews (st †M S Dhoni),3.0,1/14,68.67
14/09/2009,Sri Lanka,R Premadasa Stadium,C K Kapugedera (c †M S Dhoni),8.0,1/26,70.67
28/09/2009,Australia,SuperSport Park, ,1.0,0/8,72.67
25/10/2009,Australia,Reliance Stadium, ,1.0,0/9,74.67
28/10/2009,Australia,Vidarbha Cricket Association Stadium, ,1.0,0/3,62.00
31/10/2009,Australia,Feroz Shah Kotla,C L White (c †M S Dhoni),4.0,1/23,53.20
08/11/2009,Australia,Nehru Stadium (Guwahati),C L White (lbw),3.0,1/13,47.33
15/12/2009,Sri Lanka,Madhavrao Scindia Cricket Ground,W U Tharanga (st †M S Dhoni),3.0,1/37,49.33
18/12/2009,Sri Lanka,Vidarbha Cricket Association Stadium, ,2.0,0/11,51.33
24/12/2009,Sri Lanka,Eden Gardens, ,2.0,0/9,54.33
10/01/2010,Sri Lanka,Shere Bangla National Stadium, ,3.0,0/9,57.33
21/02/2010,South Africa,Sawai Mansingh Stadium, ,3.0,0/25,60.33
20/10/2010,Australia,Dr YS Rajasekhara Reddy Cricket Stadium, ,3.0,0/18,61.33
28/11/2010,New Zealand,Nehru Stadium (Guwahati), ,1.0,0/5,62.33
01/12/2010,New Zealand,Sawai Mansingh Stadium, ,1.0,0/4,56.86
12/01/2011,South Africa,Kingsmead,D A Miller (b),4.0,1/21,62.00
15/01/2011,South Africa,New Wanderers Stadium, ,6.0,0/27,62.86
18/01/2011,South Africa,Newlands, ,1.0,0/8,65.43
21/01/2011,South Africa,St George's Park, ,3.0,0/13,67.14
23/01/2011,South Africa,SuperSport Park, ,2.0,0/13,60.25
20/03/2011,West Indies,MA Chidambaram Stadium,D M Bravo (c Harbhajan Singh),2.0,1/12,51.80
06/06/2011,West Indies,Queen's Park Oval,M N Samuels (b),6.0,2/23, 
 , , ,D Bishoo (lbw), , ,53.00
08/06/2011,West Indies,Queen's Park Oval, ,2.0,0/11,55.40
11/06/2011,West Indies,Sir Vivian Richards Stadium, ,4.0,0/31,59.00
16/06/2011,West Indies,Sabina Park, ,6.0,0/35,59.60
06/09/2011,England,The Rose Bowl, ,1.0,0/13,62.60
09/09/2011,England,Kennington Oval, ,5.0,0/16,63.80
11/09/2011,England,Lord's, ,2.0,0/13,65.00
23/10/2011,England,Wankhede Stadium, ,2.0,0/15,61.27
25/10/2011,England,Eden Gardens,R S Bopara (b),4.0,1/9,58.67
29/11/2011,West Indies,Barabati Stadium,D M Bravo (b),5.0,1/20,59.17
