Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
06/01/2013,Pakistan,Feroz Shah Kotla,Saeed Ajmal (c †M S Dhoni),9.0,1/23,54.00
15/01/2013,England,Nehru Stadium (Kochi),I R Bell (c †M S Dhoni),4.0,1/24,39.00
19/01/2013,England,JSCA International Stadium Complex,A N Cook (lbw),8.0,1/23,42.00
23/01/2013,England,Punjab Cricket Association IS Bindra Stadium, ,8.0,0/58,58.00
27/01/2013,England,Himachal Pradesh Cricket Association Stadium,K P Pietersen (c R A Jadeja),9.0,1/46,57.00
02/07/2013,Sri Lanka,Sabina Park, ,10.0,0/68,72.00
24/07/2013,Zimbabwe,Harare Sports Club,M N Waller (b),10.0,1/45,69.60
26/07/2013,Zimbabwe,Harare Sports Club,E Chigumbura (c †K D Karthik),10.0,1/52,68.00
28/07/2013,Zimbabwe,Harare Sports Club,P Utseya (c †K D Karthik),9.0,2/25,57.75
 , , ,Sikandar Raza (c †K D Karthik), , , 
01/08/2013,Zimbabwe,Queens Sports Club,P Utseya (c R G Sharma),8.0,1/34,56.67
03/08/2013,Zimbabwe,Queens Sports Club,T Maruma (c †K D Karthik),7.0,1/27,55.20
23/10/2013,Australia,JSCA International Stadium Complex,S R Watson (b),8.0,3/42,46.15
 , , ,P J Hughes (c †M S Dhoni), , , 
 , , ,A J Finch (b), , , 
30/10/2013,Australia,Vidarbha Cricket Association Stadium,S R Watson (b),8.0,1/66,46.29
02/11/2013,Australia,M Chinnaswamy Stadium,A C Voges (b),8.1,3/52,41.00
 , , ,A J Finch (lbw), , , 
 , , ,J P Faulkner (c S Dhawan), , , 
21/11/2013,West Indies,Nehru Stadium (Kochi),D M Bravo (b),6.0,1/28,40.72
24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,S P Narine (c sub),7.0,2/55,38.75
 , , ,J O Holder (c †M S Dhoni), , , 
27/11/2013,West Indies,Green Park,D J J Bravo (c R Ashwin),10.0,1/49,39.76
05/12/2013,South Africa,New Wanderers Stadium,J H Kallis (c R A Jadeja),10.0,3/68,37.29
 , , ,H M Amla (b), , , 
 , , ,A B de Villiers (b), , , 
08/12/2013,South Africa,Kingsmead,J H Kallis (b),8.0,3/48,34.93
 , , ,H M Amla (c †M S Dhoni), , , 
 , , ,D A Miller (lbw), , , 
11/12/2013,South Africa,SuperSport Park,H M Amla (c Yuvraj Singh),10.0,3/69,33.43
 , , ,V D Philander (b), , , 
 , , ,W D Parnell (c R G Sharma), , , 
19/01/2014,New Zealand,McLean Park,L R P L Taylor (c †M S Dhoni),9.0,4/55,31.09
 , , ,J D Ryder (b), , , 
 , , ,M J Guptill (c R Ashwin), , , 
 , , ,N L McCullum (c & b), , , 
22/01/2014,New Zealand,Seddon Park,B B McCullum (c & b),7.0,3/55,29.70
 , , ,L R P L Taylor (c †M S Dhoni), , , 
 , , ,J D Ryder (c †M S Dhoni), , , 
25/01/2014,New Zealand,Eden Park,K S Williamson (b),10.0,2/84,29.72
 , , ,M J McClenaghan (c R A Jadeja), , , 
28/01/2014,New Zealand,Seddon Park,M J Guptill (lbw),8.0,1/61,30.18
31/01/2014,New Zealand,Westpac Stadium,L R P L Taylor (c S Dhawan),10.0,1/61,30.90
26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,Mushfiqur Rahim (c R G Sharma),10.0,4/50,29.49
 , , ,Naeem Islam (c R Ashwin), , , 
 , , ,Nasir Hossain (c †K D Karthik), , , 
 , , ,Shamsur Rahman (c & b), , , 
28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,K C Sangakkara (c R Ashwin),10.0,3/81,28.90
 , , ,A D Mathews (lbw), , , 
 , , ,S M S M Senanayake (c R G Sharma), , , 
01/03/2014,Pakistan,Shere Bangla National Stadium, ,10.0,0/49,30.15
05/03/2014,Afghanistan,Shere Bangla National Stadium,Nawroz Mangal (b),7.2,2/50,29.82
 , , ,Samiullah Shinwari (lbw), , , 
27/08/2014,England,Sophia Gardens,I R Bell (b),6.0,2/32,29.37
 , , ,A N Cook (lbw), , , 
30/08/2014,England,Trent Bridge,C R Woakes (c M M Sharma),9.0,1/40,29.83
02/09/2014,England,Edgbaston,J C Buttler (lbw),7.3,3/28,29.04
 , , ,G S Ballance (c A M Rahane), , , 
 , , ,H F Gurney (b), , , 
05/09/2014,England,Headingley,C R Woakes (b),10.0,2/52,29.07
 , , ,J E Root (c R Ashwin), , , 
08/10/2014,West Indies,Nehru Stadium (Kochi),D J J Bravo (c S Dhawan),9.0,4/66,28.06
 , , ,D Ramdin (c R A Jadeja), , , 
 , , ,K A Pollard (b), , , 
 , , ,A D Russell (c V Kohli), , , 
11/10/2014,West Indies,Feroz Shah Kotla,R Rampaul (c & b),9.3,4/36,27.23
 , , ,D R Smith (b), , , 
 , , ,D J J Bravo (c S Dhawan), , , 
 , , ,D M Bravo (b), , , 
17/10/2014,West Indies,Himachal Pradesh Cricket Association Stadium,M N Samuels (b),9.1,2/72,27.24
 , , ,J E Taylor (b), , , 
18/01/2015,Australia,Melbourne Cricket Ground,S P D Smith (c R Ashwin),8.1,1/44,27.55
20/01/2015,England,Brisbane Cricket Ground, ,4.0,0/23,27.90
30/01/2015,England,WACA Ground,J C Buttler (c A T Rayudu),9.0,1/31,28.27
15/02/2015,Pakistan,Adelaide Oval,Shahid Afridi (c V Kohli),9.0,4/35,27.47
 , , ,Younis Khan (c †M S Dhoni), , , 
 , , ,Misbah-ul-Haq (c A M Rahane), , , 
 , , ,Wahab Riaz (c †M S Dhoni), , , 
22/02/2015,South Africa,Melbourne Cricket Ground,D W Steyn (c S Dhawan),8.0,2/30,27.38
 , , ,Q de Kock (c V Kohli), , , 
06/03/2015,West Indies,WACA Ground,C H Gayle (c M M Sharma),8.0,3/35,26.95
 , , ,D R Smith (c †M S Dhoni), , , 
 , , ,D J G Sammy (c †M S Dhoni), , , 
10/03/2015,Ireland,Seddon Park,K J O'Brien (c †M S Dhoni),9.0,3/41,26.62
 , , ,N J O'Brien (c U T Yadav), , , 
 , , ,A R Cusack (c U T Yadav), , , 
14/03/2015,Zimbabwe,Eden Park,T Panyangara (c U T Yadav),9.0,3/48,26.32
 , , ,C J Chibhabha (c S Dhawan), , , 
 , , ,Sikandar Raza (b), , , 
19/03/2015,Bangladesh,Melbourne Cricket Ground,Mahmudullah (c S Dhawan),8.0,2/37,26.26
 , , ,Soumya Sarkar (c †M S Dhoni), , , 
26/03/2015,Australia,Sydney Cricket Ground, ,10.0,0/68,26.95
02/07/2017,West Indies,Sir Vivian Richards Stadium, ,10.0,0/33,27.64
06/07/2017,West Indies,Sabina Park,D Bishoo (c †M S Dhoni),10.0,4/48,27.09
 , , ,A R Nurse (c Kuldeep Yadav), , , 
 , , ,J O Holder (c S Dhawan), , , 
 , , ,S D Hope (c A M Rahane), , , 
28/09/2017,Australia,M Chinnaswamy Stadium, ,10.0,0/62,27.75
21/10/2018,West Indies,Barsapara Cricket Stadium,S D Hope (c †M S Dhoni),10.0,2/81,27.80
 , , ,C Hemraj (b), , , 
24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,K O A Powell (c R R Pant),10.0,1/59,28.14
12/01/2019,Australia,Sydney Cricket Ground, ,10.0,0/46,28.78
15/01/2019,Australia,Adelaide Oval,M P Stoinis (c †M S Dhoni),10.0,3/58,28.51
 , , ,J A Richardson (c S Dhawan), , , 
 , , ,A T Carey (c S Dhawan), , , 
18/01/2019,Australia,Melbourne Cricket Ground,G J Maxwell (c B Kumar),9.4,2/47,28.52
 , , ,B Stanlake (b), , , 
23/01/2019,New Zealand,McLean Park,M J Guptill (b),6.0,3/19,28.03
 , , ,C Munro (b), , , 
 , , ,M J Santner (lbw), , , 
26/01/2019,New Zealand,Bay Oval,K S Williamson (b),6.0,1/43,28.11
28/01/2019,New Zealand,Bay Oval,L R P L Taylor (c †K D Karthik),9.0,3/41,27.82
 , , ,C Munro (c R G Sharma), , , 
