Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
28/05/2010,Zimbabwe,Queens Sports Club, ,8.0,0/48,108.00
30/05/2010,Sri Lanka,Queens Sports Club,A D Mathews (b),10.0,1/61,132.00
03/06/2010,Zimbabwe,Harare Sports Club, ,4.0,0/20,54.00
14/10/2011,England,Rajiv Gandhi International Stadium,G P Swann (b),5.0,2/32, 
 , , ,S R Patel (b), , ,42.40
17/10/2011,England,Feroz Shah Kotla,K P Pietersen (c †M S Dhoni),8.2,2/50, 
 , , ,S R Patel (lbw), , ,54.40
20/10/2011,England,Punjab Cricket Association IS Bindra Stadium, ,10.0,0/71,45.71
29/11/2011,West Indies,Barabati Stadium,D Ramdin (c & b),8.0,2/33, 
 , , ,L M P Simmons (b), , ,38.00
02/12/2011,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,M N Samuels (c S K Raina),10.0,3/38, 
 , , ,D Ramdin (c R A Jadeja), , , 
 , , ,A B Barath (c †P A Patel), , ,39.45
05/12/2011,West Indies,Sardar Patel Stadium,D Ramdin (c †P A Patel),9.0,1/75,38.00
12/02/2012,Australia,Adelaide Oval,M J Clarke (b),10.0,2/49, 
 , , ,P J Forrest (c R Vinay Kumar), , ,42.15
14/02/2012,Sri Lanka,Adelaide Oval, ,9.0,0/51,45.38
19/02/2012,Australia,Brisbane Cricket Ground, ,7.0,0/46,45.57
21/02/2012,Sri Lanka,Brisbane Cricket Ground,K C Sangakkara (c S R Tendulkar),8.0,1/58,42.13
26/02/2012,Australia,Sydney Cricket Ground,D J Hussey (c †M S Dhoni),6.0,2/39, 
 , , ,M S Wade (c †M S Dhoni), , ,45.13
28/02/2012,Sri Lanka,Bellerive Oval, ,8.0,0/56,43.44
21/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,K C Sangakkara (b),10.0,2/76, 
 , , ,L D Chandimal (c †M S Dhoni), , ,44.78
24/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium, ,4.0,0/38,43.30
06/06/2013,South Africa,Sophia Gardens,H M Amla (c †M S Dhoni),10.0,2/75, 
 , , ,A B de Villiers (c R A Jadeja), , ,43.81
11/06/2013,West Indies,Kennington Oval,D J J Bravo (c R A Jadeja),9.0,1/54,45.71
15/06/2013,Pakistan,Edgbaston, ,6.4,0/29,48.00
20/06/2013,Sri Lanka,Sophia Gardens, ,8.0,0/30,46.36
23/06/2013,England,Edgbaston,A N Cook (c R Ashwin),2.0,1/10,43.12
30/06/2013,West Indies,Sabina Park,C H Gayle (c S K Raina),9.4,3/43, 
 , , ,D S Smith (lbw), , , 
 , , ,J Charles (c I Sharma), , ,45.04
02/07/2013,Sri Lanka,Sabina Park, ,8.0,0/64,41.93
05/07/2013,West Indies,Queen's Park Oval,D J J Bravo (lbw),8.0,3/32, 
 , , ,D J G Sammy (lbw), , , 
 , , ,D Ramdin (c B Kumar), , ,41.45
09/07/2013,Sri Lanka,Queen's Park Oval,S L Malinga (c R A Jadeja),4.4,1/28,42.69
08/12/2013,South Africa,Kingsmead, ,6.0,0/45,43.07
11/12/2013,South Africa,SuperSport Park,A B de Villiers (lbw),9.0,1/57,40.79
15/06/2014,Bangladesh,Shere Bangla National Stadium,Tamim Iqbal (c †W P Saha),9.0,3/48, 
 , , ,Ziaur Rahman (c S K Raina), , , 
 , , ,Mominul Haque (c †W P Saha), , ,41.70
17/06/2014,Bangladesh,Shere Bangla National Stadium, ,5.0,0/32,41.53
05/09/2014,England,Headingley,A D Hales (c A M Rahane),6.0,1/46,41.89
11/10/2014,West Indies,Feroz Shah Kotla,M N Samuels (c V Kohli),9.0,1/42,41.08
17/10/2014,West Indies,Himachal Pradesh Cricket Association Stadium,D R Smith (c Mohammed Shami),9.0,2/44, 
 , , ,A D Russell (b), , ,39.95
02/11/2014,Sri Lanka,Barabati Stadium,T M Dilshan (c †W P Saha),6.2,2/24, 
 , , ,N L T C Perera (c I Sharma), , ,39.46
06/11/2014,Sri Lanka,Sardar Patel Stadium,K C Sangakkara (c S Dhawan),10.0,2/54, 
 , , ,M D K J Perera (lbw), , ,37.16
09/11/2014,Sri Lanka,Rajiv Gandhi International Stadium,K C Sangakkara (c R Ashwin),9.0,4/53, 
 , , ,N L T C Perera (c sub), , , 
 , , ,S Prasanna (b), , , 
 , , ,M D K J Perera (c †W P Saha), , ,36.60
13/11/2014,Sri Lanka,Eden Gardens,D P M D Jayawardene (lbw),8.0,2/38, 
 , , ,M D K J Perera (c K V Sharma), , ,36.33
18/01/2015,Australia,Melbourne Cricket Ground,D A Warner (c S K Raina),10.0,2/55, 
 , , ,A J Finch (c †M S Dhoni), , ,37.06
20/01/2015,England,Brisbane Cricket Ground, ,6.0,0/42,36.78
15/02/2015,Pakistan,Adelaide Oval,Ahmed Shehzad (c R A Jadeja),10.0,2/50, 
 , , ,Sohaib Maqsood (c S K Raina), , ,37.49
22/02/2015,South Africa,Melbourne Cricket Ground, ,6.0,0/34,36.81
28/02/2015,United Arab Emirates,WACA Ground,Shaiman Anwar (b),6.3,2/15, 
 , , ,A R Berenger (c †M S Dhoni), , ,36.56
06/03/2015,West Indies,WACA Ground,J E Taylor (c & b),10.0,2/42, 
 , , ,D Ramdin (b), , ,36.34
10/03/2015,Ireland,Seddon Park,G H Dockrell (c †M S Dhoni),4.0,1/34,35.49
14/03/2015,Zimbabwe,Eden Park,H Masakadza (c †M S Dhoni),9.5,3/43, 
 , , ,R W Chakabva (c R G Sharma), , , 
 , , ,T L Chatara (b), , ,34.10
19/03/2015,Bangladesh,Melbourne Cricket Ground,Mushfiqur Rahim (c †M S Dhoni),9.0,4/31, 
 , , ,Tamim Iqbal (c †M S Dhoni), , , 
 , , ,Rubel Hossain (c R Ashwin), , , 
 , , ,Sabbir Rahman (c Mohammed Shami), , ,32.87
26/03/2015,Australia,Sydney Cricket Ground,D A Warner (c V Kohli),9.0,4/72, 
 , , ,S P D Smith (c R G Sharma), , , 
 , , ,A J Finch (c S Dhawan), , , 
 , , ,J P Faulkner (b), , ,32.61
18/06/2015,Bangladesh,Shere Bangla National Stadium,Shakib Al Hasan (c R A Jadeja),8.0,2/58, 
 , , ,Nasir Hossain (c R A Jadeja), , ,32.96
24/06/2015,Bangladesh,Shere Bangla National Stadium, ,4.0,0/33,32.87
11/10/2015,South Africa,Green Park,J-P Duminy (c †M S Dhoni),10.0,2/71, 
 , , ,F du Plessis (lbw), , ,33.08
14/10/2015,South Africa,Holkar Cricket Stadium,D W Steyn (c V Kohli),8.0,1/52,33.92
12/01/2016,Australia,WACA Ground, ,10.0,0/54,34.27
15/01/2016,Australia,Brisbane Cricket Ground,S P D Smith (b),10.0,1/74,34.15
17/01/2016,Australia,Melbourne Cricket Ground,A J Finch (c †M S Dhoni),9.5,2/68, 
 , , ,G J Maxwell (c S Dhawan), , ,33.60
20/01/2016,Australia,Manuka Oval,A J Finch (c I Sharma),10.0,3/67, 
 , , ,M R Marsh (c V Kohli), , , 
 , , ,J P Faulkner (b), , ,33.78
23/01/2016,Australia,Sydney Cricket Ground,M S Wade (c †M S Dhoni),8.0,1/82,33.54
16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium,L R P L Taylor (c †M S Dhoni),8.0,2/31, 
 , , ,K S Williamson (c A Mishra), , ,33.79
20/10/2016,New Zealand,Feroz Shah Kotla,M J Guptill (b),9.0,1/42,33.31
23/10/2016,New Zealand,Punjab Cricket Association IS Bindra Stadium,T G Southee (b),10.0,3/75, 
 , , ,M J Guptill (lbw), , , 
 , , ,J D S Neesham (c K M Jadhav), , ,33.62
26/10/2016,New Zealand,JSCA International Stadium Complex,A P Devcich (c H H Pandya),10.0,1/60,33.51
29/10/2016,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,M J Guptill (b),4.0,1/28,33.60
15/01/2017,England,Maharashtra Cricket Association Stadium,M M Ali (b),7.0,1/63,33.00
04/06/2017,Pakistan,Edgbaston,Mohammad Amir (c K M Jadhav),7.4,3/30, 
 , , ,Babar Azam (c R A Jadeja), , , 
 , , ,Hasan Ali (c S Dhawan), , ,33.64
08/06/2017,Sri Lanka,Kennington Oval, ,9.4,0/67,34.03
25/06/2017,West Indies,Queen's Park Oval, ,6.0,0/36,34.12
30/06/2017,West Indies,Sir Vivian Richards Stadium,E Lewis (b),7.0,1/32,33.67
02/07/2017,West Indies,Sir Vivian Richards Stadium,A R Nurse (c & b),10.0,3/36, 
 , , ,J O Holder (c †M S Dhoni), , , 
 , , ,R Powell (c R A Jadeja), , ,33.26
06/07/2017,West Indies,Sabina Park,R L Chase (lbw),10.0,3/53, 
 , , ,R Powell (c †M S Dhoni), , , 
 , , ,K A Hope (c S Dhawan), , ,32.54
28/09/2017,Australia,M Chinnaswamy Stadium,S P D Smith (c V Kohli),10.0,4/71, 
 , , ,A J Finch (c H H Pandya), , , 
 , , ,T M Head (c A M Rahane), , , 
 , , ,P S P Handscomb (b), , ,32.48
12/07/2018,England,Trent Bridge,A U Rashid (c H H Pandya),9.5,2/70, 
 , , ,M M Ali (c V Kohli), , ,32.74
14/07/2018,England,Lord's,J C Buttler (c †M S Dhoni),10.0,1/63,33.31
21/10/2018,West Indies,Barsapara Cricket Stadium, ,10.0,0/64,33.57
