Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2016-01-23,Pakistan,MA Chidambaram Stadium,did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,Chennai,India
2016-11-06,Pakistan,Eden Gardens,lbw b Saeed Ajmal,0.0,0.0,0,0,0.0,0.0,0.0,22,Saeed Ajmal,Kolkata,India
2016-06-13,Pakistan,Feroz Shah Kotla,lbw b Saeed Ajmal,2.0,0.0,0,0,0.0,0.0,0.0,22,Saeed Ajmal,Delhi,India
2018-09-28,West Indies,Feroz Shah Kotla,c K A Pollard b D J J Bravo,18.0,0.0,1,14,0.0,0.0,0.0,24,D J J Bravo,Delhi,India
2016-06-15,England,Saurashtra Cricket Association Stadium,not out,20.0,0.0,0,0,0.0,0.0,0.0,22,0,"Khandheri, Rajkot",India
2016-10-16,England,Nehru Stadium (Kochi),did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,Kochi,India
2017-09-21,West Indies,Nehru Stadium (Kochi),did not bat,,166.67,1,9,0.0,0.0,0.0,23,0,Kochi,India
2018-09-23,West Indies,Nehru Stadium (Kochi),c D J G Sammy b M N Samuels,2.0,0.0,0,13,0.0,0.0,0.0,24,M N Samuels,Kochi,India
2016-10-20,England,JSCA International Stadium Complex,did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,Ranchi,India
2016-10-23,England,Punjab Cricket Association IS Bindra Stadium,did not bat,,0.0,1,1,0.0,0.0,0.0,22,0,"Mohali, Chandigarh",India
2017-08-31,Australia,Punjab Cricket Association IS Bindra Stadium,c G J Bailey b J P Faulkner,10.0,0.0,0,7,0.0,0.0,0.0,23,J P Faulkner,"Mohali, Chandigarh",India
2016-10-29,England,Himachal Pradesh Cricket Association Stadium,c S T Finn b T T Bresnan,31.0,0.0,0,1,0.0,0.0,0.0,22,T T Bresnan,Dharamsala,India
2018-10-27,West Indies,Himachal Pradesh Cricket Association Stadium,did not bat,,0.0,0,14,0.0,0.0,0.0,24,0,Dharamsala,India
2017-01-19,West Indies,Kennington Oval,did not bat,,0.0,1,2,0.0,0.0,0.0,23,0,London,England
2017-01-22,Pakistan,Edgbaston,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Birmingham,England
2017-08-06,England,Edgbaston,not out,1.0,0.0,0,3,0.0,0.0,0.0,23,0,Birmingham,England
2018-09-19,England,Edgbaston,did not bat,,0.0,0,13,0.0,0.0,0.0,24,0,Birmingham,England
2017-11-06,West Indies,Sabina Park,not out,11.0,0.0,0,3,0.0,0.0,0.0,23,0,"Kingston, Jamaica",West Indies
2017-06-15,West Indies,Queen's Park Oval,did not bat,,0.0,1,4,0.0,0.0,0.0,23,0,0,West Indies
2017-06-18,Sri Lanka,Queen's Park Oval,did not bat,,11.11,0,4,0.0,0.0,0.0,23,0,0,West Indies
2017-08-20,Sri Lanka,Queen's Park Oval,lbw b S L Malinga,0.0,0.0,2,6,0.0,0.0,0.0,23,S L Malinga,0,West Indies
2017-08-24,Australia,Maharashtra Cricket Association Stadium,c A C Voges b A J Finch,18.0,0.0,0,6,0.0,0.0,0.0,23,A J Finch,Pune,India
2017-08-27,Australia,Sawai Mansingh Stadium,did not bat,,0.0,1,7,0.0,0.0,0.0,23,0,Jaipur,India
2017-09-17,Australia,M Chinnaswamy Stadium,did not bat,,0.0,0,8,0.0,0.0,0.0,23,0,"Bengaluru, Bangalore",India
2017-09-24,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,not out,1.0,0.0,1,10,0.0,0.0,0.0,23,0,Visakhapatnam,India
2017-01-10,West Indies,Green Park,did not bat,,0.0,0,10,0.0,0.0,0.0,23,0,Kanpur,India
2017-10-22,South Africa,New Wanderers Stadium,c J H Kallis b D W Steyn,0.0,0.0,0,10,0.0,0.0,0.0,23,D W Steyn,Johannesburg,South Africa
2017-10-25,New Zealand,McLean Park,run out,6.0,0.0,1,11,0.0,0.0,0.0,23,0,Napier,New Zealand
2017-10-29,New Zealand,Seddon Park,c N L McCullum b C J Anderson,11.0,0.0,0,11,0.0,0.0,0.0,23,C J Anderson,Hamilton,New Zealand
2017-12-13,New Zealand,Seddon Park,did not bat,,0.0,0,11,0.0,0.0,0.0,23,0,Hamilton,New Zealand
2017-10-12,New Zealand,Eden Park,c N L McCullum b H K Bennett,4.0,0.0,0,11,0.0,0.0,0.0,23,H K Bennett,Auckland,New Zealand
2018-01-02,Bangladesh,Khan Shaheb Osman Ali Stadium,did not bat,,0.0,0,11,0.0,0.0,0.0,24,0,Fatullah,Bangladesh
2018-04-02,Sri Lanka,Khan Shaheb Osman Ali Stadium,st K C Sangakkara b B A W Mendis,0.0,0.0,0,11,0.0,0.0,0.0,24,B A W Mendis,Fatullah,Bangladesh
2018-09-21,England,Headingley,run out,1.0,0.0,0,13,0.0,0.0,0.0,24,0,Leeds,England
2018-10-29,Australia,Melbourne Cricket Ground,b M A Starc,0.0,0.0,1,15,0.0,0.0,0.0,24,M A Starc,Melbourne,Australia
2018-01-11,England,Brisbane Cricket Ground,b J M Anderson,5.0,0.0,0,15,0.0,0.0,0.0,24,J M Anderson,Brisbane,Australia
2019-10-03,Zimbabwe,Harare Sports Club,did not bat,,600.0,0,15,0.0,0.0,0.0,25,0,Harare,Zimbabwe
2019-03-13,Zimbabwe,Harare Sports Club,not out,0.0,25.0,0,15,0.0,0.0,0.0,25,0,Harare,Zimbabwe
