Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2016-11-06,Zimbabwe,Harare Sports Club,did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,Harare,Zimbabwe
2016-06-13,Zimbabwe,Harare Sports Club,did not bat,,0.0,1,1,0.0,0.0,0.0,22,0,Harare,Zimbabwe
2016-06-15,Zimbabwe,Harare Sports Club,did not bat,,0.0,1,2,0.0,0.0,0.0,22,0,Harare,Zimbabwe
2016-10-16,New Zealand,Himachal Pradesh Cricket Association Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,22,0,Dharamsala,India
2017-10-12,Sri Lanka,Himachal Pradesh Cricket Association Stadium,b S S Pathirana,0.0,0.0,0,11,0.0,0.0,0.0,24,S S Pathirana,Dharamsala,India
2016-10-20,New Zealand,Feroz Shah Kotla,b T G Southee,0.0,0.0,0,2,0.0,0.0,0.0,22,T G Southee,Delhi,India
2019-03-13,Australia,Feroz Shah Kotla,not out,1.0,25.0,0,16,0.0,0.0,0.0,25,0,Delhi,India
2016-10-23,New Zealand,Punjab Cricket Association IS Bindra Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,22,0,"Mohali, Chandigarh",India
2017-12-13,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,did not bat,,0.0,0,11,0.0,0.0,0.0,24,0,"Mohali, Chandigarh",India
2019-10-03,Australia,Punjab Cricket Association IS Bindra Stadium,not out,6.0,600.0,0,16,0.0,0.0,0.0,25,0,"Mohali, Chandigarh",India
2016-10-29,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,22,0,Visakhapatnam,India
2017-12-17,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,,0.0,0,11,0.0,0.0,0.0,24,0,Visakhapatnam,India
2017-01-15,England,Maharashtra Cricket Association Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Pune,India
2017-10-25,New Zealand,Maharashtra Cricket Association Stadium,did not bat,,0.0,1,11,0.0,0.0,0.0,23,0,Pune,India
2018-10-27,West Indies,Maharashtra Cricket Association Stadium,c J O Holder b M N Samuels,0.0,0.0,0,15,0.0,0.0,0.0,24,M N Samuels,Pune,India
2017-01-19,England,Barabati Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Cuttack,India
