Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2004-05-09,England,Lord's,c †G O Jones b S J Harmison,1.0,8.33,0,0,1,1,2,19,S J Harmison,London,England
2006-04-15,England,Holkar Cricket Stadium,did not bat,,0.0,0,0,2,0,7,20,0,Indore,India
2006-11-26,South Africa,Newlands,c G C Smith b M Ntini,14.0,60.87,0,0,0,0,7,21,M Ntini,Cape Town,South Africa
2007-01-24,West Indies,Barabati Stadium,b I D R Bradshaw,63.0,72.41,0,1,0,0,7,21,I D R Bradshaw,Cuttack,India
2009-12-21,Sri Lanka,Barabati Stadium,not out,32.0,103.23,0,12,2,1,17,24,0,Cuttack,India
2007-01-27,West Indies,MA Chidambaram Stadium,c †D Ramdin b D J J Bravo,8.0,47.06,0,1,2,0,9,21,D J J Bravo,Chennai,India
2007-08-02,Sri Lanka,Eden Gardens,did not bat,,0.0,0,1,0,0,9,21,0,Kolkata,India
2009-12-24,Sri Lanka,Eden Gardens,not out,19.0,86.36,0,12,0,1,18,24,0,Kolkata,India
2007-11-02,Sri Lanka,Madhavrao Scindia Cricket Ground,lbw b S L Malinga,31.0,63.27,1,2,0,0,9,21,S L Malinga,Rajkot,India
2007-02-14,Sri Lanka,Nehru Stadium (Margao),not out,4.0,66.67,0,2,0,0,9,21,0,Margao,India
2007-02-17,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,c & b C R D Fernando,1.0,11.11,1,3,0,0,9,21,C R D Fernando,Visakhapatnam,India
2017-12-17,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,not out,26.0,83.87,0,23,0,0,37,32,0,Visakhapatnam,India
2007-06-23,Ireland,Civil Service Cricket Club,did not bat,,0.0,0,6,2,1,12,22,0,Belfast,Ireland
2007-06-26,South Africa,Civil Service Cricket Club,b A J Hall,19.0,190.0,0,6,1,0,13,22,A J Hall,Belfast,Ireland
2007-06-29,South Africa,Civil Service Cricket Club,not out,32.0,86.49,1,7,0,0,13,22,0,Belfast,Ireland
2007-01-07,South Africa,Civil Service Cricket Club,did not bat,,0.0,1,8,0,0,13,22,0,Belfast,Ireland
2007-08-24,England,County Ground (Bristol),lbw b A Flintoff,1.0,50.0,0,8,0,0,13,22,A Flintoff,Bristol,England
2007-08-27,England,Edgbaston,c A N Cook b S C J Broad,0.0,0.0,1,9,0,0,13,22,S C J Broad,Birmingham,England
2013-06-15,Pakistan,Edgbaston,not out,11.0,73.33,0,18,0,0,19,28,0,Birmingham,England
2013-06-23,England,Edgbaston,c E J G Morgan b J C Tredwell,6.0,54.55,0,18,0,0,19,28,J C Tredwell,Birmingham,England
2007-08-30,England,Old Trafford,c †M J Prior b S C J Broad,4.0,18.18,1,10,0,0,13,22,S C J Broad,Manchester,England
2007-02-09,England,Headingley,not out,2.0,66.67,1,11,0,0,13,22,0,Leeds,England
2018-07-17,England,Headingley,b A U Rashid,21.0,95.45,0,23,0,0,37,33,A U Rashid,Leeds,England
2009-06-26,West Indies,Sabina Park,c †D Ramdin b D E Bernard,67.0,87.01,0,12,0,0,13,24,D E Bernard,"Kingston, Jamaica",West Indies
2009-06-28,West Indies,Sabina Park,c †D Ramdin b J E Taylor,4.0,80.0,0,12,0,0,13,24,J E Taylor,"Kingston, Jamaica",West Indies
2013-06-30,West Indies,Sabina Park,c & b M N Samuels,23.0,41.07,1,19,0,0,19,28,M N Samuels,"Kingston, Jamaica",West Indies
2013-02-07,Sri Lanka,Sabina Park,st K C Sangakkara b H M R K B Herath,22.0,53.66,0,19,0,0,19,28,H M R K B Herath,"Kingston, Jamaica",West Indies
2017-06-07,West Indies,Sabina Park,not out,50.0,96.15,0,19,0,0,37,32,0,"Kingston, Jamaica",West Indies
2009-03-07,West Indies,Darren Sammy National Cricket Stadium,run out,47.0,109.3,0,12,0,0,13,24,0,"Gros Islet, St Lucia",West Indies
2009-05-07,West Indies,Darren Sammy National Cricket Stadium,did not bat,,0.0,0,12,0,0,13,24,0,"Gros Islet, St Lucia",West Indies
2009-11-09,New Zealand,R Premadasa Stadium,lbw b K D Mills,4.0,36.36,0,12,0,0,13,24,K D Mills,Colombo,Sri Lanka
