Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2016-10-16,Sri Lanka,R Premadasa Stadium,not out,60.0,77.92,0,0,0.0,0.0,0.0,20,0,Colombo,Sri Lanka
2016-10-20,West Indies,Sabina Park,c †D Ramdin b D J J Bravo,0.0,0.0,1,1,0.0,0.0,0.0,20,D J J Bravo,"Kingston, Jamaica",West Indies
2016-10-23,West Indies,Sabina Park,c †D Ramdin b R Rampaul,7.0,58.33,0,1,0.0,0.0,0.0,20,R Rampaul,"Kingston, Jamaica",West Indies
2016-10-26,Australia,Reliance Stadium,lbw b N M Hauritz,5.0,38.46,0,1,0.0,0.0,0.0,20,N M Hauritz,Vadodara,India
2018-07-02,New Zealand,Reliance Stadium,did not bat,,0.0,0,11,0.0,0.0,0.0,21,0,Vadodara,India
2017-01-19,Australia,Feroz Shah Kotla,did not bat,,0.0,0,1,0.0,0.0,0.0,20,0,Delhi,India
2017-06-25,Sri Lanka,Feroz Shah Kotla,did not bat,,0.0,0,5,0.0,0.0,0.0,21,0,Delhi,India
2018-07-14,England,Feroz Shah Kotla,did not bat,,0.0,1,15,0.0,0.0,0.0,22,0,Delhi,India
2017-01-22,Australia,Punjab Cricket Association IS Bindra Stadium,run out,7.0,33.33,1,2,0.0,0.0,0.0,20,0,"Mohali, Chandigarh",India
2018-07-17,England,Punjab Cricket Association IS Bindra Stadium,not out,26.0,108.33,0,15,0.0,0.0,0.0,22,0,"Mohali, Chandigarh",India
2017-04-06,Australia,Rajiv Gandhi International Stadium,run out,23.0,135.29,1,3,0.0,0.0,0.0,20,0,Hyderabad,India
2018-12-07,England,Rajiv Gandhi International Stadium,run out,27.0,122.73,1,14,0.0,0.0,0.0,22,0,Hyderabad,India
2017-08-06,Australia,Nehru Stadium (Guwahati),c C L White b D E Bollinger,57.0,55.34,0,3,0.0,0.0,0.0,20,D E Bollinger,Guwahati,India
2017-11-06,Sri Lanka,Madhavrao Scindia Cricket Ground,not out,30.0,176.47,1,4,0.0,0.0,0.0,21,0,Rajkot,India
2017-06-18,Sri Lanka,Barabati Stadium,did not bat,,0.0,0,4,0.0,0.0,0.0,21,0,Cuttack,India
2019-01-31,West Indies,Barabati Stadium,c L M P Simmons b K A Pollard,38.0,61.29,0,15,0.0,0.0,0.0,22,K A Pollard,Cuttack,India
2017-06-23,Sri Lanka,Eden Gardens,did not bat,,0.0,1,5,0.0,0.0,0.0,21,0,Kolkata,India
2019-01-28,England,Eden Gardens,c I R Bell b S R Patel,21.0,100.0,0,15,0.0,0.0,0.0,22,S R Patel,Kolkata,India
2017-08-27,South Africa,Sawai Mansingh Stadium,c †M V Boucher b J H Kallis,22.0,110.0,0,6,0.0,0.0,0.0,21,J H Kallis,Jaipur,India
2017-08-31,South Africa,Captain Roop Singh Stadium,did not bat,,0.0,0,6,0.0,0.0,0.0,21,0,Gwalior,India
2017-09-17,South Africa,Sardar Patel Stadium,c †M V Boucher b L L Tsotsobe,36.0,102.86,1,7,0.0,0.0,0.0,21,L L Tsotsobe,Ahmedabad,India
2017-09-21,Zimbabwe,Queens Sports Club,not out,61.0,100.0,0,7,0.0,0.0,0.0,21,0,Bulawayo,Zimbabwe
2017-09-24,Sri Lanka,Queens Sports Club,did not bat,,0.0,0,7,0.0,0.0,0.0,21,0,Bulawayo,Zimbabwe
2017-09-28,Zimbabwe,Harare Sports Club,c H Masakadza b A M Blignaut,51.0,70.83,0,7,0.0,0.0,0.0,21,A M Blignaut,Harare,Zimbabwe
2017-01-10,Sri Lanka,Harare Sports Club,run out,19.0,73.08,0,7,0.0,0.0,0.0,21,0,Harare,Zimbabwe
2017-10-22,Bangladesh,Rangiri Dambulla International Stadium,did not bat,,0.0,0,7,0.0,0.0,0.0,21,0,Dambulla,Sri Lanka
2017-10-25,Pakistan,Rangiri Dambulla International Stadium,b Saeed Ajmal,6.0,66.67,0,7,0.0,0.0,0.0,21,Saeed Ajmal,Dambulla,Sri Lanka
2017-10-29,Sri Lanka,Rangiri Dambulla International Stadium,lbw b M F Maharoof,0.0,0.0,1,8,0.0,0.0,0.0,21,M F Maharoof,Dambulla,Sri Lanka
2017-10-12,Sri Lanka,Rangiri Dambulla International Stadium,not out,25.0,92.59,1,9,0.0,0.0,0.0,21,0,Dambulla,Sri Lanka
2017-12-13,New Zealand,Rangiri Dambulla International Stadium,c S B Styris b K S Williamson,20.0,45.45,0,9,0.0,0.0,0.0,21,K S Williamson,Dambulla,Sri Lanka
2017-12-17,Sri Lanka,Rangiri Dambulla International Stadium,did not bat,,0.0,1,10,0.0,0.0,0.0,21,0,Dambulla,Sri Lanka
2018-01-02,Sri Lanka,Rangiri Dambulla International Stadium,c L P C Silva b N L T C Perera,0.0,0.0,1,11,0.0,0.0,0.0,21,N L T C Perera,Dambulla,Sri Lanka
2018-04-02,New Zealand,Rangiri Dambulla International Stadium,c L R P L Taylor b T G Southee,17.0,65.38,0,11,0.0,0.0,0.0,21,T G Southee,Dambulla,Sri Lanka
2018-10-02,England,Kennington Oval,c I R Bell b J W Dernbach,78.0,87.64,0,11,0.0,0.0,0.0,22,J W Dernbach,London,England
2018-02-13,England,Lord's,not out,0.0,0.0,2,13,0.0,0.0,0.0,22,0,London,England
2019-03-02,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,not out,9.0,112.5,1,16,0.0,0.0,0.0,22,0,Visakhapatnam,India
