Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2016-11-06,Zimbabwe,Harare Sports Club,not out,100.0,86.96,1,1,0.0,0.0,0.0,24,0,Harare,Zimbabwe
2016-06-13,Zimbabwe,Harare Sports Club,b C J Chibhabha,33.0,66.0,0,1,0.0,0.0,0.0,24,C J Chibhabha,Harare,Zimbabwe
2016-06-15,Zimbabwe,Harare Sports Club,not out,63.0,90.0,2,3,0.0,0.0,0.0,24,0,Harare,Zimbabwe
2017-01-15,England,Maharashtra Cricket Association Stadium,b D J Willey,8.0,44.44,0,3,0.0,0.0,0.0,24,D J Willey,Pune,India
2017-01-19,England,Barabati Stadium,c B A Stokes b C R Woakes,5.0,100.0,0,3,0.0,0.0,0.0,24,C R Woakes,Cuttack,India
2017-01-22,England,Eden Gardens,c †J C Buttler b J T Ball,11.0,100.0,1,4,0.0,0.0,0.0,24,J T Ball,Kolkata,India
2017-08-20,Sri Lanka,Rangiri Dambulla International Stadium,did not bat,,0.0,1,5,0.0,0.0,0.0,25,0,Dambulla,Sri Lanka
2017-08-24,Sri Lanka,Pallekele International Cricket Stadium,b A Dananjaya,4.0,66.67,0,5,0.0,0.0,0.0,25,A Dananjaya,"Pallekele, Kandy",Sri Lanka
2017-08-27,Sri Lanka,Pallekele International Cricket Stadium,c H D R L Thirimanne b A Dananjaya,17.0,70.83,0,5,0.0,0.0,0.0,25,A Dananjaya,"Pallekele, Kandy",Sri Lanka
2017-08-31,Sri Lanka,R Premadasa Stadium,c P W H de Silva b A Dananjaya,7.0,87.5,0,5,0.0,0.0,0.0,25,A Dananjaya,Colombo,Sri Lanka
2018-07-14,England,Lord's,c †J C Buttler b L E Plunkett,0.0,0.0,0,6,0.0,0.0,0.0,26,L E Plunkett,London,England
2018-09-25,Afghanistan,Dubai International Cricket Stadium,lbw b Rashid Khan,60.0,90.91,0,6,0.0,0.0,0.0,26,Rashid Khan,Dubai,United Arab Emirates
2019-10-03,Australia,Punjab Cricket Association IS Bindra Stadium,c †A T Carey b A Zampa,26.0,83.87,1,7,0.0,0.0,0.0,26,A Zampa,"Mohali, Chandigarh",India
