Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2017-06-23,West Indies,Queen's Park Oval,did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,0,West Indies
2017-06-25,West Indies,Queen's Park Oval,did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,0,West Indies
2017-06-07,West Indies,Sabina Park,did not bat,,0.0,1,1,0.0,0.0,0.0,22,0,"Kingston, Jamaica",West Indies
2017-08-31,Sri Lanka,R Premadasa Stadium,did not bat,,0.0,1,2,0.0,0.0,0.0,22,0,Colombo,Sri Lanka
2017-03-09,Sri Lanka,R Premadasa Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,22,0,Colombo,Sri Lanka
2017-09-17,Australia,MA Chidambaram Stadium,not out,0.0,0.0,0,2,0.0,0.0,0.0,22,0,Chennai,India
2017-09-21,Australia,Eden Gardens,c †M S Wade b P J Cummins,0.0,0.0,0,2,0.0,0.0,0.0,22,P J Cummins,Kolkata,India
2017-09-24,Australia,Holkar Cricket Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,22,0,Indore,India
2017-10-12,Sri Lanka,Himachal Pradesh Cricket Association Stadium,st N Dickwella b A Dananjaya,19.0,76.0,0,2,0.0,0.0,0.0,22,A Dananjaya,Dharamsala,India
2017-12-17,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Visakhapatnam,India
2018-10-24,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,,0.0,0,3,0.0,0.0,0.0,23,0,Visakhapatnam,India
2018-01-02,South Africa,Kingsmead,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Durban,South Africa
2018-07-02,South Africa,Newlands,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Cape Town,South Africa
2018-10-02,South Africa,New Wanderers Stadium,not out,0.0,0.0,0,2,0.0,0.0,0.0,23,0,Johannesburg,South Africa
2018-07-14,England,Lord's,not out,8.0,30.77,0,2,0.0,0.0,0.0,23,0,London,England
2018-07-17,England,Headingley,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Leeds,England
2018-09-18,Hong Kong,Dubai International Cricket Stadium,not out,0.0,0.0,0,2,0.0,0.0,0.0,23,0,Dubai,United Arab Emirates
2018-09-19,Pakistan,Dubai International Cricket Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Dubai,United Arab Emirates
2018-09-21,Bangladesh,Dubai International Cricket Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Dubai,United Arab Emirates
2018-09-23,Pakistan,Dubai International Cricket Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Dubai,United Arab Emirates
2018-09-25,Afghanistan,Dubai International Cricket Stadium,run out,9.0,81.82,1,3,0.0,0.0,0.0,23,0,Dubai,United Arab Emirates
2018-09-28,Bangladesh,Dubai International Cricket Stadium,not out,5.0,100.0,0,3,0.0,0.0,0.0,23,0,Dubai,United Arab Emirates
2018-10-27,West Indies,Maharashtra Cricket Association Stadium,not out,15.0,71.43,0,3,0.0,0.0,0.0,23,0,Pune,India
2018-10-29,West Indies,Brabourne Stadium,did not bat,,0.0,0,3,0.0,0.0,0.0,23,0,Mumbai,India
2018-01-11,West Indies,Greenfield International Stadium,did not bat,,0.0,0,3,0.0,0.0,0.0,23,0,Thiruvananthapuram,India
2019-01-15,Australia,Adelaide Oval,did not bat,,0.0,0,3,0.0,0.0,0.0,24,0,Adelaide,Australia
2019-01-23,New Zealand,McLean Park,did not bat,,0.0,1,4,0.0,0.0,0.0,24,0,Napier,New Zealand
2019-01-26,New Zealand,Bay Oval,did not bat,,0.0,0,4,0.0,0.0,0.0,24,0,Mount Maunganui,New Zealand
2019-01-28,New Zealand,Bay Oval,did not bat,,0.0,0,4,0.0,0.0,0.0,24,0,Mount Maunganui,New Zealand
2019-01-31,New Zealand,Seddon Park,c C de Grandhomme b T D Astle,15.0,45.45,0,4,0.0,0.0,0.0,24,T D Astle,Hamilton,New Zealand
2019-02-03,Australia,Rajiv Gandhi International Stadium,did not bat,,0.0,0,4,0.0,0.0,0.0,24,0,Hyderabad,India
2019-08-03,Australia,JSCA International Stadium Complex,c A J Finch b P J Cummins,10.0,62.5,0,4,0.0,0.0,0.0,24,P J Cummins,Ranchi,India
2019-10-03,Australia,Punjab Cricket Association IS Bindra Stadium,not out,1.0,100.0,1,5,0.0,0.0,0.0,24,0,"Mohali, Chandigarh",India
2019-03-13,Australia,Feroz Shah Kotla,b M P Stoinis,8.0,66.67,0,5,0.0,0.0,0.0,24,M P Stoinis,Delhi,India
