Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2004-12-23,Bangladesh,MA Aziz Stadium,run out,0.0,0.0,0.0,0,0,0,0,23,0,Chittagong,Bangladesh
2004-12-26,Bangladesh,Bangabandhu National Stadium,c Habibul Bashar b Mashrafe Mortaza,12.0,109.09,0.0,0,1,0,1,23,Mashrafe Mortaza,Dhaka (Dacca),Bangladesh
2004-12-27,Bangladesh,Bangabandhu National Stadium,not out,7.0,350.0,0.0,0,3,2,6,23,0,Dhaka (Dacca),Bangladesh
2005-02-04,Pakistan,Nehru Stadium (Kochi),0,3.0,42.86,0.0,0,0,0,6,23,Arshad Khan,Kochi,India
2006-06-04,England,Nehru Stadium (Kochi),not out,10.0,76.92,0.0,0,1,0,45,24,0,Kochi,India
2007-02-10,Australia,Nehru Stadium (Kochi),c B J Hodge b G B Hogg,58.0,65.91,0.0,0,1,1,106,26,G B Hogg,Kochi,India
2013-01-15,England,Nehru Stadium (Kochi),c J E Root b J W Dernbach,72.0,109.09,0.0,0,3,0,271,31,J W Dernbach,Kochi,India
2013-11-21,West Indies,Nehru Stadium (Kochi),not out,13.0,185.71,0.0,0,0,1,292,32,0,Kochi,India
2014-08-10,West Indies,Nehru Stadium (Kochi),b D J G Sammy,8.0,38.1,0.0,0,0,0,311,33,D J G Sammy,Kochi,India
2005-05-04,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,c Shoaib Malik b Mohammad Hafeez,148.0,120.33,0.0,0,2,0,8,23,Malik b Mohammad Hafeez,Visakhapatnam,India
2007-02-17,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,,0.0,0.0,0,0,0,73,25,0,Visakhapatnam,India
2010-10-20,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,b J W Hastings,0.0,0.0,0.0,0,0,0,225,29,J W Hastings,Visakhapatnam,India
2013-11-24,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,not out,51.0,127.5,0.0,0,3,1,296,32,0,Visakhapatnam,India
2005-09-04,Pakistan,Keenan Stadium,0,28.0,116.67,0.0,0,0,1,9,23,0,Jamshedpur,India
2006-12-04,England,Keenan Stadium,c V S Solanki b S I Mahmood,96.0,90.57,0.0,0,1,0,46,24,S I Mahmood,Jamshedpur,India
2005-12-04,Pakistan,Sardar Patel Stadium,c †Kamran Akmal b Shoaib Malik,47.0,73.44,0.0,0,0,0,9,23,Shoaib Malik,Ahmedabad,India
2005-06-11,Sri Lanka,Sardar Patel Stadium,lbw b D N T Zoysa,0.0,0.0,0.0,0,0,0,26,24,D N T Zoysa,Ahmedabad,India
2006-10-26,West Indies,Sardar Patel Stadium,run out,51.0,78.46,0.0,0,0,0,62,25,0,Ahmedabad,India
2010-02-27,South Africa,Sardar Patel Stadium,c †M V Boucher b D W Steyn,9.0,128.57,0.0,0,0,0,206,28,D W Steyn,Ahmedabad,India
2011-03-24,Australia,Sardar Patel Stadium,c M J Clarke b B Lee,7.0,87.5,0.0,0,0,0,239,29,B Lee,Ahmedabad,India
2005-04-15,Pakistan,Green Park,0,11.0,68.75,0.0,0,0,0,9,23,0,Kanpur,India
2007-11-11,Pakistan,Green Park,b Shoaib Akhtar,49.0,94.23,0.0,0,0,0,113,26,Shoaib Akhtar,Kanpur,India
2008-11-20,England,Green Park,not out,29.0,56.86,0.0,0,2,2,165,27,0,Kanpur,India
2013-11-27,West Indies,Green Park,not out,23.0,100.0,0.0,0,1,0,297,32,0,Kanpur,India
2005-04-17,Pakistan,Feroz Shah Kotla,c Shahid Afridi b Arshad Khan,24.0,63.16,0.0,0,2,0,11,23,Arshad Khan,Delhi,India
2006-03-28,England,Feroz Shah Kotla,c P D Collingwood b L E Plunkett,20.0,71.43,0.0,0,2,0,41,24,L E Plunkett,Delhi,India
2009-10-31,Australia,Feroz Shah Kotla,not out,71.0,74.74,0.0,0,1,1,196,28,0,Delhi,India
2009-12-27,Sri Lanka,Feroz Shah Kotla,did not bat,,0.0,0.0,0,1,0,202,28,0,Delhi,India
2011-09-03,Netherlands,Feroz Shah Kotla,not out,19.0,47.5,0.0,0,1,0,236,29,0,Delhi,India
2011-10-17,England,Feroz Shah Kotla,did not bat,,0.0,0.0,0,2,0,245,30,0,Delhi,India
2013-06-01,Pakistan,Feroz Shah Kotla,c Umar Akmal b Umar Gul,36.0,65.45,0.0,0,1,1,268,31,Umar Gul,Delhi,India
2014-11-10,West Indies,Feroz Shah Kotla,not out,51.0,127.5,0.0,0,0,1,312,33,0,Delhi,India
2005-07-30,Sri Lanka,Rangiri Dambulla International Stadium,b L H D Dilhara,2.0,28.57,0.0,0,1,0,12,24,L H D Dilhara,Dambulla,Sri Lanka
2005-07-31,West Indies,Rangiri Dambulla International Stadium,not out,15.0,136.36,0.0,0,1,0,13,24,0,Dambulla,Sri Lanka
2005-03-08,Sri Lanka,Rangiri Dambulla International Stadium,c & b T M Dilshan,20.0,74.07,0.0,0,3,0,16,24,T M Dilshan,Dambulla,Sri Lanka
2008-08-18,Sri Lanka,Rangiri Dambulla International Stadium,c D P M D Jayawardene b B A W Mendis,6.0,21.43,0.0,0,0,0,153,27,B A W Mendis,Dambulla,Sri Lanka
2008-08-20,Sri Lanka,Rangiri Dambulla International Stadium,b C R D Fernando,39.0,72.22,0.0,0,1,0,154,27,C R D Fernando,Dambulla,Sri Lanka
2009-01-28,Sri Lanka,Rangiri Dambulla International Stadium,not out,61.0,93.85,0.0,0,0,0,165,27,0,Dambulla,Sri Lanka
2010-06-16,Bangladesh,Rangiri Dambulla International Stadium,not out,38.0,84.44,0.0,0,3,0,209,28,0,Dambulla,Sri Lanka
2010-06-19,Pakistan,Rangiri Dambulla International Stadium,b Shoaib Malik,56.0,78.87,0.0,0,2,0,211,28,Shoaib Malik,Dambulla,Sri Lanka
2010-06-22,Sri Lanka,Rangiri Dambulla International Stadium,run out,41.0,77.36,0.0,0,1,0,212,28,0,Dambulla,Sri Lanka
2010-06-24,Sri Lanka,Rangiri Dambulla International Stadium,c K M D N Kulasekara b S H T Kandamby,38.0,76.0,0.0,0,4,1,217,28,S H T Kandamby,Dambulla,Sri Lanka
2010-10-08,New Zealand,Rangiri Dambulla International Stadium,run out,2.0,22.22,0.0,0,2,1,220,29,0,Dambulla,Sri Lanka
2010-08-16,Sri Lanka,Rangiri Dambulla International Stadium,not out,23.0,60.53,0.0,0,1,1,222,29,0,Dambulla,Sri Lanka
2010-08-21,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b N L T C Perera,10.0,62.5,0.0,0,0,0,222,29,N L T C Perera,Dambulla,Sri Lanka
2010-08-25,New Zealand,Rangiri Dambulla International Stadium,c †G J Hopkins b N L McCullum,38.0,50.67,0.0,0,1,0,223,29,N L McCullum,Dambulla,Sri Lanka
2010-08-28,Sri Lanka,Rangiri Dambulla International Stadium,b S Randiv,67.0,67.0,0.0,0,2,0,225,29,S Randiv,Dambulla,Sri Lanka
2005-07-08,West Indies,R Premadasa Stadium,not out,28.0,215.38,0.0,0,0,0,16,24,0,Colombo,Sri Lanka
2005-09-08,Sri Lanka,R Premadasa Stadium,lbw b U D U Chandana,7.0,63.64,0.0,0,0,0,16,24,U D U Chandana,Colombo,Sri Lanka
2008-08-24,Sri Lanka,R Premadasa Stadium,c D P M D Jayawardene b B A W Mendis,76.0,95.0,0.0,0,2,0,156,27,B A W Mendis,Colombo,Sri Lanka
2008-08-27,Sri Lanka,R Premadasa Stadium,c S T Jayasuriya b T Thushara,71.0,88.75,0.0,0,0,1,157,27,T Thushara,Colombo,Sri Lanka
2008-08-29,Sri Lanka,R Premadasa Stadium,b C R D Fernando,1.0,14.29,0.0,0,0,0,157,27,C R D Fernando,Colombo,Sri Lanka
2009-01-31,Sri Lanka,R Premadasa Stadium,c †K C Sangakkara b M F Maharoof,23.0,65.71,0.0,0,1,0,166,27,M F Maharoof,Colombo,Sri Lanka
2009-03-02,Sri Lanka,R Premadasa Stadium,not out,35.0,77.78,0.0,0,1,0,167,27,0,Colombo,Sri Lanka
2009-05-02,Sri Lanka,R Premadasa Stadium,c C R D Fernando b S T Jayasuriya,94.0,97.92,0.0,0,2,0,169,27,S T Jayasuriya,Colombo,Sri Lanka
2009-08-02,Sri Lanka,R Premadasa Stadium,c K M D N Kulasekara b S T Jayasuriya,53.0,91.38,0.0,0,1,0,170,27,S T Jayasuriya,Colombo,Sri Lanka
2009-11-09,New Zealand,R Premadasa Stadium,not out,35.0,53.85,0.0,0,2,0,181,28,0,Colombo,Sri Lanka
2009-12-09,Sri Lanka,R Premadasa Stadium,b A D Mathews,8.0,44.44,0.0,0,1,2,184,28,A D Mathews,Colombo,Sri Lanka
2009-09-14,Sri Lanka,R Premadasa Stadium,c S H T Kandamby b S L Malinga,56.0,90.32,0.0,0,1,1,186,28,S L Malinga,Colombo,Sri Lanka
2012-07-28,Sri Lanka,R Premadasa Stadium,b S L Malinga,31.0,63.27,0.0,0,1,0,261,31,S L Malinga,Colombo,Sri Lanka
2012-07-31,Sri Lanka,R Premadasa Stadium,did not bat,,0.0,0.0,0,2,1,264,31,0,Colombo,Sri Lanka
2005-08-26,New Zealand,Queens Sports Club,c †B B McCullum b A R Adams,2.0,40.0,0.0,0,1,0,17,24,A R Adams,Bulawayo,Zimbabwe
2005-08-29,Zimbabwe,Harare Sports Club,c N B Mahwire b A J Ireland,56.0,121.74,0.0,0,0,0,17,24,A J Ireland,Harare,Zimbabwe
2005-02-09,New Zealand,Harare Sports Club,not out,37.0,137.04,0.0,0,1,0,18,24,0,Harare,Zimbabwe
2005-04-09,Zimbabwe,Harare Sports Club,not out,67.0,106.35,0.0,0,0,1,19,24,0,Harare,Zimbabwe
2005-06-09,New Zealand,Harare Sports Club,lbw b S B Styris,11.0,68.75,0.0,0,1,1,21,24,S B Styris,Harare,Zimbabwe
2005-10-28,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,did not bat,,0.0,0.0,0,1,0,24,24,0,"Mohali, Chandigarh",India
2006-10-29,Australia,Punjab Cricket Association IS Bindra Stadium,lbw b N W Bracken,28.0,121.74,0.0,0,0,0,62,25,N W Bracken,"Mohali, Chandigarh",India
2007-08-11,Pakistan,Punjab Cricket Association IS Bindra Stadium,c †Kamran Akmal b Shoaib Akhtar,4.0,40.0,0.0,0,0,1,113,26,Shoaib Akhtar,"Mohali, Chandigarh",India
2009-02-11,Australia,Punjab Cricket Association IS Bindra Stadium,c †G A Manou b D E Bollinger,26.0,56.52,0.0,0,1,1,198,28,D E Bollinger,"Mohali, Chandigarh",India
2011-03-30,Pakistan,Punjab Cricket Association IS Bindra Stadium,lbw b Wahab Riaz,25.0,59.52,0.0,0,1,0,240,29,Wahab Riaz,"Mohali, Chandigarh",India
2011-10-20,England,Punjab Cricket Association IS Bindra Stadium,not out,35.0,112.9,0.0,0,0,0,245,30,0,"Mohali, Chandigarh",India
2013-01-23,England,Punjab Cricket Association IS Bindra Stadium,c E J G Morgan b J W Dernbach,19.0,90.48,0.0,0,0,0,274,31,J W Dernbach,"Mohali, Chandigarh",India
2013-10-19,Australia,Punjab Cricket Association IS Bindra Stadium,not out,139.0,114.88,0.0,0,1,0,289,32,0,"Mohali, Chandigarh",India
2005-10-31,Sri Lanka,Sawai Mansingh Stadium,not out,183.0,126.21,0.0,0,1,0,25,24,0,Jaipur,India
2006-10-15,England,Sawai Mansingh Stadium,c P D Collingwood b J W M Dalrymple,7.0,31.82,0.0,0,1,0,62,25,J W M Dalrymple,Jaipur,India
2007-11-18,Pakistan,Sawai Mansingh Stadium,c Imran Nazir b Shoaib Malik,24.0,75.0,0.0,0,1,2,116,26,Shoaib Malik,Jaipur,India
2010-02-21,South Africa,Sawai Mansingh Stadium,c J A Morkel b J H Kallis,26.0,89.66,0.0,0,1,0,206,28,J H Kallis,Jaipur,India
2013-10-16,Australia,Sawai Mansingh Stadium,did not bat,,0.0,0.0,0,1,0,288,32,0,Jaipur,India
2005-03-11,Sri Lanka,Nehru Stadium (Pune),not out,45.0,104.65,0.0,0,1,0,26,24,0,Pune,India
2005-09-11,Sri Lanka,Madhavrao Scindia Cricket Ground,did not bat,,0.0,0.0,0,2,1,29,24,0,Rajkot,India
2007-11-02,Sri Lanka,Madhavrao Scindia Cricket Ground,c M F Maharoof b S T Jayasuriya,48.0,70.59,0.0,0,2,0,72,25,S T Jayasuriya,Rajkot,India
2008-11-14,England,Madhavrao Scindia Cricket Ground,b S J Harmison,39.0,121.88,0.0,0,2,1,160,27,S J Harmison,Rajkot,India
2009-12-15,Sri Lanka,Madhavrao Scindia Cricket Ground,c A D Mathews b C R D Fernando,72.0,135.85,0.0,0,0,2,200,28,C R D Fernando,Rajkot,India
2005-12-11,Sri Lanka,Reliance Stadium,c sub b U D U Chandana,80.0,109.59,0.0,0,1,0,30,24,b U D U Chandana,Vadodara,India
2007-01-31,West Indies,Reliance Stadium,not out,40.0,200.0,0.0,0,0,0,69,25,0,Vadodara,India
2007-11-10,Australia,Reliance Stadium,c †A C Gilchrist b M G Johnson,4.0,57.14,0.0,0,0,0,109,26,M G Johnson,Vadodara,India
2009-10-25,Australia,Reliance Stadium,c B Lee b S R Watson,34.0,73.91,0.0,0,1,0,192,28,S R Watson,Vadodara,India
2005-11-16,South Africa,Rajiv Gandhi International Stadium,run out,17.0,60.71,0.0,0,0,0,30,24,0,Hyderabad,India
2007-05-10,Australia,Rajiv Gandhi International Stadium,c †A C Gilchrist b B Lee,33.0,89.19,0.0,0,1,0,107,26,B Lee,Hyderabad,India
2009-05-11,Australia,Rajiv Gandhi International Stadium,c A C Voges b C J McKay,6.0,40.0,0.0,0,0,0,198,28,C J McKay,Hyderabad,India
2011-10-14,England,Rajiv Gandhi International Stadium,not out,87.0,124.29,0.0,0,1,1,243,30,0,Hyderabad,India
2005-11-19,South Africa,M Chinnaswamy Stadium,did not bat,,0.0,0.0,0,1,0,31,24,0,"Bengaluru, Bangalore",India
2007-06-06,ACA Africa XI,M Chinnaswamy Stadium,run out,2.0,50.0,0.0,0,1,0,84,25,0,"Bengaluru, Bangalore",India
2007-09-29,Australia,M Chinnaswamy Stadium,did not bat,,0.0,0.0,0,0,1,104,26,0,"Bengaluru, Bangalore",India
2008-11-23,England,M Chinnaswamy Stadium,b S R Patel,9.0,180.0,0.0,0,0,0,165,27,S R Patel,"Bengaluru, Bangalore",India
2011-02-27,England,M Chinnaswamy Stadium,c sub b T T Bresnan,31.0,124.0,0.0,0,0,0,232,29,b T T Bresnan,"Bengaluru, Bangalore",India
2011-06-03,Ireland,M Chinnaswamy Stadium,lbw b G H Dockrell,34.0,68.0,0.0,0,3,0,235,29,G H Dockrell,"Bengaluru, Bangalore",India
2013-02-11,Australia,M Chinnaswamy Stadium,run out,62.0,163.16,0.0,0,0,0,291,32,0,"Bengaluru, Bangalore",India
2005-11-25,South Africa,Eden Gardens,c J Botha b A J Hall,14.0,53.85,0.0,0,0,0,31,24,A J Hall,Kolkata,India
2007-08-02,Sri Lanka,Eden Gardens,did not bat,,0.0,0.0,0,1,0,70,25,0,Kolkata,India
2011-10-25,England,Eden Gardens,not out,75.0,108.7,0.0,0,3,0,248,30,0,Kolkata,India
2013-03-01,Pakistan,Eden Gardens,not out,54.0,60.67,0.0,0,0,1,266,31,0,Kolkata,India
2006-06-02,Pakistan,Arbab Niaz Stadium,c Shoaib Malik b Mohammad Asif,68.0,128.3,0.0,0,1,0,32,24,Malik b Mohammad Asif,Peshawar,Pakistan
2006-11-02,Pakistan,Rawalpindi Cricket Stadium,did not bat,,0.0,0.0,0,1,0,33,24,0,Rawalpindi,Pakistan
2006-02-13,Pakistan,Gaddafi Stadium,not out,72.0,156.52,0.0,0,3,0,36,24,0,Lahore,Pakistan
2006-02-16,Pakistan,Multan Cricket Stadium,not out,2.0,40.0,0.0,0,3,0,39,24,0,Multan,Pakistan
2006-02-19,Pakistan,National Stadium,not out,77.0,137.5,0.0,0,0,0,39,24,0,Karachi,Pakistan
2008-06-25,Hong Kong,National Stadium,not out,109.0,113.54,0.0,0,1,3,146,26,0,Karachi,Pakistan
2008-06-26,Pakistan,National Stadium,not out,26.0,86.67,0.0,0,1,0,147,26,0,Karachi,Pakistan
2008-06-28,Bangladesh,National Stadium,did not bat,,0.0,0.0,0,2,0,149,26,0,Karachi,Pakistan
2008-02-07,Pakistan,National Stadium,c †Sarfraz Ahmed b Sohail Tanvir,76.0,79.17,0.0,0,0,0,149,26,Sohail Tanvir,Karachi,Pakistan
2008-03-07,Sri Lanka,National Stadium,b M Muralitharan,67.0,108.06,0.0,0,2,0,151,26,M Muralitharan,Karachi,Pakistan
2008-06-07,Sri Lanka,National Stadium,c †K C Sangakkara b W P U J C Vaas,49.0,66.22,0.0,0,2,0,153,26,W P U J C Vaas,Karachi,Pakistan
2006-03-31,England,Nahar Singh Stadium,b A Flintoff,38.0,69.09,0.0,0,1,1,43,24,A Flintoff,Faridabad,India
2006-03-04,England,Nehru Stadium (Margao),not out,13.0,216.67,0.0,0,1,0,44,24,0,Margao,India
2007-02-14,Sri Lanka,Nehru Stadium (Margao),not out,67.0,90.54,0.0,0,1,0,73,25,0,Margao,India
2006-05-18,West Indies,Sabina Park,c R S Morton b D J J Bravo,18.0,163.64,0.0,0,1,0,49,24,D J J Bravo,"Kingston, Jamaica",West Indies
2006-05-20,West Indies,Sabina Park,b J E Taylor,2.0,28.57,0.0,0,3,0,52,24,J E Taylor,"Kingston, Jamaica",West Indies
2009-06-26,West Indies,Sabina Park,run out,41.0,89.13,0.0,0,1,0,174,27,0,"Kingston, Jamaica",West Indies
2009-06-28,West Indies,Sabina Park,b J E Taylor,95.0,73.08,0.0,0,0,1,175,27,J E Taylor,"Kingston, Jamaica",West Indies
2013-06-30,West Indies,Sabina Park,b T L Best,27.0,77.14,0.0,0,0,0,283,31,T L Best,"Kingston, Jamaica",West Indies
2006-05-26,West Indies,Queen's Park Oval,not out,46.0,79.31,0.0,0,0,0,53,24,0,0,West Indies
2006-05-28,West Indies,Queen's Park Oval,b W W Hinds,14.0,73.68,0.0,0,0,0,53,24,W W Hinds,0,West Indies
2007-03-17,Bangladesh,Queen's Park Oval,c Aftab Ahmed b Mohammad Rafique,0.0,0.0,0.0,0,1,2,76,25,Ahmed b Mohammad Rafique,0,West Indies
2007-03-19,Bermuda,Queen's Park Oval,c J J Tucker b D C Borden,29.0,116.0,0.0,0,1,0,77,25,D C Borden,0,West Indies
2007-03-23,Sri Lanka,Queen's Park Oval,lbw b M Muralitharan,0.0,0.0,0.0,0,3,0,80,25,M Muralitharan,0,West Indies
2013-11-07,Sri Lanka,Queen's Park Oval,not out,45.0,86.54,0.0,0,1,3,287,32,0,0,West Indies
2006-09-14,West Indies,Kinrara Academy Oval,b J E Taylor,2.0,20.0,0.0,0,1,0,54,25,J E Taylor,Kuala Lumpur,Malaysia
2006-09-16,Australia,Kinrara Academy Oval,did not bat,,0.0,0.0,0,3,0,57,25,0,Kuala Lumpur,Malaysia
2006-09-20,West Indies,Kinrara Academy Oval,b C D Collymore,18.0,138.46,0.0,0,2,1,60,25,C D Collymore,Kuala Lumpur,Malaysia
2006-09-22,Australia,Kinrara Academy Oval,c D R Martyn b B Lee,23.0,67.65,0.0,0,1,0,61,25,B Lee,Kuala Lumpur,Malaysia
2006-11-22,South Africa,Kingsmead,c †M V Boucher b A Nel,14.0,51.85,0.0,0,2,1,65,25,A Nel,Durban,South Africa
2011-12-01,South Africa,Kingsmead,run out,25.0,71.43,0.0,0,0,0,225,29,0,Durban,South Africa
2013-08-12,South Africa,Kingsmead,c †Q de Kock b V D Philander,19.0,61.29,0.0,0,1,1,299,32,V D Philander,Durban,South Africa
2006-11-26,South Africa,Newlands,c L L Bosman b J H Kallis,55.0,114.58,0.0,0,1,0,66,25,J H Kallis,Cape Town,South Africa
2011-01-18,South Africa,Newlands,c †A B de Villiers b J Botha,5.0,41.67,0.0,0,0,0,227,29,J Botha,Cape Town,South Africa
2007-01-24,West Indies,Barabati Stadium,c & b D R Smith,6.0,31.58,0.0,0,0,0,69,25,D R Smith,Cuttack,India
2008-11-26,England,Barabati Stadium,lbw b G P Swann,50.0,81.97,0.0,0,0,0,165,27,G P Swann,Cuttack,India
2007-09-06,ACA Africa XI,MA Chidambaram Stadium,b J A Morkel,33.0,86.84,0.0,0,2,0,86,25,J A Morkel,Chennai,India
2007-10-06,ACA Africa XI,MA Chidambaram Stadium,not out,139.0,143.3,0.0,0,0,3,89,25,0,Chennai,India
2011-03-20,West Indies,MA Chidambaram Stadium,st D C Thomas b D Bishoo,22.0,73.33,0.0,0,0,1,239,29,D Bishoo,Chennai,India
2012-12-30,Pakistan,MA Chidambaram Stadium,not out,113.0,90.4,0.0,0,0,0,265,31,0,Chennai,India
2007-06-29,South Africa,Civil Service Cricket Club,b M Ntini,0.0,0.0,0.0,0,1,0,90,25,M Ntini,Belfast,Ireland
2007-01-07,South Africa,Civil Service Cricket Club,not out,14.0,127.27,0.0,0,1,0,91,25,0,Belfast,Ireland
2007-08-24,England,County Ground (Bristol),c C T Tremlett b J M Anderson,21.0,116.67,0.0,0,1,0,94,26,J M Anderson,Bristol,England
2007-08-27,England,Edgbaston,c P D Collingwood b J M Anderson,13.0,65.0,0.0,0,0,1,95,26,J M Anderson,Birmingham,England
2013-06-15,Pakistan,Edgbaston,did not bat,,0.0,0.0,0,2,0,280,31,0,Birmingham,England
2013-06-23,England,Edgbaston,c J C Tredwell b R S Bopara,0.0,0.0,0.0,0,0,2,283,31,R S Bopara,Birmingham,England
2014-02-09,England,Edgbaston,did not bat,,0.0,0.0,0,0,0,309,33,0,Birmingham,England
2007-08-30,England,Old Trafford,b M S Panesar,13.0,72.22,0.0,0,0,0,95,26,M S Panesar,Manchester,England
2007-02-09,England,Headingley,c †M J Prior b J M Anderson,24.0,141.18,0.0,0,5,1,101,26,J M Anderson,Leeds,England
2014-05-09,England,Headingley,c B A Stokes b S T Finn,29.0,69.05,0.0,0,1,1,311,33,S T Finn,Leeds,England
2007-05-09,England,Kennington Oval,b S C J Broad,35.0,94.59,0.0,0,1,0,102,26,S C J Broad,London,England
2011-09-09,England,Kennington Oval,c A N Cook b T T Bresnan,69.0,66.99,0.0,0,0,0,241,30,T T Bresnan,London,England
2013-11-06,West Indies,Kennington Oval,did not bat,,0.0,0.0,0,1,1,278,31,0,London,England
2007-08-09,England,Lord's,c J M Anderson b A Flintoff,50.0,69.44,0.0,0,1,0,103,26,A Flintoff,London,England
2011-11-09,England,Lord's,not out,78.0,109.86,0.0,0,0,0,241,30,0,London,England
2007-08-10,Australia,Sector 16 Stadium,not out,50.0,142.86,0.0,0,0,2,109,26,0,Chandigarh,India
