Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2005-07-30,Sri Lanka,Rangiri Dambulla International Stadium,lbw b M Muralitharan,0.0,0.0,0,0,0.0,0.0,0.0,18,M Muralitharan,Dambulla,Sri Lanka
2005-07-31,West Indies,Rangiri Dambulla International Stadium,c X M Marshall b D R Smith,35.0,83.33,1,1,0.0,0.0,0.0,18,D R Smith,Dambulla,Sri Lanka
2005-03-08,Sri Lanka,Rangiri Dambulla International Stadium,c & b T M Dilshan,2.0,40.0,0,1,0.0,0.0,0.0,18,T M Dilshan,Dambulla,Sri Lanka
2008-08-18,Sri Lanka,Rangiri Dambulla International Stadium,c L P C Silva b K M D N Kulasekara,17.0,48.57,0,20,0.0,0.0,0.0,21,K M D N Kulasekara,Dambulla,Sri Lanka
2008-08-20,Sri Lanka,Rangiri Dambulla International Stadium,lbw b K M D N Kulasekara,1.0,25.0,0,20,0.0,0.0,0.0,21,K M D N Kulasekara,Dambulla,Sri Lanka
2009-01-28,Sri Lanka,Rangiri Dambulla International Stadium,run out,54.0,76.06,1,25,0.0,0.0,0.0,22,0,Dambulla,Sri Lanka
2010-06-16,Bangladesh,Rangiri Dambulla International Stadium,not out,1.0,100.0,1,43,0.0,0.0,0.0,23,0,Dambulla,Sri Lanka
2010-06-19,Pakistan,Rangiri Dambulla International Stadium,run out,34.0,125.93,1,44,0.0,0.0,0.0,23,0,Dambulla,Sri Lanka
2010-06-22,Sri Lanka,Rangiri Dambulla International Stadium,lbw b H M R K B Herath,18.0,78.26,0,44,0.0,0.0,0.0,23,H M R K B Herath,Dambulla,Sri Lanka
2010-06-24,Sri Lanka,Rangiri Dambulla International Stadium,lbw b S L Malinga,29.0,93.55,0,44,0.0,0.0,0.0,23,S L Malinga,Dambulla,Sri Lanka
2010-10-08,New Zealand,Rangiri Dambulla International Stadium,c S B Styris b D R Tuffey,6.0,100.0,0,44,0.0,0.0,0.0,23,D R Tuffey,Dambulla,Sri Lanka
2010-08-16,Sri Lanka,Rangiri Dambulla International Stadium,c W U Tharanga b C R D Fernando,21.0,60.0,1,45,0.0,0.0,0.0,23,C R D Fernando,Dambulla,Sri Lanka
2010-08-21,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b N L T C Perera,8.0,50.0,0,45,0.0,0.0,0.0,23,N L T C Perera,Dambulla,Sri Lanka
2010-08-25,New Zealand,Rangiri Dambulla International Stadium,c K S Williamson b T G Southee,1.0,33.33,0,45,0.0,0.0,0.0,23,T G Southee,Dambulla,Sri Lanka
2010-08-28,Sri Lanka,Rangiri Dambulla International Stadium,c T M Dilshan b S Randiv,29.0,103.57,0,45,0.0,0.0,0.0,23,S Randiv,Dambulla,Sri Lanka
2005-10-31,Sri Lanka,Sawai Mansingh Stadium,did not bat,,0.0,0,1,0.0,0.0,0.0,18,0,Jaipur,India
2006-10-15,England,Sawai Mansingh Stadium,b J W M Dalrymple,0.0,0.0,0,13,0.0,0.0,0.0,19,J W M Dalrymple,Jaipur,India
2010-02-21,South Africa,Sawai Mansingh Stadium,c †M V Boucher b J H Kallis,58.0,92.06,0,40,0.0,0.0,0.0,23,J H Kallis,Jaipur,India
2010-01-12,New Zealand,Sawai Mansingh Stadium,did not bat,,0.0,0,46,0.0,0.0,0.0,24,0,Jaipur,India
2013-10-16,Australia,Sawai Mansingh Stadium,did not bat,,0.0,0,85,0.0,0.0,0.0,26,0,Jaipur,India
2005-03-11,Sri Lanka,Nehru Stadium (Pune),not out,39.0,130.0,0,1,0.0,0.0,0.0,18,0,Pune,India
2005-06-11,Sri Lanka,Sardar Patel Stadium,lbw b M F Maharoof,13.0,130.0,0,1,0.0,0.0,0.0,18,M F Maharoof,Ahmedabad,India
2006-10-26,West Indies,Sardar Patel Stadium,st C S Baugh b M N Samuels,19.0,51.35,0,13,0.0,0.0,0.0,19,M N Samuels,Ahmedabad,India
2010-02-27,South Africa,Sardar Patel Stadium,c sub b J Botha,49.0,163.33,0,41,0.0,0.0,0.0,23,b J Botha,Ahmedabad,India
2011-03-24,Australia,Sardar Patel Stadium,not out,34.0,121.43,1,48,0.0,0.0,0.0,24,0,Ahmedabad,India
2011-05-12,West Indies,Sardar Patel Stadium,c †D Ramdin b R Rampaul,2.0,66.67,0,54,0.0,0.0,0.0,25,R Rampaul,Ahmedabad,India
2014-06-11,Sri Lanka,Sardar Patel Stadium,lbw b S Prasanna,14.0,233.33,1,94,0.0,0.0,0.0,27,S Prasanna,Ahmedabad,India
2005-09-11,Sri Lanka,Madhavrao Scindia Cricket Ground,did not bat,,0.0,0,1,0.0,0.0,0.0,18,0,Rajkot,India
2008-11-14,England,Madhavrao Scindia Cricket Ground,c P D Collingwood b A Flintoff,43.0,97.73,0,22,0.0,0.0,0.0,21,A Flintoff,Rajkot,India
2009-12-15,Sri Lanka,Madhavrao Scindia Cricket Ground,c S T Jayasuriya b K M D N Kulasekara,16.0,80.0,0,35,0.0,0.0,0.0,23,K M D N Kulasekara,Rajkot,India
2005-12-11,Sri Lanka,Reliance Stadium,did not bat,,0.0,0,1,0.0,0.0,0.0,18,0,Vadodara,India
2009-10-25,Australia,Reliance Stadium,c & b M G Johnson,9.0,90.0,1,33,0.0,0.0,0.0,22,M G Johnson,Vadodara,India
2006-06-02,Pakistan,Arbab Niaz Stadium,did not bat,,0.0,0,1,0.0,0.0,0.0,19,0,Peshawar,Pakistan
2006-11-02,Pakistan,Rawalpindi Cricket Stadium,did not bat,,0.0,1,2,0.0,0.0,0.0,19,0,Rawalpindi,Pakistan
2006-02-13,Pakistan,Gaddafi Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,19,0,Lahore,Pakistan
2006-02-16,Pakistan,Multan Cricket Stadium,not out,35.0,102.94,2,4,0.0,0.0,0.0,19,0,Multan,Pakistan
2006-02-19,Pakistan,National Stadium,did not bat,,0.0,1,5,0.0,0.0,0.0,19,0,Karachi,Pakistan
2008-06-25,Hong Kong,National Stadium,c Irfan Ahmed b Afzaal Haider,101.0,148.53,0,17,0.0,0.0,0.0,21,Afzaal Haider,Karachi,Pakistan
