Date,Versus,Ground,How Dismissed,Runs,S/R
03/09/2011,England,Riverside Ground,c S R Patel b S C J Broad,40,90.91
06/09/2011,England,The Rose Bowl,c & b G P Swann,54,114.89
09/09/2011,England,Kennington Oval,c I J L Trott b J M Anderson,0,0.00
11/09/2011,England,Lord's,lbw b S C J Broad,38,71.70
16/09/2011,England,Sophia Gardens,c S T Finn b J W Dernbach,26,55.32
14/10/2011,England,Rajiv Gandhi International Stadium,st C Kieswetter b G P Swann,15,36.59
17/10/2011,England,Feroz Shah Kotla,c J W Dernbach b T T Bresnan,14,93.33
20/10/2011,England,Punjab Cricket Association IS Bindra Stadium,c A N Cook b S T Finn,91,87.50
23/10/2011,England,Wankhede Stadium,c †C Kieswetter b S C Meaker,20,54.05
25/10/2011,England,Eden Gardens,c †C Kieswetter b T T Bresnan,42,68.85
11/12/2011,West Indies,MA Chidambaram Stadium,lbw b K A J Roach,0,0.00
04/08/2012,Sri Lanka,Pallekele International Cricket Stadium,lbw b N L T C Perera,9,52.94
06/01/2013,Pakistan,Feroz Shah Kotla,c †Kamran Akmal b Mohammad Irfan,4,36.36
11/01/2013,England,Saurashtra Cricket Association Stadium,c J W Dernbach b J C Tredwell,47,82.46
15/01/2013,England,Nehru Stadium (Kochi),b S T Finn,4,28.57
19/01/2013,England,JSCA International Stadium Complex,b S T Finn,0,0.00
03/08/2013,Zimbabwe,Queens Sports Club,b M N Waller,50,75.76
08/12/2013,South Africa,Kingsmead,c †Q de Kock b M Morkel,8,47.06
19/01/2014,New Zealand,McLean Park,c N L McCullum b C J Anderson,7,53.85
22/01/2014,New Zealand,Seddon Park,c †L Ronchi b M J McClenaghan,36,85.71
25/01/2014,New Zealand,Eden Park,c †L Ronchi b C J Anderson,3,21.43
28/01/2014,New Zealand,Seddon Park,c T G Southee b K D Mills,3,37.50
31/01/2014,New Zealand,Westpac Stadium,lbw b M J Henry,2,20.00
26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,c sub b Sohag Gazi,73,87.95
28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,c H D R L Thirimanne b S M S M Senanayake,22,81.48
01/03/2014,Pakistan,Shere Bangla National Stadium,c Mohammad Hafeez b Mohammad Talha,23,46.00
05/03/2014,Afghanistan,Shere Bangla National Stadium,lbw b Mirwais Ashraf,56,84.85
15/06/2014,Bangladesh,Shere Bangla National Stadium,c Ziaur Rahman b Mashrafe Mortaza,64,91.43
17/06/2014,Bangladesh,Shere Bangla National Stadium,lbw b Mashrafe Mortaza,0,0.00
19/06/2014,Bangladesh,Shere Bangla National Stadium,c Nasir Hossain b Al-Amin Hossain,3,16.67
27/08/2014,England,Sophia Gardens,st J C Buttler b J C Tredwell,41,87.23
30/08/2014,England,Trent Bridge,c †J C Buttler b S T Finn,45,80.36
02/09/2014,England,Edgbaston,c A N Cook b H F Gurney,106,106.00
05/09/2014,England,Headingley,c E J G Morgan b J M Anderson,0,0.00
08/10/2014,West Indies,Nehru Stadium (Kochi),run out,24,109.09
11/10/2014,West Indies,Feroz Shah Kotla,c D J J Bravo b D J G Sammy,12,42.86
17/10/2014,West Indies,Himachal Pradesh Cricket Association Stadium,lbw b S J Benn,68,86.08
02/11/2014,Sri Lanka,Barabati Stadium,c D P M D Jayawardene b S Randiv,111,102.78
06/11/2014,Sri Lanka,Sardar Patel Stadium,c D P M D Jayawardene b K T G D Prasad,8,42.11
09/11/2014,Sri Lanka,Rajiv Gandhi International Stadium,c D P M D Jayawardene b N L T C Perera,31,65.96
13/11/2014,Sri Lanka,Eden Gardens,lbw b A D Mathews,28,116.67
16/11/2014,Sri Lanka,JSCA International Stadium Complex,b A D Mathews,2,20.00
18/01/2015,Australia,Melbourne Cricket Ground,c †B J Haddin b G S Sandhu,12,54.55
20/01/2015,England,Brisbane Cricket Ground,c J W A Taylor b S T Finn,33,82.50
26/01/2015,Australia,Sydney Cricket Ground,not out,28*,56.00
30/01/2015,England,WACA Ground,c †J C Buttler b S T Finn,73,72.28
15/02/2015,Pakistan,Adelaide Oval,b Sohail Khan,0,0.00
22/02/2015,South Africa,Melbourne Cricket Ground,lbw b D W Steyn,79,131.67
28/02/2015,United Arab Emirates,WACA Ground,did not bat,-,-
06/03/2015,West Indies,WACA Ground,c †D Ramdin b K A J Roach,14,41.18
10/03/2015,Ireland,Seddon Park,not out,33*,117.86
14/03/2015,Zimbabwe,Eden Park,run out,19,79.17
