Date,Versus,Ground,How Dismissed,Runs,S/R
05/09/2004,England,Lord's,c †G O Jones b S J Harmison,1,8.33
11/09/2004,Kenya,The Rose Bowl,did not bat,-,-
15/04/2006,England,Holkar Cricket Stadium,did not bat,-,-
26/11/2006,South Africa,Newlands,c G C Smith b M Ntini,14,60.87
29/11/2006,South Africa,St George's Park,c A Nel b J M Kemp,17,44.74
03/12/2006,South Africa,SuperSport Park,c †M V Boucher b A Nel,11,73.33
21/01/2007,West Indies,Vidarbha Cricket Association Ground,did not bat,-,-
24/01/2007,West Indies,Barabati Stadium,b I D R Bradshaw,63,72.41
27/01/2007,West Indies,MA Chidambaram Stadium,c †D Ramdin b D J J Bravo,8,47.06
08/02/2007,Sri Lanka,Eden Gardens,did not bat,-,-
11/02/2007,Sri Lanka,Madhavrao Scindia Cricket Ground,lbw b S L Malinga,31,63.27
14/02/2007,Sri Lanka,Nehru Stadium (Margao),not out,4*,66.67
17/02/2007,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,c & b C R D Fernando,1,11.11
10/05/2007,Bangladesh,Shere Bangla National Stadium,not out,58*,96.67
12/05/2007,Bangladesh,Shere Bangla National Stadium,lbw b Mohammad Rafique,6,150.00
23/06/2007,Ireland,Civil Service Cricket Club,did not bat,-,-
26/06/2007,South Africa,Civil Service Cricket Club,b A J Hall,19,190.00
29/06/2007,South Africa,Civil Service Cricket Club,not out,32*,86.49
01/07/2007,South Africa,Civil Service Cricket Club,did not bat,-,-
16/08/2007,Scotland,Titwood,c N F I McCallum b R M Haq,14,53.85
21/08/2007,England,The Rose Bowl,not out,44*,97.78
24/08/2007,England,County Ground (Bristol),lbw b A Flintoff,1,50.00
27/08/2007,England,Edgbaston,c A N Cook b S C J Broad,0,0.00
30/08/2007,England,Old Trafford,c †M J Prior b S C J Broad,4,18.18
02/09/2007,England,Headingley,not out,2*,66.67
17/10/2007,Australia,Wankhede Stadium,c †A C Gilchrist b M G Johnson,0,0.00
26/06/2009,West Indies,Sabina Park,c †D Ramdin b D E Bernard,67,87.01
28/06/2009,West Indies,Sabina Park,c †D Ramdin b J E Taylor,4,80.00
03/07/2009,West Indies,Darren Sammy National Cricket Stadium,run out,47,109.30
05/07/2009,West Indies,Darren Sammy National Cricket Stadium,did not bat,-,-
11/09/2009,New Zealand,R Premadasa Stadium,lbw b K D Mills,4,36.36
12/09/2009,Sri Lanka,R Premadasa Stadium,c †K C Sangakkara b T Thushara,16,69.57
30/09/2009,West Indies,New Wanderers Stadium,c T M Dowlin b G C Tonge,34,43.04
21/12/2009,Sri Lanka,Barabati Stadium,not out,32*,103.23
24/12/2009,Sri Lanka,Eden Gardens,not out,19*,86.36
27/12/2009,Sri Lanka,Feroz Shah Kotla,did not bat,-,-
