Date,Versus,Ground,How Dismissed,Runs,S/R
16/10/2016,Sri Lanka,R Premadasa Stadium,not out,60*,77.92
20/10/2016,West Indies,Sabina Park,c †D Ramdin b D J J Bravo,0,0.00
23/10/2016,West Indies,Sabina Park,c †D Ramdin b R Rampaul,7,58.33
26/10/2016,Australia,Reliance Stadium,lbw b N M Hauritz,5,38.46
15/01/2017,Australia,Vidarbha Cricket Association Stadium,did not bat,-,-
19/01/2017,Australia,Feroz Shah Kotla,did not bat,-,-
22/01/2017,Australia,Punjab Cricket Association IS Bindra Stadium,run out,7,33.33
04/06/2017,Australia,Rajiv Gandhi International Stadium,run out,23,135.29
08/06/2017,Australia,Nehru Stadium (Guwahati),c C L White b D E Bollinger,57,55.34
11/06/2017,Sri Lanka,Madhavrao Scindia Cricket Ground,not out,30*,176.47
15/06/2017,Sri Lanka,Vidarbha Cricket Association Stadium,not out,12*,200.00
18/06/2017,Sri Lanka,Barabati Stadium,did not bat,-,-
23/06/2017,Sri Lanka,Eden Gardens,did not bat,-,-
25/06/2017,Sri Lanka,Feroz Shah Kotla,did not bat,-,-
30/06/2017,Sri Lanka,Shere Bangla National Stadium,c S H T Kandamby b T Thushara,39,114.71
02/07/2017,Bangladesh,Shere Bangla National Stadium,did not bat,-,-
06/07/2017,Sri Lanka,Shere Bangla National Stadium,did not bat,-,-
20/08/2017,Bangladesh,Shere Bangla National Stadium,did not bat,-,-
24/08/2017,Sri Lanka,Shere Bangla National Stadium,lbw b T M Dilshan,38,59.38
27/08/2017,South Africa,Sawai Mansingh Stadium,c †M V Boucher b J H Kallis,22,110.00
31/08/2017,South Africa,Captain Roop Singh Stadium,did not bat,-,-
17/09/2017,South Africa,Sardar Patel Stadium,c †M V Boucher b L L Tsotsobe,36,102.86
21/09/2017,Zimbabwe,Queens Sports Club,not out,61*,100.00
24/09/2017,Sri Lanka,Queens Sports Club,did not bat,-,-
28/09/2017,Zimbabwe,Harare Sports Club,c H Masakadza b A M Blignaut,51,70.83
01/10/2017,Sri Lanka,Harare Sports Club,run out,19,73.08
22/10/2017,Bangladesh,Rangiri Dambulla International Stadium,did not bat,-,-
25/10/2017,Pakistan,Rangiri Dambulla International Stadium,b Saeed Ajmal,6,66.67
29/10/2017,Sri Lanka,Rangiri Dambulla International Stadium,lbw b M F Maharoof,0,0.00
10/12/2017,Sri Lanka,Rangiri Dambulla International Stadium,not out,25*,92.59
13/12/2017,New Zealand,Rangiri Dambulla International Stadium,c S B Styris b K S Williamson,20,45.45
17/12/2017,Sri Lanka,Rangiri Dambulla International Stadium,did not bat,-,-
01/02/2018,Sri Lanka,Rangiri Dambulla International Stadium,c L P C Silva b N L T C Perera,0,0.00
04/02/2018,New Zealand,Rangiri Dambulla International Stadium,c L R P L Taylor b T G Southee,17,65.38
07/02/2018,New Zealand,Reliance Stadium,did not bat,-,-
10/02/2018,England,Kennington Oval,c I R Bell b J W Dernbach,78,87.64
13/02/2018,England,Lord's,not out,0*,-
16/02/2018,England,Sophia Gardens,c R S Bopara b J W Dernbach,0,0.00
12/07/2018,England,Rajiv Gandhi International Stadium,run out,27,122.73
14/07/2018,England,Feroz Shah Kotla,did not bat,-,-
17/07/2018,England,Punjab Cricket Association IS Bindra Stadium,not out,26*,108.33
19/09/2018,England,Wankhede Stadium,did not bat,-,-
28/01/2019,England,Eden Gardens,c I R Bell b S R Patel,21,100.00
31/01/2019,West Indies,Barabati Stadium,c L M P Simmons b K A Pollard,38,61.29
03/02/2019,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,not out,9*,112.50
