Date,Versus,Ground,How Dismissed,Runs,S/R
11/06/2016,Zimbabwe,Harare Sports Club,not out,100*,86.96
13/06/2016,Zimbabwe,Harare Sports Club,b C J Chibhabha,33,66.00
15/06/2016,Zimbabwe,Harare Sports Club,not out,63*,90.00
15/01/2017,England,Maharashtra Cricket Association Stadium,b D J Willey,8,44.44
19/01/2017,England,Barabati Stadium,c B A Stokes b C R Woakes,5,100.00
22/01/2017,England,Eden Gardens,c †J C Buttler b J T Ball,11,100.00
20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,did not bat,-,-
24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,b A Dananjaya,4,66.67
27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,c H D R L Thirimanne b A Dananjaya,17,70.83
31/08/2017,Sri Lanka,R Premadasa Stadium,c P W H de Silva b A Dananjaya,7,87.50
12/07/2018,England,Trent Bridge,not out,9*,50.00
14/07/2018,England,Lord's,c †J C Buttler b L E Plunkett,0,0.00
25/09/2018,Afghanistan,Dubai International Cricket Stadium,lbw b Rashid Khan,60,90.91
10/03/2019,Australia,Punjab Cricket Association IS Bindra Stadium,c †A T Carey b A Zampa,26,83.87
