Date,Versus,Ground,How Dismissed,Runs,S/R
23/06/2017,West Indies,Queen's Park Oval,did not bat,-,-
25/06/2017,West Indies,Queen's Park Oval,did not bat,-,-
30/06/2017,West Indies,Sir Vivian Richards Stadium,did not bat,-,-
02/07/2017,West Indies,Sir Vivian Richards Stadium,not out,2*,33.33
06/07/2017,West Indies,Sabina Park,did not bat,-,-
31/08/2017,Sri Lanka,R Premadasa Stadium,did not bat,-,-
03/09/2017,Sri Lanka,R Premadasa Stadium,did not bat,-,-
17/09/2017,Australia,MA Chidambaram Stadium,not out,0*,-
21/09/2017,Australia,Eden Gardens,c †M S Wade b P J Cummins,0,0.00
24/09/2017,Australia,Holkar Cricket Stadium,did not bat,-,-
01/10/2017,Australia,Vidarbha Cricket Association Stadium,did not bat,-,-
22/10/2017,New Zealand,Wankhede Stadium,not out,0*,-
10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,st N Dickwella b A Dananjaya,19,76.00
17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
01/02/2018,South Africa,Kingsmead,did not bat,-,-
04/02/2018,South Africa,SuperSport Park,did not bat,-,-
07/02/2018,South Africa,Newlands,did not bat,-,-
10/02/2018,South Africa,New Wanderers Stadium,not out,0*,-
13/02/2018,South Africa,St George's Park,not out,2*,50.00
16/02/2018,South Africa,SuperSport Park,did not bat,-,-
12/07/2018,England,Trent Bridge,did not bat,-,-
14/07/2018,England,Lord's,not out,8*,30.77
17/07/2018,England,Headingley,did not bat,-,-
18/09/2018,Hong Kong,Dubai International Cricket Stadium,not out,0*,-
19/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-
21/09/2018,Bangladesh,Dubai International Cricket Stadium,did not bat,-,-
23/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-
25/09/2018,Afghanistan,Dubai International Cricket Stadium,run out,9,81.82
28/09/2018,Bangladesh,Dubai International Cricket Stadium,not out,5*,100.00
24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
27/10/2018,West Indies,Maharashtra Cricket Association Stadium,not out,15*,71.43
29/10/2018,West Indies,Brabourne Stadium,did not bat,-,-
01/11/2018,West Indies,Greenfield International Stadium,did not bat,-,-
12/01/2019,Australia,Sydney Cricket Ground,c U T Khawaja b P M Siddle,3,50.00
15/01/2019,Australia,Adelaide Oval,did not bat,-,-
23/01/2019,New Zealand,McLean Park,did not bat,-,-
26/01/2019,New Zealand,Bay Oval,did not bat,-,-
28/01/2019,New Zealand,Bay Oval,did not bat,-,-
31/01/2019,New Zealand,Seddon Park,c C de Grandhomme b T D Astle,15,45.45
02/03/2019,Australia,Rajiv Gandhi International Stadium,did not bat,-,-
05/03/2019,Australia,Vidarbha Cricket Association Stadium,b P J Cummins,3,100.00
08/03/2019,Australia,JSCA International Stadium Complex,c A J Finch b P J Cummins,10,62.50
10/03/2019,Australia,Punjab Cricket Association IS Bindra Stadium,not out,1*,100.00
13/03/2019,Australia,Feroz Shah Kotla,b M P Stoinis,8,66.67
