Date,Versus,Ground,How Dismissed,Runs,S/R
23/12/2004,Bangladesh,MA Aziz Stadium,run out,0,0.00
26/12/2004,Bangladesh,Bangabandhu National Stadium,c Habibul Bashar b Mashrafe Mortaza,12,109.09
27/12/2004,Bangladesh,Bangabandhu National Stadium,not out,7*,350.00
02/04/2005,Pakistan,Nehru Stadium (Kochi),c Naved-ul-Hasan b Arshad Khan,3,42.86
05/04/2005,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,c Shoaib Malik b Mohammad Hafeez,148,120.33
09/04/2005,Pakistan,Keenan Stadium,c †Kamran Akmal b Naved-ul-Hasan,28,116.67
12/04/2005,Pakistan,Sardar Patel Stadium,c †Kamran Akmal b Shoaib Malik,47,73.44
15/04/2005,Pakistan,Green Park,c Younis Khan b Naved-ul-Hasan,11,68.75
17/04/2005,Pakistan,Feroz Shah Kotla,c Shahid Afridi b Arshad Khan,24,63.16
30/07/2005,Sri Lanka,Rangiri Dambulla International Stadium,b L H D Dilhara,2,28.57
31/07/2005,West Indies,Rangiri Dambulla International Stadium,not out,15*,136.36
03/08/2005,Sri Lanka,Rangiri Dambulla International Stadium,c & b T M Dilshan,20,74.07
07/08/2005,West Indies,R Premadasa Stadium,not out,28*,215.38
09/08/2005,Sri Lanka,R Premadasa Stadium,lbw b U D U Chandana,7,63.64
26/08/2005,New Zealand,Queens Sports Club,c †B B McCullum b A R Adams,2,40.00
29/08/2005,Zimbabwe,Harare Sports Club,c N B Mahwire b A J Ireland,56,121.74
02/09/2005,New Zealand,Harare Sports Club,not out,37*,137.04
04/09/2005,Zimbabwe,Harare Sports Club,not out,67*,106.35
06/09/2005,New Zealand,Harare Sports Club,lbw b S B Styris,11,68.75
25/10/2005,Sri Lanka,Vidarbha Cricket Association Ground,c D P M D Jayawardene b C R D Fernando,38,135.71
28/10/2005,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-
31/10/2005,Sri Lanka,Sawai Mansingh Stadium,not out,183*,126.21
03/11/2005,Sri Lanka,Nehru Stadium (Pune),not out,45*,104.65
06/11/2005,Sri Lanka,Sardar Patel Stadium,lbw b D N T Zoysa,0,0.00
09/11/2005,Sri Lanka,Madhavrao Scindia Cricket Ground,did not bat,-,-
12/11/2005,Sri Lanka,Reliance Stadium,c sub b U D U Chandana,80,109.59
16/11/2005,South Africa,Rajiv Gandhi International Stadium,run out,17,60.71
19/11/2005,South Africa,M Chinnaswamy Stadium,did not bat,-,-
25/11/2005,South Africa,Eden Gardens,c J Botha b A J Hall,14,53.85
28/11/2005,South Africa,Wankhede Stadium,c †M V Boucher b C K Langeveldt,12,46.15
06/02/2006,Pakistan,Arbab Niaz Stadium,c Shoaib Malik b Mohammad Asif,68,128.30
11/02/2006,Pakistan,Rawalpindi Cricket Stadium,did not bat,-,-
13/02/2006,Pakistan,Gaddafi Stadium,not out,72*,156.52
16/02/2006,Pakistan,Multan Cricket Stadium,not out,2*,40.00
19/02/2006,Pakistan,National Stadium,not out,77*,137.50
28/03/2006,England,Feroz Shah Kotla,c P D Collingwood b L E Plunkett,20,71.43
31/03/2006,England,Nahar Singh Stadium,b A Flintoff,38,69.09
03/04/2006,England,Nehru Stadium (Margao),not out,13*,216.67
06/04/2006,England,Nehru Stadium (Kochi),not out,10*,76.92
12/04/2006,England,Keenan Stadium,c V S Solanki b S I Mahmood,96,90.57
18/04/2006,Pakistan,Sheikh Zayed Stadium,b Shoaib Malik,3,30.00
19/04/2006,Pakistan,Sheikh Zayed Stadium,b Naved-ul-Hasan,59,81.94
18/05/2006,West Indies,Sabina Park,c R S Morton b D J J Bravo,18,163.64
20/05/2006,West Indies,Sabina Park,b J E Taylor,2,28.57
23/05/2006,West Indies,Warner Park,run out,15,57.69
26/05/2006,West Indies,Queen's Park Oval,not out,46*,79.31
28/05/2006,West Indies,Queen's Park Oval,b W W Hinds,14,73.68
18/08/2006,Sri Lanka,Sinhalese Sports Club Ground,did not bat,-,-
14/09/2006,West Indies,Kinrara Academy Oval,b J E Taylor,2,20.00
16/09/2006,Australia,Kinrara Academy Oval,did not bat,-,-
20/09/2006,West Indies,Kinrara Academy Oval,b C D Collymore,18,138.46
22/09/2006,Australia,Kinrara Academy Oval,c D R Martyn b B Lee,23,67.65
15/10/2006,England,Sawai Mansingh Stadium,c P D Collingwood b J W M Dalrymple,7,31.82
26/10/2006,West Indies,Sardar Patel Stadium,run out,51,78.46
29/10/2006,Australia,Punjab Cricket Association IS Bindra Stadium,lbw b N W Bracken,28,121.74
22/11/2006,South Africa,Kingsmead,c †M V Boucher b A Nel,14,51.85
26/11/2006,South Africa,Newlands,c L L Bosman b J H Kallis,55,114.58
29/11/2006,South Africa,St George's Park,c sub b A Nel,26,123.81
03/12/2006,South Africa,SuperSport Park,c A Nel b M Ntini,44,89.80
21/01/2007,West Indies,Vidarbha Cricket Association Ground,not out,62*,147.62
24/01/2007,West Indies,Barabati Stadium,c & b D R Smith,6,31.58
31/01/2007,West Indies,Reliance Stadium,not out,40*,200.00
08/02/2007,Sri Lanka,Eden Gardens,did not bat,-,-
11/02/2007,Sri Lanka,Madhavrao Scindia Cricket Ground,c M F Maharoof b S T Jayasuriya,48,70.59
14/02/2007,Sri Lanka,Nehru Stadium (Margao),not out,67*,90.54
17/02/2007,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
17/03/2007,Bangladesh,Queen's Park Oval,c Aftab Ahmed b Mohammad Rafique,0,0.00
19/03/2007,Bermuda,Queen's Park Oval,c J J Tucker b D C Borden,29,116.00
23/03/2007,Sri Lanka,Queen's Park Oval,lbw b M Muralitharan,0,0.00
10/05/2007,Bangladesh,Shere Bangla National Stadium,not out,91*,85.85
12/05/2007,Bangladesh,Shere Bangla National Stadium,c †Mushfiqur Rahim b Mohammad Rafique,36,66.67
06/06/2007,ACA Africa XI,M Chinnaswamy Stadium,run out,2,50.00
09/06/2007,ACA Africa XI,MA Chidambaram Stadium,b J A Morkel,33,86.84
10/06/2007,ACA Africa XI,MA Chidambaram Stadium,not out,139*,143.30
29/06/2007,South Africa,Civil Service Cricket Club,b M Ntini,0,0.00
01/07/2007,South Africa,Civil Service Cricket Club,not out,14*,127.27
16/08/2007,Scotland,Titwood,did not bat,-,-
21/08/2007,England,The Rose Bowl,c †M J Prior b A Flintoff,19,31.67
24/08/2007,England,County Ground (Bristol),c C T Tremlett b J M Anderson,21,116.67
27/08/2007,England,Edgbaston,c P D Collingwood b J M Anderson,13,65.00
30/08/2007,England,Old Trafford,b M S Panesar,13,72.22
02/09/2007,England,Headingley,c †M J Prior b J M Anderson,24,141.18
05/09/2007,England,Kennington Oval,b S C J Broad,35,94.59
08/09/2007,England,Lord's,c J M Anderson b A Flintoff,50,69.44
29/09/2007,Australia,M Chinnaswamy Stadium,did not bat,-,-
02/10/2007,Australia,Nehru Stadium (Kochi),c B J Hodge b G B Hogg,58,65.91
05/10/2007,Australia,Rajiv Gandhi International Stadium,c †A C Gilchrist b B Lee,33,89.19
08/10/2007,Australia,Sector 16 Stadium,not out,50*,142.86
11/10/2007,Australia,Reliance Stadium,c †A C Gilchrist b M G Johnson,4,57.14
14/10/2007,Australia,Vidarbha Cricket Association Ground,c R T Ponting b M G Johnson,26,89.66
17/10/2007,Australia,Wankhede Stadium,c †A C Gilchrist b N W Bracken,5,45.45
05/11/2007,Pakistan,Nehru Stadium (Guwahati),c †Kamran Akmal b Shoaib Akhtar,63,81.82
08/11/2007,Pakistan,Punjab Cricket Association IS Bindra Stadium,c †Kamran Akmal b Shoaib Akhtar,4,40.00
11/11/2007,Pakistan,Green Park,b Shoaib Akhtar,49,94.23
15/11/2007,Pakistan,Captain Roop Singh Stadium,not out,45*,100.00
18/11/2007,Pakistan,Sawai Mansingh Stadium,c Imran Nazir b Shoaib Malik,24,75.00
03/02/2008,Australia,Brisbane Cricket Ground,c R T Ponting b B Lee,37,60.66
04/02/2008,Sri Lanka,Brisbane Cricket Ground,not out,88*,92.63
10/02/2008,Australia,Melbourne Cricket Ground,not out,17*,31.48
12/02/2008,Sri Lanka,Manuka Oval,run out,31,119.23
17/02/2008,Australia,Adelaide Oval,run out,37,74.00
19/02/2008,Sri Lanka,Adelaide Oval,not out,50*,73.53
24/02/2008,Australia,Sydney Cricket Ground,c †A C Gilchrist b B Lee,36,54.55
26/02/2008,Sri Lanka,Bellerive Oval,did not bat,-,-
02/03/2008,Australia,Sydney Cricket Ground,not out,15*,125.00
04/03/2008,Australia,Brisbane Cricket Ground,c M J Clarke b N W Bracken,36,97.30
10/06/2008,Pakistan,Shere Bangla National Stadium,lbw b Sohail Tanvir,24,104.35
12/06/2008,Bangladesh,Shere Bangla National Stadium,did not bat,-,-
14/06/2008,Pakistan,Shere Bangla National Stadium,c sub b Shahid Afridi,64,108.47
25/06/2008,Hong Kong,National Stadium,not out,109*,113.54
26/06/2008,Pakistan,National Stadium,not out,26*,86.67
28/06/2008,Bangladesh,National Stadium,did not bat,-,-
02/07/2008,Pakistan,National Stadium,c †Sarfraz Ahmed b Sohail Tanvir,76,79.17
03/07/2008,Sri Lanka,National Stadium,b M Muralitharan,67,108.06
06/07/2008,Sri Lanka,National Stadium,c †K C Sangakkara b W P U J C Vaas,49,66.22
18/08/2008,Sri Lanka,Rangiri Dambulla International Stadium,c D P M D Jayawardene b B A W Mendis,6,21.43
20/08/2008,Sri Lanka,Rangiri Dambulla International Stadium,b C R D Fernando,39,72.22
24/08/2008,Sri Lanka,R Premadasa Stadium,c D P M D Jayawardene b B A W Mendis,76,95.00
27/08/2008,Sri Lanka,R Premadasa Stadium,c S T Jayasuriya b T Thushara,71,88.75
29/08/2008,Sri Lanka,R Premadasa Stadium,b C R D Fernando,1,14.29
14/11/2008,England,Madhavrao Scindia Cricket Ground,b S J Harmison,39,121.88
17/11/2008,England,Holkar Cricket Stadium,b P D Collingwood,15,57.69
20/11/2008,England,Green Park,not out,29*,56.86
23/11/2008,England,M Chinnaswamy Stadium,b S R Patel,9,180.00
26/11/2008,England,Barabati Stadium,lbw b G P Swann,50,81.97
28/01/2009,Sri Lanka,Rangiri Dambulla International Stadium,not out,61*,93.85
31/01/2009,Sri Lanka,R Premadasa Stadium,c †K C Sangakkara b M F Maharoof,23,65.71
03/02/2009,Sri Lanka,R Premadasa Stadium,not out,35*,77.78
05/02/2009,Sri Lanka,R Premadasa Stadium,c C R D Fernando b S T Jayasuriya,94,97.92
08/02/2009,Sri Lanka,R Premadasa Stadium,c K M D N Kulasekara b S T Jayasuriya,53,91.38
03/03/2009,New Zealand,McLean Park,not out,84*,94.38
06/03/2009,New Zealand,Westpac Stadium,not out,23*,121.05
08/03/2009,New Zealand,AMI Stadium,c †P D McGlashan b K D Mills,68,117.24
11/03/2009,New Zealand,Seddon Park,did not bat,-,-
14/03/2009,New Zealand,Eden Park,b J D Ryder,9,42.86
26/06/2009,West Indies,Sabina Park,run out,41,89.13
28/06/2009,West Indies,Sabina Park,b J E Taylor,95,73.08
03/07/2009,West Indies,Darren Sammy National Cricket Stadium,not out,46*,135.29
05/07/2009,West Indies,Darren Sammy National Cricket Stadium,did not bat,-,-
11/09/2009,New Zealand,R Premadasa Stadium,not out,35*,53.85
12/09/2009,Sri Lanka,R Premadasa Stadium,b A D Mathews,8,44.44
14/09/2009,Sri Lanka,R Premadasa Stadium,c S H T Kandamby b S L Malinga,56,90.32
26/09/2009,Pakistan,SuperSport Park,lbw b Shahid Afridi,3,33.33
28/09/2009,Australia,SuperSport Park,did not bat,-,-
30/09/2009,West Indies,New Wanderers Stadium,did not bat,-,-
25/10/2009,Australia,Reliance Stadium,c B Lee b S R Watson,34,73.91
28/10/2009,Australia,Vidarbha Cricket Association Stadium,c †T D Paine b M G Johnson,124,115.89
31/10/2009,Australia,Feroz Shah Kotla,not out,71*,74.74
02/11/2009,Australia,Punjab Cricket Association IS Bindra Stadium,c †G A Manou b D E Bollinger,26,56.52
05/11/2009,Australia,Rajiv Gandhi International Stadium,c A C Voges b C J McKay,6,40.00
08/11/2009,Australia,Nehru Stadium (Guwahati),lbw b D E Bollinger,24,31.17
15/12/2009,Sri Lanka,Madhavrao Scindia Cricket Ground,c A D Mathews b C R D Fernando,72,135.85
18/12/2009,Sri Lanka,Vidarbha Cricket Association Stadium,c T M Dilshan b S Randiv,107,96.40
