Date,Versus,Ground,How Dismissed,Runs,S/R
23/06/2007,Ireland,Civil Service Cricket Club,did not bat,-,-
26/06/2007,South Africa,Civil Service Cricket Club,b J H Kallis,8,88.89
05/10/2007,Australia,Rajiv Gandhi International Stadium,c B Lee b J R Hopes,1,25.00
18/11/2007,Pakistan,Sawai Mansingh Stadium,c Yasir Hameed b Shoaib Malik,52,85.25
03/02/2008,Australia,Brisbane Cricket Ground,c †A C Gilchrist b B Lee,29,67.44
04/02/2008,Sri Lanka,Brisbane Cricket Ground,c †K C Sangakkara b M Muralitharan,0,0.00
10/02/2008,Australia,Melbourne Cricket Ground,not out,39*,63.93
12/02/2008,Sri Lanka,Manuka Oval,not out,70*,109.38
17/02/2008,Australia,Adelaide Oval,c †A C Gilchrist b J R Hopes,1,33.33
19/02/2008,Sri Lanka,Adelaide Oval,c L P C Silva b M Muralitharan,24,66.67
24/02/2008,Australia,Sydney Cricket Ground,c †A C Gilchrist b N W Bracken,1,33.33
26/02/2008,Sri Lanka,Bellerive Oval,not out,3*,42.86
02/03/2008,Australia,Sydney Cricket Ground,b J R Hopes,66,75.86
04/03/2008,Australia,Brisbane Cricket Ground,c A Symonds b M J Clarke,2,40.00
10/06/2008,Pakistan,Shere Bangla National Stadium,b Shahid Afridi,9,33.33
12/06/2008,Bangladesh,Shere Bangla National Stadium,c Mashrafe Mortaza b Abdur Razzak,26,60.47
14/06/2008,Pakistan,Shere Bangla National Stadium,c sub b Umar Gul,24,88.89
25/06/2008,Hong Kong,National Stadium,run out,11,37.93
26/06/2008,Pakistan,National Stadium,not out,0*,0.00
28/06/2008,Bangladesh,National Stadium,c Farhad Reza b Shahadat Hossain,22,95.65
02/07/2008,Pakistan,National Stadium,c Abdur Rauf b Iftikhar Anjum,58,81.69
03/07/2008,Sri Lanka,National Stadium,not out,22*,78.57
06/07/2008,Sri Lanka,National Stadium,lbw b B A W Mendis,3,37.50
18/08/2008,Sri Lanka,Rangiri Dambulla International Stadium,c D P M D Jayawardene b T Thushara,19,61.29
20/08/2008,Sri Lanka,Rangiri Dambulla International Stadium,lbw b T Thushara,0,0.00
24/08/2008,Sri Lanka,R Premadasa Stadium,c C K Kapugedera b T Thushara,32,100.00
27/08/2008,Sri Lanka,R Premadasa Stadium,c B S M Warnapura b B A W Mendis,18,78.26
29/08/2008,Sri Lanka,R Premadasa Stadium,lbw b K M D N Kulasekara,3,60.00
