Date,Versus,Ground,How Dismissed,Runs,S/R
20/10/2010,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,b C J McKay,0,0.00
06/06/2011,West Indies,Queen's Park Oval,c L M P Simmons b A Martin,51,67.11
08/06/2011,West Indies,Queen's Park Oval,c K A Pollard b R Rampaul,3,75.00
11/06/2011,West Indies,Sir Vivian Richards Stadium,c M N Samuels b D J G Sammy,4,26.67
16/06/2011,West Indies,Sabina Park,c R R Sarwan b K A J Roach,11,42.31
06/06/2013,South Africa,Sophia Gardens,c sub b J-P Duminy,114,121.28
11/06/2013,West Indies,Kennington Oval,not out,102*,95.33
15/06/2013,Pakistan,Edgbaston,c Nasir Jamshed b Wahab Riaz,48,117.07
20/06/2013,Sri Lanka,Sophia Gardens,st K C Sangakkara b B M A J Mendis,68,73.91
23/06/2013,England,Edgbaston,c J C Tredwell b R S Bopara,31,129.17
30/06/2013,West Indies,Sabina Park,c & b K A J Roach,11,110.00
02/07/2013,Sri Lanka,Sabina Park,c W U Tharanga b H M R K B Herath,24,57.14
05/07/2013,West Indies,Queen's Park Oval,c D M Bravo b K A J Roach,69,89.61
09/07/2013,Sri Lanka,Queen's Park Oval,c D P M D Jayawardene b A D Mathews,15,93.75
11/07/2013,Sri Lanka,Queen's Park Oval,c †K C Sangakkara b R M S Eranga,16,45.71
24/07/2013,Zimbabwe,Harare Sports Club,c M N Waller b K M Jarvis,17,80.95
26/07/2013,Zimbabwe,Harare Sports Club,b P Utseya,116,91.34
28/07/2013,Zimbabwe,Harare Sports Club,c V Sibanda b T L Chatara,35,109.38
03/08/2013,Zimbabwe,Queens Sports Club,c †B R M Taylor b K M Jarvis,41,107.89
13/10/2013,Australia,Maharashtra Cricket Association Stadium,c †B J Haddin b J P Faulkner,7,46.67
16/10/2013,Australia,Sawai Mansingh Stadium,c †B J Haddin b J P Faulkner,95,110.47
19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium,c †B J Haddin b C J McKay,8,133.33
23/10/2013,Australia,JSCA International Stadium Complex,not out,14*,116.67
30/10/2013,Australia,Vidarbha Cricket Association Stadium,b J P Faulkner,100,98.04
02/11/2013,Australia,M Chinnaswamy Stadium,lbw b X J Doherty,60,105.26
21/11/2013,West Indies,Nehru Stadium (Kochi),c †J Charles b J O Holder,5,83.33
24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,lbw b V Permaul,35,94.59
27/11/2013,West Indies,Green Park,c & b D J J Bravo,119,125.26
05/12/2013,South Africa,New Wanderers Stadium,c †Q de Kock b M Morkel,12,92.31
08/12/2013,South Africa,Kingsmead,c J-P Duminy b D W Steyn,0,0.00
11/12/2013,South Africa,SuperSport Park,did not bat,-,-
19/01/2014,New Zealand,McLean Park,c L R P L Taylor b C J Anderson,32,69.57
22/01/2014,New Zealand,Seddon Park,b T G Southee,12,54.55
25/01/2014,New Zealand,Eden Park,c M J Guptill b C J Anderson,28,112.00
31/01/2014,New Zealand,Westpac Stadium,c N L McCullum b M J Henry,9,32.14
26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,lbw b Abdur Razzak,28,63.64
28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,b B A W Mendis,94,82.46
01/03/2014,Pakistan,Shere Bangla National Stadium,lbw b Mohammad Hafeez,10,76.92
05/03/2014,Afghanistan,Shere Bangla National Stadium,b Mohammad Nabi,60,76.92
27/08/2014,England,Sophia Gardens,c †J C Buttler b C R Woakes,11,50.00
30/08/2014,England,Trent Bridge,c E J G Morgan b C R Woakes,16,69.57
02/09/2014,England,Edgbaston,not out,97*,119.75
05/09/2014,England,Headingley,b M M Ali,31,70.45
08/10/2014,West Indies,Nehru Stadium (Kochi),b M N Samuels,68,73.91
11/10/2014,West Indies,Feroz Shah Kotla,b J E Taylor,1,11.11
17/10/2014,West Indies,Himachal Pradesh Cricket Association Stadium,c D M Bravo b A D Russell,35,100.00
02/11/2014,Sri Lanka,Barabati Stadium,b S M A Priyanjan,113,105.61
06/11/2014,Sri Lanka,Sardar Patel Stadium,c S M A Priyanjan b S Prasanna,79,98.75
09/11/2014,Sri Lanka,Rajiv Gandhi International Stadium,c †K C Sangakkara b K M D N Kulasekara,91,115.19
18/01/2015,Australia,Melbourne Cricket Ground,c A J Finch b M A Starc,2,50.00
20/01/2015,England,Brisbane Cricket Ground,c †J C Buttler b J M Anderson,1,20.00
26/01/2015,Australia,Sydney Cricket Ground,c A J Finch b M A Starc,8,61.54
30/01/2015,England,WACA Ground,c †J C Buttler b C R Woakes,38,58.46
15/02/2015,Pakistan,Adelaide Oval,run out,73,96.05
22/02/2015,South Africa,Melbourne Cricket Ground,c H M Amla b W D Parnell,137,93.84
28/02/2015,United Arab Emirates,WACA Ground,c Rohan Mustafa b Mohammad Naveed,14,82.35
06/03/2015,West Indies,WACA Ground,c D J G Sammy b J E Taylor,9,64.29
10/03/2015,Ireland,Seddon Park,c W T S Porterfield b S R Thompson,100,117.65
14/03/2015,Zimbabwe,Eden Park,b T Panyangara,4,20.00
19/03/2015,Bangladesh,Melbourne Cricket Ground,st Mushfiqur Rahim b Shakib Al Hasan,30,60.00
26/03/2015,Australia,Sydney Cricket Ground,c G J Maxwell b J R Hazlewood,45,109.76
18/06/2015,Bangladesh,Shere Bangla National Stadium,c †Mushfiqur Rahim b Taskin Ahmed,30,78.95
21/06/2015,Bangladesh,Shere Bangla National Stadium,c †Liton Das b Nasir Hossain,53,88.33
24/06/2015,Bangladesh,Shere Bangla National Stadium,c Nasir Hossain b Mashrafe Mortaza,75,102.74
11/10/2015,South Africa,Green Park,lbw b M Morkel,23,82.14
14/10/2015,South Africa,Holkar Cricket Stadium,c J-P Duminy b M Morkel,23,67.65
18/10/2015,South Africa,Saurashtra Cricket Association Stadium,c A B de Villiers b M Morkel,13,44.83
