Date,Versus,Ground,How Dismissed,Runs,S/R
28/05/2010,Zimbabwe,Queens Sports Club,did not bat,-,-
30/05/2010,Sri Lanka,Queens Sports Club,did not bat,-,-
03/06/2010,Zimbabwe,Harare Sports Club,not out,3*,100.00
14/10/2011,England,Rajiv Gandhi International Stadium,did not bat,-,-
17/10/2011,England,Feroz Shah Kotla,did not bat,-,-
20/10/2011,England,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-
29/11/2011,West Indies,Barabati Stadium,not out,6*,66.67
02/12/2011,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
05/12/2011,West Indies,Sardar Patel Stadium,not out,11*,110.00
12/02/2012,Australia,Adelaide Oval,did not bat,-,-
14/02/2012,Sri Lanka,Adelaide Oval,not out,0*,-
19/02/2012,Australia,Brisbane Cricket Ground,not out,6*,100.00
21/02/2012,Sri Lanka,Brisbane Cricket Ground,not out,0*,0.00
26/02/2012,Australia,Sydney Cricket Ground,not out,0*,0.00
28/02/2012,Sri Lanka,Bellerive Oval,did not bat,-,-
21/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,did not bat,-,-
24/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,not out,0*,0.00
06/06/2013,South Africa,Sophia Gardens,did not bat,-,-
11/06/2013,West Indies,Kennington Oval,did not bat,-,-
15/06/2013,Pakistan,Edgbaston,did not bat,-,-
20/06/2013,Sri Lanka,Sophia Gardens,did not bat,-,-
23/06/2013,England,Edgbaston,did not bat,-,-
30/06/2013,West Indies,Sabina Park,did not bat,-,-
02/07/2013,Sri Lanka,Sabina Park,b S L Malinga,0,0.00
05/07/2013,West Indies,Queen's Park Oval,did not bat,-,-
09/07/2013,Sri Lanka,Queen's Park Oval,did not bat,-,-
08/12/2013,South Africa,Kingsmead,b D W Steyn,1,20.00
11/12/2013,South Africa,SuperSport Park,did not bat,-,-
15/06/2014,Bangladesh,Shere Bangla National Stadium,did not bat,-,-
17/06/2014,Bangladesh,Shere Bangla National Stadium,c Nasir Hossain b Shakib Al Hasan,17,130.77
19/06/2014,Bangladesh,Shere Bangla National Stadium,not out,0*,0.00
05/09/2014,England,Headingley,not out,0*,0.00
11/10/2014,West Indies,Feroz Shah Kotla,did not bat,-,-
17/10/2014,West Indies,Himachal Pradesh Cricket Association Stadium,did not bat,-,-
02/11/2014,Sri Lanka,Barabati Stadium,did not bat,-,-
06/11/2014,Sri Lanka,Sardar Patel Stadium,did not bat,-,-
09/11/2014,Sri Lanka,Rajiv Gandhi International Stadium,did not bat,-,-
13/11/2014,Sri Lanka,Eden Gardens,did not bat,-,-
18/01/2015,Australia,Melbourne Cricket Ground,did not bat,-,-
20/01/2015,England,Brisbane Cricket Ground,not out,0*,-
15/02/2015,Pakistan,Adelaide Oval,did not bat,-,-
22/02/2015,South Africa,Melbourne Cricket Ground,did not bat,-,-
28/02/2015,United Arab Emirates,WACA Ground,did not bat,-,-
06/03/2015,West Indies,WACA Ground,did not bat,-,-
10/03/2015,Ireland,Seddon Park,did not bat,-,-
14/03/2015,Zimbabwe,Eden Park,did not bat,-,-
19/03/2015,Bangladesh,Melbourne Cricket Ground,did not bat,-,-
26/03/2015,Australia,Sydney Cricket Ground,b M A Starc,0,0.00
18/06/2015,Bangladesh,Shere Bangla National Stadium,lbw b Shakib Al Hasan,2,18.18
24/06/2015,Bangladesh,Shere Bangla National Stadium,did not bat,-,-
11/10/2015,South Africa,Green Park,did not bat,-,-
14/10/2015,South Africa,Holkar Cricket Stadium,c †Q de Kock b D W Steyn,4,133.33
12/01/2016,Australia,WACA Ground,did not bat,-,-
15/01/2016,Australia,Brisbane Cricket Ground,not out,0*,-
17/01/2016,Australia,Melbourne Cricket Ground,did not bat,-,-
20/01/2016,Australia,Manuka Oval,c G J Bailey b M R Marsh,2,18.18
23/01/2016,Australia,Sydney Cricket Ground,did not bat,-,-
16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium,did not bat,-,-
20/10/2016,New Zealand,Feroz Shah Kotla,not out,18*,78.26
23/10/2016,New Zealand,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-
26/10/2016,New Zealand,JSCA International Stadium Complex,c L R P L Taylor b T A Boult,7,58.33
29/10/2016,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
15/01/2017,England,Maharashtra Cricket Association Stadium,did not bat,-,-
04/06/2017,Pakistan,Edgbaston,did not bat,-,-
08/06/2017,Sri Lanka,Kennington Oval,did not bat,-,-
23/06/2017,West Indies,Queen's Park Oval,did not bat,-,-
25/06/2017,West Indies,Queen's Park Oval,did not bat,-,-
30/06/2017,West Indies,Sir Vivian Richards Stadium,did not bat,-,-
02/07/2017,West Indies,Sir Vivian Richards Stadium,b J O Holder,0,0.00
06/07/2017,West Indies,Sabina Park,did not bat,-,-
28/09/2017,Australia,M Chinnaswamy Stadium,not out,2*,100.00
12/07/2018,England,Trent Bridge,did not bat,-,-
14/07/2018,England,Lord's,st J C Buttler b A U Rashid,0,0.00
21/10/2018,West Indies,Barsapara Cricket Stadium,did not bat,-,-
24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
