Date,Versus,Ground,How Dismissed,Runs,S/R
03/09/2011,Sri Lanka,Rangiri Dambulla International Stadium,lbw b K M D N Kulasekara,12,54.55
06/09/2011,Sri Lanka,Rangiri Dambulla International Stadium,c C K Kapugedera b T Thushara,37,55.22
09/09/2011,Sri Lanka,R Premadasa Stadium,run out,25,65.79
11/09/2011,Sri Lanka,R Premadasa Stadium,b T Thushara,54,81.82
16/09/2011,Sri Lanka,R Premadasa Stadium,lbw b K M D N Kulasekara,31,67.39
14/10/2011,Sri Lanka,R Premadasa Stadium,not out,2*,100.00
17/10/2011,Pakistan,SuperSport Park,c Umar Gul b Shahid Afridi,16,66.67
20/10/2011,Australia,SuperSport Park,did not bat,-,-
23/10/2011,West Indies,New Wanderers Stadium,not out,79*,75.96
25/10/2011,Australia,Reliance Stadium,c S R Watson b A C Voges,30,73.17
11/12/2011,Australia,Punjab Cricket Association IS Bindra Stadium,c †G A Manou b D E Bollinger,10,62.50
04/08/2012,Sri Lanka,Madhavrao Scindia Cricket Ground,b U W M B C A Welegedara,27,142.11
06/01/2013,Sri Lanka,Vidarbha Cricket Association Stadium,lbw b S Randiv,54,83.08
11/01/2013,Sri Lanka,Eden Gardens,c sub b S Randiv,107,93.86
15/01/2013,Sri Lanka,Feroz Shah Kotla,did not bat,-,-
19/01/2013,Sri Lanka,Shere Bangla National Stadium,c †K C Sangakkara b U W M B C A Welegedara,9,75.00
03/08/2013,Bangladesh,Shere Bangla National Stadium,c & b Shakib Al Hasan,91,89.22
08/12/2013,Sri Lanka,Shere Bangla National Stadium,not out,71*,104.41
19/01/2014,Bangladesh,Shere Bangla National Stadium,not out,102*,107.37
22/01/2014,Sri Lanka,Shere Bangla National Stadium,c †K C Sangakkara b U W M B C A Welegedara,2,25.00
25/01/2014,South Africa,Sawai Mansingh Stadium,c H H Gibbs b J A Morkel,31,67.39
28/01/2014,South Africa,Captain Roop Singh Stadium,did not bat,-,-
31/01/2014,South Africa,Sardar Patel Stadium,c †M V Boucher b D W Steyn,57,80.28
26/02/2014,Zimbabwe,Queens Sports Club,run out,0,-
28/02/2014,Sri Lanka,Queens Sports Club,c C R D Fernando b S Randiv,82,89.13
01/03/2014,Zimbabwe,Harare Sports Club,c †T Taibu b P Utseya,18,62.07
05/03/2014,Sri Lanka,Harare Sports Club,c B M A J Mendis b T Thushara,68,71.58
15/06/2014,Bangladesh,Rangiri Dambulla International Stadium,st Mushfiqur Rahim b Shakib Al Hasan,11,50.00
17/06/2014,Pakistan,Rangiri Dambulla International Stadium,b Saeed Ajmal,18,66.67
19/06/2014,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b M F Maharoof,10,71.43
27/08/2014,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b S L Malinga,28,82.35
30/08/2014,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b C R D Fernando,0,0.00
02/09/2014,New Zealand,Rangiri Dambulla International Stadium,c †G J Hopkins b T G Southee,8,50.00
05/09/2014,Sri Lanka,Rangiri Dambulla International Stadium,c A D Mathews b N L T C Perera,37,64.91
08/10/2014,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,c J R Hopes b J W Hastings,118,97.52
11/10/2014,New Zealand,Nehru Stadium (Guwahati),c J M How b A J McKay,105,100.96
17/10/2014,New Zealand,Sawai Mansingh Stadium,c L R P L Taylor b A J McKay,64,87.67
02/11/2014,New Zealand,Reliance Stadium,not out,63*,90.00
06/11/2014,New Zealand,M Chinnaswamy Stadium,c K D Mills b A J McKay,0,0.00
09/11/2014,New Zealand,MA Chidambaram Stadium,c L R P L Taylor b D L Vettori,2,25.00
13/11/2014,South Africa,Kingsmead,c G C Smith b D W Steyn,54,77.14
16/11/2014,South Africa,New Wanderers Stadium,run out,22,64.71
18/01/2015,South Africa,Newlands,c †A B de Villiers b M Morkel,28,68.29
20/01/2015,South Africa,St George's Park,not out,87*,94.57
26/01/2015,South Africa,SuperSport Park,c †A B de Villiers b M Morkel,2,33.33
30/01/2015,Bangladesh,Shere Bangla National Stadium,not out,100*,120.48
15/02/2015,England,M Chinnaswamy Stadium,b T T Bresnan,8,160.00
22/02/2015,Ireland,M Chinnaswamy Stadium,run out,34,64.15
28/02/2015,Netherlands,Feroz Shah Kotla,b P W Borren,12,60.00
06/03/2015,South Africa,Vidarbha Cricket Association Stadium,c & b R J Peterson,1,33.33
10/03/2015,West Indies,MA Chidambaram Stadium,b R Rampaul,59,77.63
14/03/2015,Australia,Sardar Patel Stadium,c M J Clarke b D J Hussey,24,72.73
19/03/2015,Pakistan,Punjab Cricket Association IS Bindra Stadium,c Umar Akmal b Wahab Riaz,9,42.86
26/03/2015,Sri Lanka,Wankhede Stadium,c & b T M Dilshan,35,71.43
18/06/2015,West Indies,Queen's Park Oval,c †C S Baugh b R Rampaul,2,25.00
10/07/2015,West Indies,Queen's Park Oval,c K A Pollard b D Bishoo,81,78.64
12/07/2015,West Indies,Sir Vivian Richards Stadium,lbw b D J G Sammy,0,0.00
14/07/2015,West Indies,Sir Vivian Richards Stadium,st C S Baugh b A Martin,22,66.67
11/10/2015,West Indies,Sabina Park,run out,94,90.38
14/10/2015,England,Riverside Ground,b S R Patel,55,75.34
18/10/2015,England,The Rose Bowl,c I R Bell b G P Swann,9,100.00
22/10/2015,England,Kennington Oval,c †C Kieswetter b J M Anderson,7,38.89
25/10/2015,England,Lord's,c †C Kieswetter b G P Swann,16,44.44
12/01/2016,England,Sophia Gardens,hit wicket b G P Swann,107,115.05
15/01/2016,England,Rajiv Gandhi International Stadium,c K P Pietersen b S R Patel,37,58.73
17/01/2016,England,Feroz Shah Kotla,not out,112*,114.29
20/01/2016,England,Punjab Cricket Association IS Bindra Stadium,lbw b G P Swann,35,116.67
16/10/2016,England,Wankhede Stadium,not out,86*,86.87
20/10/2016,England,Eden Gardens,b S T Finn,0,0.00
23/10/2016,West Indies,Barabati Stadium,b K A J Roach,3,50.00
26/10/2016,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,c †D Ramdin b R Rampaul,117,95.12
29/10/2016,West Indies,Sardar Patel Stadium,lbw b S P Narine,20,66.67
22/01/2017,West Indies,Holkar Cricket Stadium,not out,23*,209.09
23/06/2017,West Indies,MA Chidambaram Stadium,c M N Samuels b A Martin,80,94.12
25/06/2017,Australia,Melbourne Cricket Ground,c R T Ponting b C J McKay,31,91.18
30/06/2017,Sri Lanka,WACA Ground,run out,77,81.91
02/07/2017,Australia,Adelaide Oval,c P J Forrest b C J McKay,18,64.29
06/07/2017,Sri Lanka,Adelaide Oval,lbw b N L T C Perera,15,60.00
03/09/2017,Australia,Brisbane Cricket Ground,c D J Hussey b B W Hilfenhaus,12,48.00
17/09/2017,Sri Lanka,Brisbane Cricket Ground,c K M D N Kulasekara b N L T C Perera,66,79.52
21/09/2017,Australia,Sydney Cricket Ground,c D T Christian b S R Watson,21,77.78
24/09/2017,Sri Lanka,Bellerive Oval,not out,133*,154.65
28/09/2017,Sri Lanka,Shere Bangla National Stadium,c H D R L Thirimanne b M F Maharoof,108,90.00
01/10/2017,Bangladesh,Shere Bangla National Stadium,b Abdur Razzak,66,80.49
01/02/2018,Pakistan,Shere Bangla National Stadium,c Mohammad Hafeez b Umar Gul,183,123.65
04/02/2018,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,c sub b N L T C Perera,106,93.81
07/02/2018,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,c †K C Sangakkara b N L T C Perera,1,20.00
10/02/2018,Sri Lanka,R Premadasa Stadium,c & b H M R K B Herath,38,58.46
13/02/2018,Sri Lanka,R Premadasa Stadium,not out,128*,107.56
16/02/2018,Sri Lanka,Pallekele International Cricket Stadium,lbw b N Pradeep,23,65.71
