catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,23 years 88 days
 ,0, , , ,23 years 91 days
 ,0, , , ,23 years 94 days
 ,0, , , ,23 years 96 days
 ,0, , , ,23 years 101 days
 ,0, , , ,23 years 129 days
 ,0, , , ,23 years 132 days
 ,0, , , ,23 years 135 days
 ,0, , , ,23 years 138 days
1,1, , , ,23 years 140 days
2,3, , , ,23 years 187 days
1,4, , , ,24 years 59 days
1,5, , , ,24 years 214 days
1,6, , , ,24 years 219 days
 ,6, , , ,24 years 223 days
 ,6, , , ,24 years 227 days
 ,6, , , ,25 years 57 days
 ,6, , , ,25 years 184 days
1,7, , , ,25 years 226 days
 ,7, , , ,25 years 229 days
2,9, , , ,25 years 232 days
 ,9, , , ,25 years 235 days
2,11, , , ,25 years 238 days
 ,11, , , ,25 years 264 days
 ,11, , , ,25 years 266 days
1,12, , , ,25 years 267 days
 ,12, , , ,25 years 271 days
2,14, , , ,26 years 8 days
1,15, , , ,26 years 10 days
 ,15, , , ,26 years 12 days
1,16, , , ,26 years 81 days
 ,16, , , ,26 years 84 days
1,17, , , ,26 years 87 days
1,18, , , ,26 years 90 days
 ,18, , , ,26 years 123 days
 ,18, , , ,26 years 126 days
 ,18, , , ,26 years 132 days
1,19, , , ,26 years 148 days
 ,19, , , ,26 years 152 days
2,21, , , ,26 years 155 days
 ,21, , , ,26 years 159 days
1,22, , , ,26 years 162 days
 ,22, , , ,26 years 225 days
 ,22, , , ,26 years 227 days
 ,22, , , ,26 years 233 days
 ,22, , , ,26 years 237 days
1,23, , , ,26 years 253 days
 ,23, , , ,26 years 260 days
 ,23, , , ,26 years 266 days
 ,23, , , ,26 years 272 days
2,25, , , ,26 years 276 days
 ,25, , , ,26 years 280 days
 ,25, , , ,26 years 285 days
2,27, , , ,26 years 292 days
 ,27, , , ,27 years 11 days
1,28, , , ,27 years 33 days
2,30, , , ,27 years 35 days
2,32, , , ,27 years 37 days
 ,32, , , ,27 years 126 days
 ,32, , , ,27 years 129 days
1,33, , , ,27 years 133 days
2,35, , , ,27 years 137 days
 ,35, , , ,27 years 140 days
 ,35, , , ,27 years 219 days
1,36, , , ,27 years 222 days
1,37, , , ,27 years 224 days
 ,37, , , ,27 years 227 days
1,38, , , ,28 years 132 days
1,39, , , ,28 years 136 days
1,40, , , ,28 years 139 days
1,41, , , ,28 years 142 days
1,42, , , ,28 years 145 days
 ,42, , , ,28 years 230 days
 ,42, , , ,29 years 16 days
 ,42, , , ,29 years 18 days
 ,42, , , ,29 years 23 days
 ,42, , , ,29 years 25 days
1,43, , , ,29 years 29 days
 ,43, , , ,29 years 88 days
 ,43, , , ,29 years 102 days
1,44, , , ,29 years 106 days
 ,44, , , ,29 years 109 days
1,45, , , ,29 years 113 days
2,47, , , ,29 years 116 days
 ,47, , , ,29 years 239 days
1,48, , , ,29 years 242 days
 ,48, , , ,29 years 245 days
 ,48, , , ,29 years 248 days
 ,48, , , ,29 years 251 days
 ,48, , , ,29 years 254 days
