catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,23 years 261 days
 ,0, , , ,24 years 33 days
 ,0, , , ,24 years 72 days
 ,0, , , ,24 years 75 days
 ,0, , , ,24 years 78 days
 ,0, , , ,24 years 81 days
 ,0, , , ,24 years 84 days
1,1, , , ,24 years 184 days
 ,1, , , ,24 years 188 days
 ,1, , , ,24 years 269 days
 ,1, , , ,24 years 272 days
 ,1, , , ,24 years 351 days
 ,1, , , ,24 years 354 days
 ,1, , , ,24 years 357 days
1,2, , , ,24 years 359 days
 ,2, , , ,24 years 364 days
1,3, , , ,25 years 26 days
 ,3, , , ,25 years 29 days
 ,3, , , ,25 years 32 days
 ,3, , , ,25 years 35 days
 ,3, , , ,25 years 37 days
 ,3, , , ,25 years 72 days
1,4, , , ,25 years 75 days
 ,4, , , ,25 years 78 days
 ,4, , , ,25 years 81 days
 ,4, , , ,25 years 140 days
 ,4, , , ,25 years 143 days
 ,4, , , ,25 years 147 days
 ,4, , , ,25 years 149 days
 ,4, , , ,25 years 156 days
 ,4, , , ,25 years 161 days
1,5, , , ,25 years 163 days
 ,5, , , ,25 years 177 days
 ,5, , , ,25 years 180 days
 ,5, , , ,25 years 182 days
 ,5, , , ,25 years 307 days
 ,5, , , ,25 years 310 days
 ,5, , , ,25 years 314 days
 ,5, , , ,25 years 317 days
 ,5, , , ,25 years 321 days
1,6, , , ,26 years 104 days
 ,6, , , ,26 years 108 days
 ,6, , , ,26 years 111 days
 ,6, , , ,26 years 116 days
 ,6, , , ,26 years 120 days
 ,6, , , ,26 years 124 days
 ,6, , , ,26 years 128 days
 ,6, , , ,26 years 132 days
 ,6, , , ,26 years 262 days
1,7, , , ,26 years 267 days
 ,7, , , ,26 years 271 days
 ,7, , , ,26 years 276 days
3,10, , , ,26 years 279 days
1,11, , , ,26 years 286 days
 ,11, , , ,26 years 288 days
2,13, , , ,26 years 291 days
 ,13, , , ,26 years 295 days
2,15, , , ,26 years 297 days
 ,15, , , ,27 years 26 days
 ,15, , , ,27 years 29 days
 ,15, , , ,27 years 32 days
 ,15, , , ,27 years 36 days
 ,15, , , ,27 years 43 days
 ,15, , , ,27 years 46 days
1,16, , , ,27 years 65 days
 ,16, , , ,27 years 68 days
1,17, , , ,27 years 71 days
 ,17, , , ,27 years 79 days
 ,17, , , ,27 years 82 days
