Date,Versus,Ground,How Dismissed,Runs,S/R
23/06/2017,Sri Lanka,Harare Sports Club,c & b T Thushara,38,-
25/06/2017,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
30/06/2017,New Zealand,Nehru Stadium (Guwahati),c & b A J McKay,0,-
02/07/2017,New Zealand,Sawai Mansingh Stadium,did not bat,-,33.33
06/07/2017,New Zealand,Reliance Stadium,did not bat,-,-
31/08/2017,New Zealand,M Chinnaswamy Stadium,did not bat,-,-
03/09/2017,New Zealand,MA Chidambaram Stadium,did not bat,-,-
17/09/2017,West Indies,MA Chidambaram Stadium,not out,10*,-
21/09/2017,Australia,Sardar Patel Stadium,did not bat,-,0.00
24/09/2017,West Indies,Sir Vivian Richards Stadium,c M N Samuels b A D Russell,15,-
01/10/2017,West Indies,Sabina Park,not out,8*,-
22/10/2017,England,Riverside Ground,b T T Bresnan,0,-
10/12/2017,England,The Rose Bowl,run out,1,76.00
17/12/2017,England,Kennington Oval,not out,36*,-
01/02/2018,England,Lord's,did not bat,-,-
04/02/2018,England,Sophia Gardens,not out,0*,-
07/02/2018,England,Rajiv Gandhi International Stadium,run out,8,-
10/02/2018,England,Feroz Shah Kotla,did not bat,-,-
13/02/2018,England,Punjab Cricket Association IS Bindra Stadium,did not bat,-,50.00
16/02/2018,England,Wankhede Stadium,did not bat,-,-
12/07/2018,England,Eden Gardens,c J M Bairstow b S R Patel,7,-
14/07/2018,West Indies,Barabati Stadium,run out,6,30.77
17/07/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
18/09/2018,West Indies,Sardar Patel Stadium,lbw b S P Narine,31,-
19/09/2018,West Indies,Holkar Cricket Stadium,did not bat,-,-
21/09/2018,Australia,Melbourne Cricket Ground,run out,5,-
23/09/2018,Sri Lanka,WACA Ground,not out,30*,-
25/09/2018,Australia,Adelaide Oval,not out,1*,81.82
28/09/2018,Sri Lanka,Adelaide Oval,c S M S M Senanayake b S L Malinga,14,100.00
24/10/2018,Sri Lanka,Brisbane Cricket Ground,c †K C Sangakkara b S L Malinga,5,-
27/10/2018,Australia,Sydney Cricket Ground,c S R Watson b X J Doherty,26,71.43
29/10/2018,Sri Lanka,Bellerive Oval,did not bat,-,-
01/11/2018,Sri Lanka,Shere Bangla National Stadium,did not bat,-,-
12/01/2019,Bangladesh,Shere Bangla National Stadium,did not bat,-,50.00
15/01/2019,Pakistan,Shere Bangla National Stadium,did not bat,-,-
23/01/2019,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,not out,0*,-
26/01/2019,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,run out,21,-
28/01/2019,Sri Lanka,R Premadasa Stadium,did not bat,-,-
31/01/2019,Sri Lanka,R Premadasa Stadium,did not bat,-,45.45
02/03/2019,Sri Lanka,Pallekele International Cricket Stadium,not out,2*,-
05/03/2019,Pakistan,MA Chidambaram Stadium,not out,31*,100.00
08/03/2019,Pakistan,Eden Gardens,st Kamran Akmal b Shoaib Malik,3,62.50
10/03/2019,Pakistan,Feroz Shah Kotla,lbw b Saeed Ajmal,0,100.00
13/03/2019,England,Saurashtra Cricket Association Stadium,c †C Kieswetter b S T Finn,13,66.67
