Date,Versus,Ground,How Dismissed,Runs,S/R
23/01/2016,Pakistan,MA Chidambaram Stadium,did not bat,-,-
11/06/2016,Pakistan,Eden Gardens,lbw b Saeed Ajmal,0,-
13/06/2016,Pakistan,Feroz Shah Kotla,lbw b Saeed Ajmal,2,-
15/06/2016,England,Saurashtra Cricket Association Stadium,not out,20*,-
16/10/2016,England,Nehru Stadium (Kochi),did not bat,-,-
20/10/2016,England,JSCA International Stadium Complex,did not bat,-,0.00
23/10/2016,England,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-
29/10/2016,England,Himachal Pradesh Cricket Association Stadium,c S T Finn b T T Bresnan,31,-
15/01/2017,South Africa,Sophia Gardens,not out,0*,-
19/01/2017,West Indies,Kennington Oval,did not bat,-,-
22/01/2017,Pakistan,Edgbaston,did not bat,-,-
04/06/2017,Sri Lanka,Sophia Gardens,did not bat,-,-
08/06/2017,England,Edgbaston,not out,1*,-
11/06/2017,West Indies,Sabina Park,not out,11*,-
15/06/2017,West Indies,Queen's Park Oval,did not bat,-,-
18/06/2017,Sri Lanka,Queen's Park Oval,did not bat,-,11.11
20/08/2017,Sri Lanka,Queen's Park Oval,lbw b S L Malinga,0,-
24/08/2017,Australia,Maharashtra Cricket Association Stadium,c A C Voges b A J Finch,18,-
27/08/2017,Australia,Sawai Mansingh Stadium,did not bat,-,-
31/08/2017,Australia,Punjab Cricket Association IS Bindra Stadium,c G J Bailey b J P Faulkner,10,-
03/09/2017,Australia,Vidarbha Cricket Association Stadium,did not bat,-,-
17/09/2017,Australia,M Chinnaswamy Stadium,did not bat,-,-
21/09/2017,West Indies,Nehru Stadium (Kochi),did not bat,-,166.67
24/09/2017,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,not out,1*,-
01/10/2017,West Indies,Green Park,did not bat,-,-
22/10/2017,South Africa,New Wanderers Stadium,c J H Kallis b D W Steyn,0,-
25/10/2017,New Zealand,McLean Park,run out,6,-
29/10/2017,New Zealand,Seddon Park,c N L McCullum b C J Anderson,11,-
10/12/2017,New Zealand,Eden Park,c N L McCullum b H K Bennett,4,0.00
13/12/2017,New Zealand,Seddon Park,did not bat,-,-
17/12/2017,New Zealand,Westpac Stadium,c †L Ronchi b M J Henry,20,-
01/02/2018,Bangladesh,Khan Shaheb Osman Ali Stadium,did not bat,-,-
04/02/2018,Sri Lanka,Khan Shaheb Osman Ali Stadium,st K C Sangakkara b B A W Mendis,0,-
07/02/2018,Pakistan,Shere Bangla National Stadium,did not bat,-,-
10/02/2018,Afghanistan,Shere Bangla National Stadium,did not bat,-,-
13/02/2018,England,Sophia Gardens,did not bat,-,-
16/02/2018,England,Trent Bridge,did not bat,-,-
19/09/2018,England,Edgbaston,did not bat,-,-
21/09/2018,England,Headingley,run out,1,-
23/09/2018,West Indies,Nehru Stadium (Kochi),c D J G Sammy b M N Samuels,2,-
28/09/2018,West Indies,Feroz Shah Kotla,c K A Pollard b D J J Bravo,18,-
27/10/2018,West Indies,Himachal Pradesh Cricket Association Stadium,did not bat,-,0.00
29/10/2018,Australia,Melbourne Cricket Ground,b M A Starc,0,-
01/11/2018,England,Brisbane Cricket Ground,b J M Anderson,5,-
02/03/2019,United Arab Emirates,WACA Ground,did not bat,-,-
05/03/2019,Bangladesh,Shere Bangla National Stadium,not out,25*,0.00
08/03/2019,Bangladesh,Shere Bangla National Stadium,c †Liton Das b Rubel Hossain,3,0.00
10/03/2019,Zimbabwe,Harare Sports Club,did not bat,-,600.00
13/03/2019,Zimbabwe,Harare Sports Club,not out,0*,25.00
