catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,22 years 328 days
 ,0, , , ,22 years 332 days
 ,0, , , ,22 years 335 days
 ,0, , , ,22 years 340 days
 ,0, , , ,22 years 344 days
 ,0, , , ,22 years 348 days
1,1, , , ,22 years 352 days
 ,1, , , ,22 years 356 days
 ,1, , , ,23 years 121 days
1,2, , , ,23 years 126 days
 ,2, , , ,23 years 130 days
1,3, , , ,23 years 135 days
 ,3, , , ,23 years 138 days
 ,3, , , ,23 years 145 days
1,4, , , ,23 years 150 days
 ,4, , , ,23 years 154 days
2,6, , , ,23 years 156 days
 ,6, , , ,23 years 250 days
1,7, , , ,23 years 253 days
 ,7, , , ,23 years 256 days
1,8, , , ,23 years 267 days
 ,8, , , ,23 years 270 days
1,9, , , ,23 years 289 days
1,10, , , ,23 years 292 days
 ,10, , , ,23 years 295 days
 ,10, , , ,23 years 303 days
1,11, , , ,23 years 348 days
 ,11, , , ,23 years 351 days
 ,11, , , ,23 years 354 days
 ,11, , , ,23 years 357 days
 ,11, , , ,23 years 360 days
 ,11, , , ,24 years 21 days
 ,11, , , ,24 years 23 days
1,12, , , ,24 years 24 days
 ,12, , , ,24 years 28 days
 ,12, , , ,24 years 203 days
1,13, , , ,24 years 206 days
 ,13, , , ,24 years 209 days
 ,13, , , ,24 years 212 days
 ,13, , , ,24 years 245 days
1,14, , , ,24 years 248 days
 ,14, , , ,24 years 254 days
1,15, , , ,24 years 347 days
 ,15, , , ,24 years 349 days
 ,15, , , ,25 years 22 days
 ,15, , , ,25 years 132 days
 ,15, , , ,25 years 135 days
 ,15, , , ,25 years 154 days
 ,15, , , ,25 years 156 days
 ,15, , , ,25 years 158 days
 ,15, , , ,25 years 247 days
 ,15, , , ,25 years 250 days
1,16, , , ,25 years 254 days
 ,16, , , ,25 years 258 days
 ,16, , , ,25 years 261 days
1,17, , , ,25 years 340 days
 ,17, , , ,25 years 348 days
 ,17, , , ,26 years 348 days
 ,17, , , ,26 years 351 days
1,18, , , ,27 years 119 days
 ,18, , , ,27 years 123 days
1,19, , , ,27 years 126 days
 ,19, , , ,27 years 130 days
 ,19, , , ,27 years 133 days
 ,19, , , ,27 years 138 days
 ,19, , , ,27 years 140 days
 ,19, , , ,27 years 145 days
 ,19, , , ,27 years 196 days
