catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,22 years 47 days
 ,0, , , ,22 years 187 days
1,1, , , ,22 years 189 days
1,2, , , ,22 years 191 days
 ,2, , , ,22 years 314 days
 ,2, , , ,22 years 318 days
 ,2, , , ,22 years 321 days
 ,2, , , ,22 years 327 days
 ,2, , , ,23 years 40 days
 ,2, , , ,23 years 44 days
2,4, , , ,23 years 47 days
 ,4, , , ,23 years 180 days
 ,4, , , ,23 years 184 days
 ,4, , , ,23 years 187 days
1,5, , , ,23 years 191 days
 ,5, , , ,23 years 194 days
 ,5, , , ,23 years 257 days
 ,5, , , ,23 years 261 days
1,6, , , ,23 years 264 days
 ,6, , , ,23 years 268 days
 ,6, , , ,23 years 271 days
2,8, , , ,23 years 285 days
 ,8, , , ,23 years 289 days
1,9, , , ,23 years 292 days
1,10, , , ,23 years 299 days
 ,10, , , ,23 years 320 days
1,11, , , ,23 years 323 days
 ,11, , , ,23 years 327 days
 ,11, , , ,24 years 4 days
 ,11, , , ,24 years 7 days
 ,11, , , ,24 years 11 days
 ,11, , , ,24 years 57 days
 ,11, , , ,24 years 60 days
 ,11, , , ,24 years 63 days
 ,11, , , ,24 years 66 days
 ,11, , , ,24 years 69 days
1,12, , , ,24 years 72 days
 ,12, , , ,24 years 287 days
1,13, , , ,24 years 289 days
 ,13, , , ,24 years 291 days
2,15, , , ,24 years 296 days
 ,15, , , ,24 years 325 days
 ,15, , , ,24 years 327 days
 ,15, , , ,24 years 330 days
 ,15, , , ,25 years 85 days
 ,15, , , ,25 years 88 days
1,16, , , ,25 years 91 days
 ,16, , , ,25 years 93 days
 ,16, , , ,25 years 96 days
