Date,Versus,Ground,How Dismissed,Runs,S/R
23/01/2016,Australia,Sydney Cricket Ground,did not bat,-,-
11/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-
13/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-
15/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-
16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium,did not bat,-,-
20/10/2016,New Zealand,Feroz Shah Kotla,b T G Southee,0,0.00
23/10/2016,New Zealand,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-
29/10/2016,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
15/01/2017,England,Maharashtra Cricket Association Stadium,did not bat,-,-
19/01/2017,England,Barabati Stadium,did not bat,-,-
22/01/2017,England,Eden Gardens,not out,0*,-
04/06/2017,Pakistan,Edgbaston,did not bat,-,-
08/06/2017,Sri Lanka,Kennington Oval,did not bat,-,-
11/06/2017,South Africa,Kennington Oval,did not bat,-,-
15/06/2017,Bangladesh,Edgbaston,did not bat,-,-
18/06/2017,Pakistan,Kennington Oval,c †Sarfraz Ahmed b Hasan Ali,1,11.11
20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,did not bat,-,-
24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,did not bat,-,-
27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,did not bat,-,-
31/08/2017,Sri Lanka,R Premadasa Stadium,did not bat,-,-
03/09/2017,Sri Lanka,R Premadasa Stadium,did not bat,-,-
17/09/2017,Australia,MA Chidambaram Stadium,did not bat,-,-
21/09/2017,Australia,Eden Gardens,not out,10*,166.67
24/09/2017,Australia,Holkar Cricket Stadium,did not bat,-,-
01/10/2017,Australia,Vidarbha Cricket Association Stadium,did not bat,-,-
22/10/2017,New Zealand,Wankhede Stadium,did not bat,-,-
25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,did not bat,-,-
29/10/2017,New Zealand,Green Park,did not bat,-,-
10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,b S S Pathirana,0,0.00
13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-
17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
01/02/2018,South Africa,Kingsmead,did not bat,-,-
04/02/2018,South Africa,SuperSport Park,did not bat,-,-
07/02/2018,South Africa,Newlands,did not bat,-,-
10/02/2018,South Africa,New Wanderers Stadium,did not bat,-,-
13/02/2018,South Africa,St George's Park,did not bat,-,-
16/02/2018,South Africa,SuperSport Park,did not bat,-,-
19/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-
21/09/2018,Bangladesh,Dubai International Cricket Stadium,did not bat,-,-
23/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-
28/09/2018,Bangladesh,Dubai International Cricket Stadium,did not bat,-,-
27/10/2018,West Indies,Maharashtra Cricket Association Stadium,c J O Holder b M N Samuels,0,0.00
29/10/2018,West Indies,Brabourne Stadium,did not bat,-,-
01/11/2018,West Indies,Greenfield International Stadium,did not bat,-,-
02/03/2019,Australia,Rajiv Gandhi International Stadium,did not bat,-,-
05/03/2019,Australia,Vidarbha Cricket Association Stadium,b N M Coulter-Nile,0,0.00
08/03/2019,Australia,JSCA International Stadium Complex,not out,0*,0.00
10/03/2019,Australia,Punjab Cricket Association IS Bindra Stadium,not out,6*,600.00
13/03/2019,Australia,Feroz Shah Kotla,not out,1*,25.00
