catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,23 years 169 days
 ,0,1, ,1,23 years 172 days
 ,0,3,2,6,23 years 173 days
 ,0, , ,6,23 years 269 days
 ,0,2, ,8,23 years 272 days
 ,0, ,1,9,23 years 276 days
 ,0, , ,9,23 years 279 days
 ,0, , ,9,23 years 282 days
 ,0,2, ,11,23 years 284 days
 ,0,1, ,12,24 years 23 days
 ,0,1, ,13,24 years 24 days
 ,0,3, ,16,24 years 27 days
 ,0, , ,16,24 years 31 days
 ,0, , ,16,24 years 33 days
 ,0,1, ,17,24 years 50 days
 ,0, , ,17,24 years 53 days
 ,0,1, ,18,24 years 57 days
 ,0, ,1,19,24 years 59 days
 ,0,1,1,21,24 years 61 days
 ,0, ,2,23,24 years 110 days
 ,0,1, ,24,24 years 113 days
 ,0,1, ,25,24 years 116 days
 ,0,1, ,26,24 years 119 days
 ,0, , ,26,24 years 122 days
 ,0,2,1,29,24 years 125 days
 ,0,1, ,30,24 years 128 days
 ,0, , ,30,24 years 132 days
 ,0,1, ,31,24 years 135 days
 ,0, , ,31,24 years 141 days
 ,0, , ,31,24 years 144 days
 ,0,1, ,32,24 years 214 days
 ,0,1, ,33,24 years 219 days
 ,0,3, ,36,24 years 221 days
 ,0,3, ,39,24 years 224 days
 ,0, , ,39,24 years 227 days
 ,0,2, ,41,24 years 264 days
 ,0,1,1,43,24 years 267 days
 ,0,1, ,44,24 years 270 days
 ,0,1, ,45,24 years 273 days
 ,0,1, ,46,24 years 279 days
 ,0,1, ,47,24 years 285 days
 ,0,1, ,48,24 years 286 days
 ,0,1, ,49,24 years 315 days
 ,0,3, ,52,24 years 317 days
 ,0,1, ,53,24 years 320 days
 ,0, , ,53,24 years 323 days
 ,0, , ,53,24 years 325 days
 ,0, , ,53,25 years 41 days
 ,0,1, ,54,25 years 68 days
 ,0,3, ,57,25 years 70 days
 ,0,2,1,60,25 years 74 days
 ,0,1, ,61,25 years 76 days
 ,0,1, ,62,25 years 99 days
 ,0, , ,62,25 years 110 days
 ,0, , ,62,25 years 113 days
 ,0,2,1,65,25 years 137 days
 ,0,1, ,66,25 years 141 days
 ,0,1, ,67,25 years 144 days
 ,0, , ,67,25 years 148 days
 ,0,1,1,69,25 years 197 days
 ,0, , ,69,25 years 200 days
 ,0, , ,69,25 years 207 days
 ,0,1, ,70,25 years 215 days
 ,0,2, ,72,25 years 218 days
 ,0,1, ,73,25 years 221 days
 ,0, , ,73,25 years 224 days
 ,0,1,2,76,25 years 252 days
 ,0,1, ,77,25 years 254 days
 ,0,3, ,80,25 years 258 days
 ,0, ,1,81,25 years 306 days
 ,0,1,1,83,25 years 308 days
 ,0,1, ,84,25 years 333 days
 ,0,2, ,86,25 years 336 days
 ,0, ,3,89,25 years 337 days
 ,0,1, ,90,25 years 356 days
 ,0,1, ,91,25 years 358 days
 ,0,2, ,93,26 years 39 days
 ,0, , ,93,26 years 44 days
 ,0,1, ,94,26 years 47 days
 ,0, ,1,95,26 years 50 days
 ,0, , ,95,26 years 53 days
 ,0,5,1,101,26 years 56 days
 ,0,1, ,102,26 years 59 days
 ,0,1, ,103,26 years 62 days
 ,0, ,1,104,26 years 83 days
 ,0,1,1,106,26 years 86 days
 ,0,1, ,107,26 years 89 days
 ,0, ,2,109,26 years 92 days
 ,0, , ,109,26 years 95 days
 ,0,1, ,110,26 years 98 days
 ,0,1, ,111,26 years 101 days
 ,0, ,1,112,26 years 120 days
 ,0, ,1,113,26 years 123 days
 ,0, , ,113,26 years 126 days
 ,0, , ,113,26 years 130 days
 ,0,1,2,116,26 years 133 days
 ,0,1, ,117,26 years 210 days
 ,0, , ,117,26 years 211 days
 ,0,4,1,122,26 years 217 days
 ,0,1, ,123,26 years 219 days
 ,0,3,1,127,26 years 224 days
 ,0,1, ,128,26 years 226 days
 ,0,1, ,129,26 years 231 days
 ,0,3, ,132,26 years 233 days
 ,0,2, ,134,26 years 238 days
 ,0,3, ,137,26 years 240 days
 ,0,2,1,140,26 years 338 days
 ,0,1, ,141,26 years 340 days
 ,0,1, ,142,26 years 342 days
 ,0,1,3,146,26 years 353 days
 ,0,1, ,147,26 years 354 days
 ,0,2, ,149,26 years 356 days
 ,0, , ,149,26 years 360 days
 ,0,2, ,151,26 years 361 days
 ,0,2, ,153,26 years 364 days
 ,0, , ,153,27 years 42 days
 ,0,1, ,154,27 years 44 days
 ,0,2, ,156,27 years 48 days
 ,0, ,1,157,27 years 51 days
 ,0, , ,157,27 years 53 days
 ,0,2,1,160,27 years 130 days
 ,0, ,1,161,27 years 133 days
 ,0,2,2,165,27 years 136 days
 ,0, , ,165,27 years 139 days
 ,0, , ,165,27 years 142 days
 ,0, , ,165,27 years 205 days
 ,0,1, ,166,27 years 208 days
 ,0,1, ,167,27 years 211 days
 ,0,2, ,169,27 years 213 days
 ,0,1, ,170,27 years 216 days
 ,0,1,1,172,27 years 239 days
 ,0, , ,172,27 years 242 days
 ,0, , ,172,27 years 244 days
 ,0,1, ,173,27 years 247 days
 ,0, , ,173,27 years 250 days
 ,0,1, ,174,27 years 354 days
 ,0, ,1,175,27 years 356 days
