catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0,1,1,2,19 years 96 days
 ,0,3, ,5,19 years 102 days
 ,0,2, ,7,20 years 318 days
 ,0, , ,7,21 years 177 days
 ,0, , ,7,21 years 180 days
1,1, , ,7,21 years 184 days
 ,1, , ,7,21 years 233 days
 ,1, , ,7,21 years 236 days
 ,1,2, ,9,21 years 239 days
 ,1, , ,9,21 years 251 days
1,2, , ,9,21 years 254 days
 ,2, , ,9,21 years 257 days
1,3, , ,9,21 years 260 days
1,4, , ,9,21 years 342 days
2,6, , ,9,21 years 344 days
 ,6,2,1,12,22 years 21 days
 ,6,1, ,13,22 years 24 days
1,7, , ,13,22 years 27 days
1,8, , ,13,22 years 29 days
 ,8, , ,13,22 years 75 days
 ,8, , ,13,22 years 80 days
 ,8, , ,13,22 years 83 days
1,9, , ,13,22 years 86 days
1,10, , ,13,22 years 89 days
1,11, , ,13,22 years 92 days
1,12, , ,13,22 years 137 days
 ,12, , ,13,24 years 25 days
 ,12, , ,13,24 years 27 days
 ,12, , ,13,24 years 32 days
 ,12, , ,13,24 years 34 days
 ,12, , ,13,24 years 102 days
 ,12, , ,13,24 years 103 days
 ,12,1, ,14,24 years 121 days
 ,12,2,1,17,24 years 203 days
 ,12, ,1,18,24 years 206 days
 ,12, , ,18,24 years 209 days
1,13, , ,18,24 years 223 days
 ,13, , ,18,24 years 224 days
 ,13, , ,18,24 years 265 days
 ,13, , ,18,24 years 268 days
 ,13, , ,18,24 years 271 days
 ,13, , ,18,24 years 361 days
 ,13, ,1,19,24 years 363 days
 ,13, , ,19,25 years 1 days
 ,13, , ,19,25 years 3 days
 ,13, , ,19,25 years 20 days
 ,13, , ,19,25 years 22 days
1,14, , ,19,25 years 69 days
 ,14, , ,19,25 years 75 days
 ,14, , ,19,25 years 80 days
1,15, , ,19,25 years 84 days
2,17, , ,19,25 years 87 days
 ,17, , ,19,28 years 5 days
1,18, , ,19,28 years 10 days
 ,18, , ,19,28 years 14 days
 ,18, , ,19,28 years 19 days
 ,18, , ,19,28 years 22 days
1,19, , ,19,28 years 29 days
 ,19, , ,19,28 years 31 days
 ,19,2, ,21,28 years 34 days
 ,19,2,1,24,28 years 38 days
 ,19, , ,24,28 years 40 days
 ,19, , ,24,28 years 53 days
 ,19,1, ,25,28 years 55 days
 ,19,4, ,29,28 years 57 days
 ,19,2, ,31,28 years 61 days
 ,19,2, ,33,28 years 63 days
 ,19,1,1,35,28 years 270 days
 ,19,1, ,36,28 years 272 days
 ,19, , ,36,28 years 273 days
 ,19,1, ,37,28 years 277 days
 ,19, , ,37,32 years 31 days
 ,19, , ,37,32 years 35 days
2,21, , ,37,32 years 143 days
 ,21, , ,37,32 years 146 days
1,22, , ,37,32 years 150 days
 ,22, , ,37,32 years 192 days
1,23, , ,37,32 years 195 days
 ,23, , ,37,32 years 199 days
 ,23, , ,37,33 years 45 days
 ,23, , ,37,33 years 108 days
1,24, , ,37,33 years 109 days
 ,24, , ,37,33 years 111 days
 ,24, , ,37,33 years 113 days
1,25, , ,37,33 years 115 days
 ,25, , ,37,33 years 118 days
 ,25, , ,37,33 years 224 days
1,26, , ,37,33 years 227 days
 ,26, , ,37,33 years 230 days
 ,26,4, ,41,33 years 240 days
 ,26,1, ,42,33 years 243 days
