catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,20 years 64 days
1,1, , , ,20 years 202 days
 ,1, , , ,20 years 204 days
 ,1, , , ,20 years 323 days
 ,1, , , ,20 years 326 days
 ,1, , , ,20 years 329 days
1,2, , , ,20 years 331 days
1,3, , , ,20 years 334 days
 ,3, , , ,20 years 337 days
1,4, , , ,21 years 8 days
 ,4, , , ,21 years 11 days
 ,4, , , ,21 years 14 days
1,5, , , ,21 years 17 days
 ,5, , , ,21 years 20 days
 ,5, , , ,21 years 29 days
1,6, , , ,21 years 31 days
 ,6, , , ,21 years 34 days
 ,6, , , ,21 years 35 days
 ,6, , , ,21 years 37 days
 ,6, , , ,21 years 76 days
 ,6, , , ,21 years 79 days
1,7, , , ,21 years 82 days
 ,7, , , ,21 years 172 days
 ,7, , , ,21 years 174 days
 ,7, , , ,21 years 178 days
 ,7, , , ,21 years 180 days
 ,7, , , ,21 years 191 days
 ,7, , , ,21 years 194 days
1,8, , , ,21 years 197 days
1,9, , , ,21 years 199 days
 ,9, , , ,21 years 246 days
1,10, , , ,21 years 252 days
1,11, , , ,21 years 257 days
 ,11, , , ,21 years 261 days
 ,11, , , ,21 years 362 days
 ,11, , , ,22 years 276 days
2,13, , , ,22 years 278 days
 ,13, , , ,22 years 283 days
1,14, , , ,22 years 311 days
1,15, , , ,22 years 314 days
 ,15, , , ,22 years 317 days
 ,15, , , ,22 years 320 days
 ,15, , , ,22 years 322 days
 ,15, , , ,22 years 357 days
1,16, , , ,22 years 360 days
1,17, , , ,22 years 363 days
1,18, , , ,23 years 1 days
 ,18, , , ,23 years 4 days
 ,18, , , ,23 years 60 days
 ,18, , , ,23 years 63 days
 ,18, , , ,23 years 67 days
 ,18, , , ,23 years 69 days
 ,18, , , ,23 years 74 days
 ,18, , , ,23 years 76 days
1,19, , , ,23 years 81 days
 ,19, , , ,23 years 83 days
1,20, , , ,23 years 97 days
1,21, , , ,23 years 100 days
 ,21, , , ,24 years 28 days
1,22, , , ,24 years 31 days
 ,22, , , ,24 years 36 days
 ,22, , , ,24 years 40 days
 ,22, , , ,24 years 44 days
1,23, , , ,24 years 48 days
1,24, , , ,24 years 52 days
1,25, , , ,24 years 182 days
1,26, , , ,24 years 187 days
 ,26, , , ,24 years 191 days
 ,26, , , ,24 years 196 days
 ,26, , , ,24 years 199 days
 ,26, , , ,24 years 206 days
 ,26, , , ,24 years 208 days
 ,26, , , ,24 years 211 days
1,27, , , ,24 years 215 days
 ,27, , , ,24 years 217 days
 ,27, , , ,24 years 230 days
 ,27, , , ,24 years 232 days
 ,27, , , ,24 years 234 days
1,28, , , ,24 years 238 days
 ,28, , , ,24 years 240 days
1,29, , , ,24 years 311 days
 ,29, , , ,24 years 314 days
1,30, , , ,24 years 317 days
 ,30, , , ,24 years 321 days
 ,30, , , ,24 years 328 days
1,31, , , ,24 years 331 days
1,32, , , ,24 years 350 days
