catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,22 years 191 days
 ,0, , , ,22 years 193 days
 ,0, , , ,22 years 198 days
 ,0, , , ,22 years 200 days
1,1, , , ,22 years 204 days
1,2, , , ,22 years 260 days
 ,2, , , ,22 years 263 days
 ,2, , , ,22 years 277 days
 ,2, , , ,22 years 281 days
 ,2, , , ,22 years 284 days
 ,2, , , ,22 years 291 days
 ,2, , , ,22 years 312 days
 ,2, , , ,22 years 361 days
 ,2, , , ,23 years 3 days
 ,2, , , ,23 years 49 days
 ,2, , , ,23 years 52 days
 ,2, , , ,23 years 55 days
 ,2, , , ,23 years 58 days
 ,2, , , ,23 years 61 days
 ,2, , , ,23 years 64 days
 ,2, , , ,23 years 210 days
 ,2, , , ,23 years 212 days
 ,2, , , ,23 years 215 days
 ,2, , , ,23 years 278 days
 ,2, , , ,23 years 279 days
 ,2, , , ,23 years 281 days
 ,2, , , ,23 years 283 days
1,3, , , ,23 years 285 days
 ,3, , , ,23 years 288 days
 ,3, , , ,23 years 314 days
 ,3, , , ,23 years 317 days
 ,3, , , ,23 years 319 days
 ,3, , , ,23 years 322 days
 ,3, , , ,24 years 29 days
 ,3, , , ,24 years 32 days
1,4, , , ,24 years 40 days
 ,4, , , ,24 years 43 days
 ,4, , , ,24 years 45 days
 ,4, , , ,24 years 48 days
 ,4, , , ,24 years 78 days
 ,4, , , ,24 years 81 days
 ,4, , , ,24 years 84 days
1,5, , , ,24 years 86 days
 ,5, , , ,24 years 89 days
