Date,Versus,Ground,How Dismissed,Runs,S/R
30/07/2005,Sri Lanka,Rangiri Dambulla International Stadium,lbw b M Muralitharan,0,0.00
31/07/2005,West Indies,Rangiri Dambulla International Stadium,c X M Marshall b D R Smith,35,83.33
03/08/2005,Sri Lanka,Rangiri Dambulla International Stadium,c & b T M Dilshan,2,40.00
31/10/2005,Sri Lanka,Sawai Mansingh Stadium,did not bat,-,-
03/11/2005,Sri Lanka,Nehru Stadium (Pune),not out,39*,130.00
06/11/2005,Sri Lanka,Sardar Patel Stadium,lbw b M F Maharoof,13,130.00
09/11/2005,Sri Lanka,Madhavrao Scindia Cricket Ground,did not bat,-,-
12/11/2005,Sri Lanka,Reliance Stadium,did not bat,-,-
06/02/2006,Pakistan,Arbab Niaz Stadium,did not bat,-,-
11/02/2006,Pakistan,Rawalpindi Cricket Stadium,did not bat,-,-
13/02/2006,Pakistan,Gaddafi Stadium,did not bat,-,-
16/02/2006,Pakistan,Multan Cricket Stadium,not out,35*,102.94
19/02/2006,Pakistan,National Stadium,did not bat,-,-
28/03/2006,England,Feroz Shah Kotla,c P D Collingwood b I D Blackwell,24,38.71
31/03/2006,England,Nahar Singh Stadium,not out,81*,91.01
03/04/2006,England,Nehru Stadium (Margao),b A Flintoff,61,89.71
06/04/2006,England,Nehru Stadium (Kochi),c I D Blackwell b J M Anderson,21,55.26
12/04/2006,England,Keenan Stadium,c †M J Prior b L E Plunkett,2,28.57
15/04/2006,England,Holkar Cricket Stadium,b Kabir Ali,53,80.30
18/04/2006,Pakistan,Sheikh Zayed Stadium,c Iftikhar Anjum b Shahid Afridi,40,59.70
19/04/2006,Pakistan,Sheikh Zayed Stadium,run out,6,54.55
18/05/2006,West Indies,Sabina Park,not out,7*,116.67
20/05/2006,West Indies,Sabina Park,c S Chanderpaul b M N Samuels,27,49.09
23/05/2006,West Indies,Warner Park,b I D R Bradshaw,26,92.86
26/05/2006,West Indies,Queen's Park Oval,c R R Sarwan b I D R Bradshaw,7,31.82
28/05/2006,West Indies,Queen's Park Oval,c †D Ramdin b J E Taylor,2,14.29
14/09/2006,West Indies,Kinrara Academy Oval,c D R Smith b J E Taylor,34,117.24
16/09/2006,Australia,Kinrara Academy Oval,not out,1*,100.00
20/09/2006,West Indies,Kinrara Academy Oval,c C H Gayle b D R Smith,11,73.33
22/09/2006,Australia,Kinrara Academy Oval,b G B Hogg,26,72.22
15/10/2006,England,Sawai Mansingh Stadium,b J W M Dalrymple,0,0.00
26/10/2006,West Indies,Sardar Patel Stadium,st C S Baugh b M N Samuels,19,51.35
29/10/2006,Australia,Punjab Cricket Association IS Bindra Stadium,c S R Watson b N W Bracken,13,68.42
22/11/2006,South Africa,Kingsmead,c J H Kallis b A Nel,4,33.33
21/01/2007,West Indies,Vidarbha Cricket Association Ground,did not bat,-,-
27/01/2007,West Indies,MA Chidambaram Stadium,c B C Lara b J E Taylor,23,63.89
10/06/2008,Pakistan,Shere Bangla National Stadium,c Misbah-ul-Haq b Umar Gul,26,118.18
12/06/2008,Bangladesh,Shere Bangla National Stadium,not out,0*,0.00
14/06/2008,Pakistan,Shere Bangla National Stadium,c Shahid Afridi b Fawad Alam,24,75.00
25/06/2008,Hong Kong,National Stadium,c Irfan Ahmed b Afzaal Haider,101,148.53
26/06/2008,Pakistan,National Stadium,c Fawad Alam b Iftikhar Anjum,84,121.74
28/06/2008,Bangladesh,National Stadium,not out,116*,108.41
02/07/2008,Pakistan,National Stadium,c Salman Butt b Abdur Rauf,1,16.67
