catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,18 years 245 days
1,1, , , ,18 years 246 days
 ,1, , , ,18 years 249 days
 ,1, , , ,18 years 338 days
 ,1, , , ,18 years 341 days
 ,1, , , ,18 years 344 days
 ,1, , , ,18 years 347 days
 ,1, , , ,18 years 350 days
 ,1, , , ,19 years 71 days
1,2, , , ,19 years 76 days
 ,2, , , ,19 years 78 days
2,4, , , ,19 years 81 days
1,5, , , ,19 years 84 days
 ,5, , , ,19 years 121 days
 ,5, , , ,19 years 124 days
1,6, , , ,19 years 127 days
 ,6, , , ,19 years 130 days
 ,6, , , ,19 years 136 days
1,7, , , ,19 years 139 days
 ,7, , , ,19 years 142 days
1,8, , , ,19 years 143 days
 ,8, , , ,19 years 172 days
1,9, , , ,19 years 174 days
 ,9, , , ,19 years 177 days
1,10, , , ,19 years 180 days
 ,10, , , ,19 years 182 days
 ,10, , , ,19 years 291 days
2,12, , , ,19 years 293 days
 ,12, , , ,19 years 297 days
1,13, , , ,19 years 299 days
 ,13, , , ,19 years 322 days
 ,13, , , ,19 years 333 days
1,14, , , ,19 years 336 days
 ,14, , , ,19 years 360 days
 ,14, , , ,20 years 55 days
1,15, , , ,20 years 61 days
1,16, , , ,21 years 195 days
1,17, , , ,21 years 197 days
 ,17, , , ,21 years 199 days
 ,17, , , ,21 years 210 days
2,19, , , ,21 years 211 days
 ,19, , , ,21 years 213 days
 ,19, , , ,21 years 217 days
 ,19, , , ,21 years 218 days
1,20, , , ,21 years 221 days
 ,20, , , ,21 years 264 days
 ,20, , , ,21 years 266 days
 ,20, , , ,21 years 270 days
2,22, , , ,21 years 273 days
 ,22, , , ,21 years 275 days
 ,22, , , ,21 years 352 days
1,23, , , ,21 years 355 days
1,24, , , ,21 years 358 days
 ,24, , , ,21 years 361 days
 ,24, , , ,21 years 364 days
1,25, , , ,22 years 62 days
 ,25, , , ,22 years 65 days
 ,25, , , ,22 years 68 days
1,26, , , ,22 years 70 days
2,28, , , ,22 years 73 days
 ,28, , , ,22 years 96 days
 ,28, , , ,22 years 99 days
 ,28, , , ,22 years 101 days
1,29, , , ,22 years 104 days
 ,29, , , ,22 years 107 days
1,30, , , ,22 years 288 days
 ,30, , , ,22 years 289 days
1,31, , , ,22 years 291 days
1,32, , , ,22 years 303 days
 ,32, , , ,22 years 305 days
 ,32, , , ,22 years 307 days
1,33, , , ,22 years 332 days
1,34, , , ,22 years 335 days
 ,34, , , ,22 years 338 days
 ,34, , , ,22 years 340 days
 ,34, , , ,22 years 343 days
1,35, , , ,22 years 346 days
 ,35, , , ,23 years 18 days
 ,35, , , ,23 years 21 days
1,36, , , ,23 years 24 days
 ,36, , , ,23 years 27 days
1,37, , , ,23 years 30 days
1,38, , , ,23 years 39 days
 ,38, , , ,23 years 41 days
1,39, , , ,23 years 44 days
1,40, , , ,23 years 45 days
 ,40, , , ,23 years 47 days
 ,40, , , ,23 years 86 days
1,41, , , ,23 years 89 days
 ,41, , , ,23 years 92 days
 ,41, , , ,23 years 182 days
1,42, , , ,23 years 184 days
 ,42, , , ,23 years 188 days
 ,42, , , ,23 years 190 days
1,43, , , ,23 years 201 days
1,44, , , ,23 years 204 days
 ,44, , , ,23 years 207 days
 ,44, , , ,23 years 209 days
 ,44, , , ,23 years 256 days
1,45, , , ,23 years 262 days
 ,45, , , ,23 years 267 days
 ,45, , , ,23 years 271 days
 ,45, , , ,23 years 274 days
 ,45, , , ,23 years 327 days
1,46, , , ,24 years 1 days
 ,46, , , ,24 years 4 days
 ,46, , , ,24 years 46 days
 ,46, , , ,24 years 49 days
1,47, , , ,24 years 52 days
 ,47, , , ,24 years 55 days
 ,47, , , ,24 years 57 days
 ,47, , , ,24 years 113 days
1,48, , , ,24 years 117 days
1,49, , , ,24 years 123 days
1,50, , , ,24 years 126 days
 ,50, , , ,24 years 191 days
1,51, , , ,24 years 193 days
 ,51, , , ,24 years 196 days
 ,51, , , ,24 years 198 days
 ,51, , , ,24 years 201 days
 ,51, , , ,24 years 280 days
 ,51, , , ,24 years 283 days
 ,51, , , ,24 years 286 days
 ,51, , , ,24 years 288 days
 ,51, , , ,24 years 293 days
 ,51, , , ,24 years 321 days
1,52, , , ,24 years 324 days
 ,52, , , ,24 years 327 days
 ,52, , , ,24 years 330 days
1,53, , , ,24 years 332 days
 ,53, , , ,25 years 1 days
1,54, , , ,25 years 4 days
 ,54, , , ,25 years 7 days
 ,54, , , ,25 years 10 days
 ,54, , , ,25 years 13 days
1,55, , , ,25 years 69 days
 ,55, , , ,25 years 72 days
 ,55, , , ,25 years 76 days
 ,55, , , ,25 years 78 days
1,56, , , ,25 years 83 days
1,57, , , ,25 years 85 days
1,58, , , ,25 years 90 days
 ,58, , , ,25 years 92 days
1,59, , , ,25 years 106 days
1,60, , , ,25 years 109 days
1,61, , , ,25 years 111 days
 ,61, , , ,25 years 236 days
 ,61, , , ,25 years 239 days
 ,61, , , ,25 years 243 days
1,62, , , ,25 years 246 days
1,63, , , ,25 years 250 days
 ,63, , , ,26 years 33 days
 ,63, , , ,26 years 37 days
 ,63, , , ,26 years 40 days
 ,63, , , ,26 years 45 days
1,64, , , ,26 years 49 days
 ,64, , , ,26 years 53 days
 ,64, , , ,26 years 57 days
 ,64, , , ,26 years 61 days
2,66, , , ,26 years 191 days
 ,66, , , ,26 years 196 days
1,67, , , ,26 years 200 days
3,70, , , ,26 years 205 days
 ,70, , , ,26 years 208 days
1,71, , , ,26 years 215 days
 ,71, , , ,26 years 217 days
1,72, , , ,26 years 220 days
1,73, , , ,26 years 224 days
 ,73, , , ,26 years 226 days
1,74, , , ,26 years 239 days
 ,74, , , ,26 years 241 days
 ,74, , , ,26 years 243 days
 ,74, , , ,26 years 247 days
2,76, , , ,26 years 249 days
2,78, , , ,26 years 320 days
 ,85, , , ,26 years 323 days
 ,85, , , ,26 years 326 days
1,86, , , ,26 years 330 days
 ,86, , , ,26 years 337 days
 ,86, , , ,26 years 340 days
 ,86, , , ,26 years 359 days
1,87, , , ,26 years 362 days
1,88, , , ,27 years 0 days
 ,88, , , ,27 years 8 days
 ,88, , , ,27 years 11 days
 ,88, , , ,27 years 14 days
 ,88, , , ,27 years 53 days
1,89, , , ,27 years 56 days
1,90, , , ,27 years 59 days
 ,90, , , ,27 years 200 days
1,91, , , ,27 years 202 days
 ,91, , , ,27 years 204 days
 ,91, , , ,27 years 273 days
1,92, , , ,27 years 276 days
 ,92, , , ,27 years 279 days
 ,92, , , ,27 years 282 days
 ,92, , , ,27 years 315 days
1,93, , , ,27 years 318 days
 ,93, , , ,27 years 324 days
 ,93, , , ,27 years 340 days
1,94, , , ,27 years 344 days
 ,94, , , ,27 years 347 days
1,95, , , ,27 years 351 days
 ,95, , , ,28 years 52 days
2,97, , , ,28 years 54 days
 ,97, , , ,28 years 60 days
1,98, , , ,29 years 99 days
2,100, , , ,29 years 102 days
1,101, , , ,29 years 248 days
 ,101, , , ,29 years 250 days
 ,101, , , ,29 years 253 days
 ,101, , , ,29 years 349 days
1,102, , , ,29 years 352 days
 ,102, , , ,29 years 355 days
