catches,aggregate,catches_wk,stumping_wk,agg_wk,age
1,1, , , ,20 years 54 days
1,2, , , ,20 years 57 days
 ,2, , , ,20 years 158 days
1,3, , , ,20 years 202 days
 ,3, , , ,20 years 279 days
 ,3, , , ,20 years 280 days
1,4, , , ,20 years 286 days
 ,4, , , ,20 years 288 days
1,5, , , ,20 years 293 days
 ,5, , , ,20 years 295 days
1,6, , , ,20 years 300 days
1,7, , , ,20 years 302 days
1,8, , , ,20 years 307 days
 ,8, , , ,20 years 309 days
1,9, , , ,21 years 41 days
 ,9, , , ,21 years 43 days
1,10, , , ,21 years 45 days
 ,10, , , ,21 years 56 days
 ,10, , , ,21 years 57 days
 ,10, , , ,21 years 59 days
 ,10, , , ,21 years 63 days
 ,10, , , ,21 years 64 days
1,11, , , ,21 years 67 days
 ,11, , , ,21 years 110 days
 ,11, , , ,21 years 112 days
 ,11, , , ,21 years 116 days
 ,11, , , ,21 years 119 days
 ,11, , , ,21 years 121 days
 ,11, , , ,21 years 198 days
 ,11, , , ,21 years 201 days
 ,11, , , ,21 years 204 days
 ,11, , , ,21 years 210 days
1,12, , , ,21 years 273 days
2,14, , , ,21 years 281 days
1,15, , , ,21 years 284 days
1,16, , , ,21 years 315 days
 ,16, , , ,21 years 318 days
2,18, , , ,22 years 57 days
 ,18, , , ,22 years 59 days
 ,18, , , ,22 years 64 days
 ,18, , , ,22 years 66 days
 ,18, , , ,22 years 303 days
 ,18, , , ,23 years 28 days
 ,18, , , ,23 years 30 days
 ,18, , , ,23 years 34 days
 ,18, , , ,23 years 36 days
 ,18, , , ,23 years 47 days
 ,18, , , ,23 years 50 days
 ,18, , , ,23 years 53 days
 ,18, , , ,23 years 55 days
 ,18, , , ,23 years 102 days
1,19, , , ,23 years 108 days
 ,19, , , ,23 years 113 days
2,21, , , ,23 years 120 days
1,22, , , ,23 years 221 days
1,23, , , ,23 years 224 days
1,24, , , ,23 years 257 days
 ,24, , , ,23 years 260 days
 ,24, , , ,23 years 263 days
 ,24, , , ,23 years 266 days
 ,24, , , ,23 years 268 days
1,25, , , ,24 years 37 days
 ,25, , , ,24 years 39 days
 ,25, , , ,24 years 42 days
 ,25, , , ,24 years 44 days
 ,25, , , ,24 years 47 days
 ,25, , , ,24 years 126 days
 ,25, , , ,24 years 213 days
 ,25, , , ,24 years 216 days
 ,25, , , ,24 years 219 days
1,26, , , ,24 years 222 days
 ,26, , , ,24 years 225 days
 ,26, , , ,24 years 281 days
2,28, , , ,24 years 284 days
 ,28, , , ,24 years 288 days
 ,28, , , ,24 years 290 days
1,29, , , ,24 years 295 days
 ,29, , , ,24 years 318 days
2,31, , , ,24 years 321 days
 ,31, , , ,24 years 323 days
 ,31, , , ,25 years 82 days
 ,31, , , ,25 years 85 days
 ,31, , , ,25 years 89 days
 ,31, , , ,25 years 92 days
 ,31, , , ,25 years 96 days
1,32, , , ,25 years 244 days
 ,32, , , ,25 years 268 days
 ,32, , , ,25 years 272 days
 ,32, , , ,26 years 37 days
 ,32, , , ,26 years 42 days
1,33, , , ,26 years 46 days
 ,33, , , ,26 years 51 days
 ,33, , , ,26 years 54 days
 ,33, , , ,26 years 61 days
 ,33, , , ,26 years 63 days
 ,33, , , ,26 years 66 days
 ,33, , , ,26 years 70 days
 ,33, , , ,26 years 72 days
 ,33, , , ,26 years 85 days
 ,33, , , ,26 years 87 days
 ,33, , , ,26 years 89 days
1,34, , , ,26 years 93 days
1,35, , , ,26 years 166 days
 ,35, , , ,26 years 169 days
 ,35, , , ,26 years 172 days
1,36, , , ,26 years 176 days
 ,36, , , ,26 years 183 days
 ,36, , , ,26 years 186 days
 ,36, , , ,26 years 205 days
 ,36, , , ,26 years 208 days
 ,36, , , ,26 years 211 days
 ,36, , , ,26 years 219 days
1,37, , , ,26 years 222 days
1,38, , , ,26 years 225 days
 ,38, , , ,26 years 264 days
 ,38, , , ,26 years 267 days
 ,38, , , ,26 years 270 days
 ,38, , , ,26 years 273 days
1,39, , , ,26 years 276 days
1,40, , , ,26 years 302 days
2,42, , , ,26 years 304 days
 ,42, , , ,26 years 305 days
 ,42, , , ,26 years 309 days
 ,42, , , ,27 years 119 days
 ,42, , , ,27 years 197 days
1,43, , , ,27 years 200 days
 ,43, , , ,27 years 263 days
 ,43, , , ,27 years 291 days
 ,43, , , ,27 years 298 days
 ,43, , , ,27 years 304 days
 ,43, , , ,27 years 310 days
 ,43, , , ,27 years 314 days
1,44, , , ,27 years 318 days
 ,44, , , ,27 years 323 days
2,46, , , ,27 years 330 days
3,49, , , ,28 years 49 days
 ,49, , , ,28 years 52 days
 ,49, , , ,28 years 55 days
 ,49, , , ,28 years 164 days
 ,49, , , ,28 years 167 days
 ,49, , , ,28 years 171 days
 ,49, , , ,28 years 175 days
 ,49, , , ,28 years 178 days
 ,49, , , ,28 years 257 days
 ,49, , , ,28 years 260 days
 ,49, , , ,28 years 262 days
1,50, , , ,28 years 265 days
1,51, , , ,28 years 268 days
1,52, , , ,29 years 169 days
1,53, , , ,29 years 173 days
 ,53, , , ,29 years 176 days
1,54, , , ,29 years 179 days
 ,54, , , ,29 years 182 days
 ,54, , , ,30 years 35 days
 ,54, , , ,30 years 39 days
 ,54, , , ,30 years 42 days
 ,54, , , ,30 years 46 days
 ,54, , , ,30 years 49 days
 ,54, , , ,30 years 112 days
1,55, , , ,30 years 116 days
1,56, , , ,30 years 119 days
 ,56, , , ,30 years 123 days
 ,56, , , ,30 years 126 days
 ,56, , , ,30 years 140 days
 ,56, , , ,30 years 144 days
 ,56, , , ,30 years 147 days
 ,56, , , ,30 years 151 days
 ,56, , , ,30 years 154 days
 ,56, , , ,30 years 175 days
 ,56, , , ,30 years 178 days
 ,56, , , ,30 years 182 days
 ,56, , , ,30 years 224 days
1,57, , , ,30 years 227 days
1,58, , , ,30 years 231 days
 ,58, , , ,30 years 277 days
 ,58, , , ,30 years 280 days
 ,58, , , ,30 years 283 days
1,59, , , ,30 years 286 days
1,60, , , ,30 years 289 days
 ,60, , , ,30 years 292 days
 ,60, , , ,31 years 73 days
1,61, , , ,31 years 75 days
 ,61, , , ,31 years 78 days
1,62, , , ,31 years 141 days
 ,62, , , ,31 years 142 days
 ,62, , , ,31 years 144 days
1,63, , , ,31 years 146 days
 ,63, , , ,31 years 151 days
 ,63, , , ,31 years 174 days
1,64, , , ,31 years 177 days
2,66, , , ,31 years 180 days
3,69, , , ,31 years 182 days
 ,69, , , ,31 years 185 days
1,70, , , ,31 years 257 days
 ,70, , , ,31 years 260 days
1,71, , , ,31 years 263 days
1,72, , , ,31 years 268 days
 ,72, , , ,31 years 271 days
1,73, , , ,31 years 273 days
 ,73, , , ,31 years 276 days
 ,73, , , ,31 years 279 days
 ,73, , , ,31 years 306 days
 ,73, , , ,31 years 309 days
 ,73, , , ,31 years 312 days
 ,73, , , ,31 years 314 days
 ,73, , , ,31 years 317 days
