Date,Versus,Ground,How Dismissed,Runs,S/R
23/01/2016,Australia,Feroz Shah Kotla,did not bat,-,-
11/06/2016,Zimbabwe,Nehru Stadium (Kochi),did not bat,-,-
13/06/2016,Zimbabwe,JSCA International Stadium Complex,did not bat,-,-
15/06/2016,Zimbabwe,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-
16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium,did not bat,-,-
20/10/2016,New Zealand,Sabina Park,b T G Southee,0,0.00
23/10/2016,New Zealand,Harare Sports Club,did not bat,-,-
29/10/2016,New Zealand,Harare Sports Club,did not bat,-,-
15/01/2017,England,Harare Sports Club,did not bat,-,-
19/01/2017,England,Queens Sports Club,did not bat,-,-
22/01/2017,England,Queens Sports Club,not out,0*,-
04/06/2017,Pakistan,JSCA International Stadium Complex,did not bat,-,-
08/06/2017,Sri Lanka,Vidarbha Cricket Association Stadium,did not bat,-,-
11/06/2017,South Africa,M Chinnaswamy Stadium,did not bat,-,-
15/06/2017,Bangladesh,Nehru Stadium (Kochi),did not bat,-,-
18/06/2017,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,c †Sarfraz Ahmed b Hasan Ali,1,11.11
20/08/2017,Sri Lanka,Green Park,did not bat,-,-
24/08/2017,Sri Lanka,New Wanderers Stadium,did not bat,-,-
27/08/2017,Sri Lanka,Kingsmead,did not bat,-,-
31/08/2017,Sri Lanka,SuperSport Park,did not bat,-,-
03/09/2017,Sri Lanka,McLean Park,did not bat,-,-
17/09/2017,Australia,Seddon Park,did not bat,-,-
21/09/2017,Australia,Eden Park,not out,10*,166.67
24/09/2017,Australia,Seddon Park,did not bat,-,-
01/10/2017,Australia,Westpac Stadium,did not bat,-,-
22/10/2017,New Zealand,Khan Shaheb Osman Ali Stadium,did not bat,-,-
25/10/2017,New Zealand,Khan Shaheb Osman Ali Stadium,did not bat,-,-
29/10/2017,New Zealand,Shere Bangla National Stadium,did not bat,-,-
10/12/2017,Sri Lanka,Shere Bangla National Stadium,b S S Pathirana,0,0.00
13/12/2017,Sri Lanka,Sophia Gardens,did not bat,-,-
17/12/2017,Sri Lanka,Trent Bridge,did not bat,-,-
01/02/2018,South Africa,Edgbaston,did not bat,-,-
04/02/2018,South Africa,Headingley,did not bat,-,-
07/02/2018,South Africa,Nehru Stadium (Kochi),did not bat,-,-
10/02/2018,South Africa,Feroz Shah Kotla,did not bat,-,-
13/02/2018,South Africa,Himachal Pradesh Cricket Association Stadium,did not bat,-,-
16/02/2018,South Africa,Melbourne Cricket Ground,did not bat,-,-
19/09/2018,Pakistan,Brisbane Cricket Ground,did not bat,-,-
21/09/2018,Bangladesh,Sydney Cricket Ground,did not bat,-,-
23/09/2018,Pakistan,WACA Ground,did not bat,-,-
28/09/2018,Bangladesh,Adelaide Oval,did not bat,-,-
27/10/2018,West Indies,Melbourne Cricket Ground,c J O Holder b M N Samuels,0,0.00
29/10/2018,West Indies,WACA Ground,did not bat,-,-
01/11/2018,West Indies,Seddon Park,did not bat,-,-
02/03/2019,Australia,Eden Park,did not bat,-,-
05/03/2019,Australia,Melbourne Cricket Ground,b N M Coulter-Nile,0,0.00
08/03/2019,Australia,Sydney Cricket Ground,not out,0*,0.00
10/03/2019,Australia,Sir Vivian Richards Stadium,not out,6*,600.00
13/03/2019,Australia,Sabina Park,not out,1*,25.00
