catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,22 years 303 days
 ,0, , , ,22 years 312 days
 ,0, , , ,22 years 316 days
 ,0, , , ,22 years 320 days
 ,0, , , ,22 years 324 days
 ,0, , , ,23 years 115 days
 ,0, , , ,23 years 137 days
1,1, , , ,23 years 139 days
1,2, , , ,23 years 141 days
 ,2, , , ,23 years 145 days
 ,2, , , ,23 years 147 days
 ,2, , , ,23 years 228 days
 ,2, , , ,23 years 235 days
1,3, , , ,23 years 238 days
 ,3, , , ,23 years 257 days
 ,3, , , ,23 years 260 days
 ,3, , , ,23 years 263 days
 ,3, , , ,23 years 271 days
 ,3, , , ,23 years 274 days
 ,3, , , ,23 years 277 days
1,4, , , ,23 years 316 days
2,6, , , ,23 years 319 days
 ,6, , , ,23 years 322 days
 ,6, , , ,23 years 325 days
1,7, , , ,23 years 328 days
1,8, , , ,23 years 354 days
 ,8, , , ,23 years 356 days
 ,8, , , ,23 years 357 days
 ,8, , , ,23 years 361 days
1,9, , , ,24 years 171 days
 ,9, , , ,24 years 174 days
 ,9, , , ,24 years 177 days
 ,9, , , ,24 years 180 days
 ,9, , , ,24 years 213 days
1,10, , , ,24 years 216 days
1,11, , , ,24 years 222 days
 ,11, , , ,24 years 315 days
 ,11, , , ,24 years 317 days
 ,11, , , ,24 years 323 days
 ,11, , , ,24 years 327 days
 ,11, , , ,24 years 343 days
1,12, , , ,24 years 350 days
1,13, , , ,24 years 362 days
1,14, , , ,25 years 0 days
 ,14, , , ,25 years 4 days
2,16, , , ,25 years 9 days
 ,16, , , ,25 years 16 days
 ,16, , , ,27 years 115 days
 ,16, , , ,27 years 119 days
 ,16, , , ,27 years 203 days
 ,16, , , ,28 years 226 days
 ,16, , , ,28 years 229 days
1,17, , , ,28 years 309 days
 ,17, , , ,28 years 312 days
 ,17, , , ,28 years 315 days
 ,17, , , ,28 years 320 days
1,18, , , ,28 years 323 days
1,19, , , ,28 years 325 days
2,21, , , ,28 years 331 days
 ,21, , , ,28 years 358 days
 ,21, , , ,28 years 361 days
 ,21, , , ,28 years 364 days
 ,21, , , ,29 years 3 days
