catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,24 years 319 days
 ,0, , , ,25 years 182 days
 ,0, , , ,25 years 184 days
1,1, , , ,25 years 187 days
 ,1, , , ,25 years 192 days
 ,1, , , ,27 years 183 days
 ,1, , , ,27 years 188 days
 ,1, , , ,27 years 192 days
1,2, , , ,27 years 197 days
 ,2, , , ,27 years 200 days
2,4, , , ,27 years 207 days
 ,4, , , ,27 years 209 days
 ,4, , , ,27 years 212 days
 ,4, , , ,27 years 216 days
 ,4, , , ,27 years 218 days
1,5, , , ,27 years 231 days
1,6, , , ,27 years 233 days
1,7, , , ,27 years 235 days
 ,7, , , ,27 years 241 days
 ,7, , , ,27 years 312 days
 ,7, , , ,27 years 315 days
 ,7, , , ,27 years 318 days
 ,7, , , ,27 years 322 days
1,8, , , ,27 years 329 days
1,9, , , ,27 years 332 days
1,10, , , ,27 years 351 days
1,11, , , ,27 years 354 days
1,12, , , ,27 years 357 days
 ,12, , , ,28 years 0 days
 ,12, , , ,28 years 3 days
 ,12, , , ,28 years 6 days
 ,12, , , ,28 years 45 days
1,13, , , ,28 years 48 days
 ,13, , , ,28 years 51 days
1,14, , , ,28 years 57 days
 ,14, , , ,28 years 83 days
 ,14, , , ,28 years 85 days
 ,14, , , ,28 years 86 days
 ,14, , , ,28 years 90 days
 ,14, , , ,28 years 265 days
 ,14, , , ,28 years 268 days
 ,14, , , ,28 years 271 days
 ,14, , , ,28 years 274 days
2,16, , , ,28 years 307 days
1,17, , , ,28 years 310 days
1,18, , , ,28 years 316 days
1,19, , , ,28 years 332 days
1,20, , , ,28 years 336 days
1,21, , , ,28 years 339 days
 ,21, , , ,29 years 43 days
 ,21, , , ,29 years 45 days
 ,21, , , ,29 years 51 days
1,22, , , ,29 years 55 days
 ,22, , , ,29 years 71 days
2,24, , , ,29 years 78 days
1,25, , , ,29 years 84 days
 ,25, , , ,29 years 90 days
 ,25, , , ,29 years 94 days
2,27, , , ,29 years 98 days
1,28, , , ,29 years 103 days
1,29, , , ,29 years 110 days
 ,29, , , ,29 years 194 days
1,30, , , ,29 years 197 days
 ,30, , , ,29 years 200 days
 ,30, , , ,29 years 309 days
 ,30, , , ,29 years 312 days
 ,30, , , ,29 years 316 days
1,31, , , ,29 years 320 days
 ,31, , , ,29 years 323 days
1,32, , , ,30 years 37 days
 ,32, , , ,30 years 40 days
2,34, , , ,30 years 42 days
 ,34, , , ,30 years 45 days
 ,34, , , ,30 years 48 days
1,35, , , ,31 years 41 days
 ,35, , , ,31 years 45 days
1,36, , , ,31 years 181 days
 ,36, , , ,31 years 185 days
 ,36, , , ,31 years 188 days
 ,36, , , ,31 years 192 days
 ,36, , , ,31 years 195 days
 ,36, , , ,31 years 200 days
 ,36, , , ,31 years 202 days
 ,36, , , ,31 years 207 days
 ,36, , , ,31 years 209 days
2,38, , , ,31 years 213 days
1,39, , , ,31 years 258 days
1,40, , , ,31 years 262 days
 ,40, , , ,31 years 265 days
1,41, , , ,31 years 269 days
 ,41, , , ,31 years 321 days
 ,41, , , ,31 years 324 days
1,42, , , ,31 years 328 days
1,43, , , ,32 years 5 days
1,44, , , ,32 years 8 days
1,45, , , ,32 years 12 days
 ,45, , , ,32 years 58 days
 ,45, , , ,32 years 61 days
 ,45, , , ,32 years 64 days
 ,45, , , ,32 years 67 days
 ,45, , , ,32 years 70 days
1,46, , , ,32 years 73 days
 ,46, , , ,32 years 219 days
1,47, , , ,32 years 221 days
 ,47, , , ,32 years 224 days
1,48, , , ,32 years 287 days
1,49, , , ,32 years 288 days
4,53, , , ,32 years 290 days
 ,53, , , ,32 years 292 days
 ,53, , , ,32 years 297 days
1,54, , , ,32 years 320 days
 ,54, , , ,32 years 323 days
 ,54, , , ,32 years 326 days
 ,54, , , ,32 years 328 days
1,55, , , ,32 years 331 days
1,56, , , ,33 years 37 days
2,58, , , ,33 years 40 days
 ,58, , , ,33 years 43 days
 ,58, , , ,33 years 48 days
1,59, , , ,33 years 51 days
 ,59, , , ,33 years 53 days
 ,59, , , ,33 years 56 days
1,60, , , ,33 years 59 days
 ,60, , , ,33 years 86 days
 ,60, , , ,33 years 89 days
 ,60, , , ,33 years 92 days
1,61, , , ,33 years 94 days
 ,61, , , ,33 years 97 days
