catches,aggregate,catches_wk,stumping_wk,agg_wk,age
 ,0, , , ,19 years 286 days
3,3, , , ,19 years 288 days
 ,3, , , ,19 years 292 days
 ,3, , , ,19 years 295 days
 ,3, , , ,19 years 297 days
 ,3, , , ,20 years 313 days
1,4, , , ,20 years 325 days
 ,4, , , ,20 years 327 days
 ,4, , , ,20 years 329 days
1,5, , , ,20 years 354 days
 ,5, , , ,20 years 362 days
 ,5, , , ,21 years 39 days
1,6, , , ,21 years 42 days
1,7, , , ,21 years 48 days
 ,7, , , ,21 years 51 days
 ,7, , , ,21 years 60 days
1,8, , , ,21 years 62 days
1,9, , , ,21 years 65 days
1,10, , , ,21 years 66 days
1,11, , , ,21 years 68 days
1,12, , , ,21 years 107 days
 ,12, , , ,21 years 110 days
 ,12, , , ,21 years 113 days
 ,12, , , ,21 years 203 days
 ,12, , , ,21 years 205 days
1,13, , , ,21 years 209 days
1,14, , , ,21 years 211 days
 ,14, , , ,21 years 222 days
1,15, , , ,21 years 225 days
 ,15, , , ,21 years 228 days
 ,15, , , ,21 years 230 days
 ,15, , , ,21 years 283 days
 ,15, , , ,21 years 292 days
 ,15, , , ,21 years 295 days
 ,15, , , ,21 years 348 days
 ,15, , , ,22 years 22 days
1,16, , , ,22 years 25 days
 ,16, , , ,22 years 28 days
 ,16, , , ,22 years 31 days
 ,16, , , ,22 years 34 days
 ,16, , , ,22 years 67 days
 ,16, , , ,22 years 70 days
3,19, , , ,22 years 73 days
1,20, , , ,22 years 76 days
 ,20, , , ,22 years 78 days
 ,20, , , ,22 years 105 days
1,21, , , ,22 years 113 days
 ,21, , , ,22 years 120 days
 ,21, , , ,22 years 123 days
1,22, , , ,22 years 126 days
 ,22, , , ,22 years 134 days
 ,22, , , ,22 years 138 days
1,23, , , ,22 years 144 days
 ,23, , , ,22 years 147 days
1,24, , , ,22 years 212 days
 ,24, , , ,22 years 214 days
1,25, , , ,22 years 217 days
2,27, , , ,22 years 219 days
 ,27, , , ,22 years 222 days
 ,27, , , ,22 years 301 days
2,29, , , ,22 years 304 days
 ,29, , , ,22 years 307 days
1,30, , , ,22 years 309 days
 ,30, , , ,22 years 314 days
 ,30, , , ,22 years 342 days
2,32, , , ,22 years 345 days
 ,32, , , ,22 years 348 days
1,33, , , ,22 years 351 days
1,34, , , ,22 years 353 days
1,35, , , ,23 years 23 days
 ,35, , , ,23 years 26 days
 ,35, , , ,23 years 29 days
 ,35, , , ,23 years 32 days
 ,35, , , ,23 years 35 days
1,36, , , ,23 years 91 days
1,37, , , ,23 years 94 days
1,38, , , ,23 years 98 days
1,39, , , ,23 years 100 days
1,40, , , ,23 years 105 days
 ,40, , , ,23 years 107 days
1,41, , , ,23 years 112 days
 ,41, , , ,23 years 114 days
2,43, , , ,23 years 128 days
 ,43, , , ,23 years 131 days
2,45, , , ,23 years 133 days
1,46, , , ,23 years 258 days
 ,46, , , ,23 years 261 days
1,47, , , ,23 years 265 days
1,48, , , ,23 years 268 days
1,49, , , ,23 years 272 days
 ,49, , , ,24 years 55 days
 ,49, , , ,24 years 59 days
 ,49, , , ,24 years 62 days
1,50, , , ,24 years 67 days
 ,50, , , ,24 years 71 days
 ,50, , , ,24 years 75 days
 ,50, , , ,24 years 79 days
 ,50, , , ,24 years 83 days
 ,50, , , ,24 years 213 days
 ,50, , , ,24 years 218 days
1,51, , , ,24 years 222 days
 ,51, , , ,24 years 227 days
 ,51, , , ,24 years 230 days
 ,51, , , ,24 years 237 days
 ,51, , , ,24 years 239 days
 ,51, , , ,24 years 242 days
1,52, , , ,24 years 246 days
 ,52, , , ,24 years 248 days
 ,52, , , ,24 years 261 days
 ,52, , , ,24 years 263 days
 ,52, , , ,24 years 265 days
1,53, , , ,24 years 269 days
2,55, , , ,24 years 271 days
1,56, , , ,24 years 342 days
 ,56, , , ,24 years 345 days
 ,56, , , ,24 years 348 days
 ,56, , , ,24 years 352 days
2,58, , , ,24 years 359 days
1,59, , , ,24 years 362 days
 ,59, , , ,25 years 15 days
 ,59, , , ,25 years 18 days
 ,59, , , ,25 years 21 days
1,60, , , ,25 years 29 days
 ,60, , , ,25 years 32 days
 ,60, , , ,25 years 35 days
 ,60, , , ,25 years 74 days
 ,60, , , ,25 years 77 days
 ,60, , , ,25 years 80 days
 ,60, , , ,25 years 83 days
 ,60, , , ,25 years 86 days
 ,60, , , ,25 years 112 days
 ,60, , , ,25 years 114 days
 ,60, , , ,25 years 115 days
2,62, , , ,25 years 119 days
1,63, , , ,25 years 294 days
 ,63, , , ,25 years 297 days
 ,63, , , ,25 years 300 days
 ,63, , , ,25 years 303 days
1,64, , , ,25 years 336 days
1,65, , , ,25 years 339 days
 ,65, , , ,25 years 345 days
1,66, , , ,25 years 361 days
 ,66, , , ,26 years 0 days
1,67, , , ,26 years 3 days
1,68, , , ,26 years 7 days
 ,68, , , ,26 years 10 days
 ,68, , , ,26 years 73 days
1,69, , , ,26 years 75 days
 ,69, , , ,26 years 81 days
 ,69, , , ,26 years 85 days
1,70, , , ,26 years 101 days
1,71, , , ,26 years 108 days
 ,71, , , ,26 years 114 days
2,73, , , ,26 years 120 days
 ,73, , , ,26 years 124 days
 ,73, , , ,26 years 128 days
 ,73, , , ,26 years 133 days
1,74, , , ,26 years 140 days
1,75, , , ,26 years 224 days
 ,75, , , ,26 years 227 days
 ,75, , , ,26 years 230 days
 ,75, , , ,26 years 339 days
3,78, , , ,26 years 342 days
 ,78, , , ,26 years 346 days
 ,78, , , ,26 years 350 days
1,79, , , ,26 years 353 days
2,81, , , ,27 years 67 days
1,82, , , ,27 years 70 days
 ,82, , , ,27 years 72 days
1,83, , , ,27 years 75 days
 ,83, , , ,27 years 78 days
 ,83, , , ,27 years 345 days
 ,83, , , ,27 years 349 days
1,84, , , ,27 years 352 days
