Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2007-06-23,Ireland,Civil Service Cricket Club,did not bat,,0.0,1,1,0.0,0.0,0.0,20,0,Belfast,Ireland
2007-06-26,South Africa,Civil Service Cricket Club,b J H Kallis,8.0,88.89,1,2,0.0,0.0,0.0,20,J H Kallis,Belfast,Ireland
2007-05-10,Australia,Rajiv Gandhi International Stadium,c B Lee b J R Hopes,1.0,25.0,0,2,0.0,0.0,0.0,20,J R Hopes,Hyderabad,India
2019-02-03,Australia,Rajiv Gandhi International Stadium,0,37.0,56.06,0,73,0.0,0.0,0.0,31,0,Hyderabad,India
2007-11-18,Pakistan,Sawai Mansingh Stadium,c Yasir Hameed b Shoaib Malik,52.0,85.25,1,3,0.0,0.0,0.0,20,Shoaib Malik,Jaipur,India
2013-10-16,Australia,Sawai Mansingh Stadium,not out,141.0,114.63,0,35,0.0,0.0,0.0,26,0,Jaipur,India
2008-03-02,Australia,Brisbane Cricket Ground,c †A C Gilchrist b B Lee,29.0,67.44,0,3,0.0,0.0,0.0,20,B Lee,Brisbane,Australia
2008-04-02,Sri Lanka,Brisbane Cricket Ground,c †K C Sangakkara b M Muralitharan,0.0,0.0,0,3,0.0,0.0,0.0,20,M Muralitharan,Brisbane,Australia
2008-04-03,Australia,Brisbane Cricket Ground,c A Symonds b M J Clarke,2.0,40.0,0,8,0.0,0.0,0.0,20,M J Clarke,Brisbane,Australia
2012-02-19,Australia,Brisbane Cricket Ground,c †M S Wade b B Lee,0.0,0.0,1,29,0.0,0.0,0.0,24,B Lee,Brisbane,Australia
2016-01-15,Australia,Brisbane Cricket Ground,run out,124.0,97.64,0,49,0.0,0.0,0.0,28,0,Brisbane,Australia
2008-10-02,Australia,Melbourne Cricket Ground,not out,39.0,63.93,1,4,0.0,0.0,0.0,20,0,Melbourne,Australia
2012-05-02,Australia,Melbourne Cricket Ground,c †M S Wade b C J McKay,21.0,100.0,0,26,0.0,0.0,0.0,24,C J McKay,Melbourne,Australia
2015-01-18,Australia,Melbourne Cricket Ground,c G J Maxwell b M A Starc,138.0,99.28,0,43,0.0,0.0,0.0,27,M A Starc,Melbourne,Australia
2015-02-22,South Africa,Melbourne Cricket Ground,run out,0.0,0.0,0,43,0.0,0.0,0.0,27,0,Melbourne,Australia
2015-03-19,Bangladesh,Melbourne Cricket Ground,b Taskin Ahmed,137.0,108.73,0,44,0.0,0.0,0.0,27,Taskin Ahmed,Melbourne,Australia
2016-01-17,Australia,Melbourne Cricket Ground,c †M S Wade b K W Richardson,6.0,54.55,0,49,0.0,0.0,0.0,28,K W Richardson,Melbourne,Australia
2019-01-18,Australia,Melbourne Cricket Ground,c S E Marsh b P M Siddle,9.0,52.94,1,71,0.0,0.0,0.0,31,P M Siddle,Melbourne,Australia
2008-12-02,Sri Lanka,Manuka Oval,not out,70.0,109.38,0,4,0.0,0.0,0.0,20,0,Canberra,Australia
2016-01-20,Australia,Manuka Oval,c †M S Wade b K W Richardson,41.0,164.0,1,50,0.0,0.0,0.0,28,K W Richardson,Canberra,Australia
2008-02-17,Australia,Adelaide Oval,c †A C Gilchrist b J R Hopes,1.0,33.33,1,5,0.0,0.0,0.0,20,J R Hopes,Adelaide,Australia
2008-02-19,Sri Lanka,Adelaide Oval,c L P C Silva b M Muralitharan,24.0,66.67,0,5,0.0,0.0,0.0,20,M Muralitharan,Adelaide,Australia
2012-12-02,Australia,Adelaide Oval,c M A Starc b R J Harris,33.0,80.49,0,28,0.0,0.0,0.0,24,R J Harris,Adelaide,Australia
2012-02-14,Sri Lanka,Adelaide Oval,run out,15.0,55.56,0,28,0.0,0.0,0.0,24,0,Adelaide,Australia
2015-02-15,Pakistan,Adelaide Oval,0,15.0,75.0,0,43,0.0,0.0,0.0,27,Sohail Khan,Adelaide,Australia
2019-01-15,Australia,Adelaide Oval,c P S P Handscomb b M P Stoinis,43.0,82.69,0,70,0.0,0.0,0.0,31,b M P Stoinis,Adelaide,Australia
2008-02-26,Sri Lanka,Bellerive Oval,not out,3.0,42.86,1,7,0.0,0.0,0.0,20,0,Hobart,Australia
2008-06-25,Hong Kong,National Stadium,run out,11.0,37.93,0,10,0.0,0.0,0.0,21,0,Karachi,Pakistan
2008-06-26,Pakistan,National Stadium,not out,0.0,0.0,0,10,0.0,0.0,0.0,21,0,Karachi,Pakistan
2008-06-28,Bangladesh,National Stadium,c Farhad Reza b Shahadat Hossain,22.0,95.65,0,10,0.0,0.0,0.0,21,Shahadat Hossain,Karachi,Pakistan
