Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2016-01-23,Australia,Feroz Shah Kotla,did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,Delhi,India
2018-10-02,South Africa,Feroz Shah Kotla,did not bat,,0.0,1,10,0.0,0.0,0.0,24,0,Delhi,India
2016-11-06,Zimbabwe,Nehru Stadium (Kochi),did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,Kochi,India
2017-06-15,Bangladesh,Nehru Stadium (Kochi),did not bat,,0.0,0,3,0.0,0.0,0.0,23,0,Kochi,India
2018-07-02,South Africa,Nehru Stadium (Kochi),did not bat,,0.0,0,9,0.0,0.0,0.0,24,0,Kochi,India
2016-06-13,Zimbabwe,JSCA International Stadium Complex,did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,Ranchi,India
2017-04-06,Pakistan,JSCA International Stadium Complex,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Ranchi,India
2016-06-15,Zimbabwe,Punjab Cricket Association IS Bindra Stadium,did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,"Mohali, Chandigarh",India
2016-10-16,New Zealand,Himachal Pradesh Cricket Association Stadium,did not bat,,0.0,0,0,0.0,0.0,0.0,22,0,Dharamsala,India
2018-02-13,South Africa,Himachal Pradesh Cricket Association Stadium,did not bat,,0.0,1,11,0.0,0.0,0.0,24,0,Dharamsala,India
2016-10-20,New Zealand,Sabina Park,b T G Southee,0.0,0.0,0,0,0.0,0.0,0.0,23,T G Southee,"Kingston, Jamaica",West Indies
2019-03-13,Australia,Sabina Park,not out,1.0,25.0,0,16,0.0,0.0,0.0,27,0,"Kingston, Jamaica",West Indies
2016-10-23,New Zealand,Harare Sports Club,did not bat,,0.0,0,0,0.0,0.0,0.0,23,0,Harare,Zimbabwe
2016-10-29,New Zealand,Harare Sports Club,did not bat,,0.0,1,1,0.0,0.0,0.0,23,0,Harare,Zimbabwe
2017-01-15,England,Harare Sports Club,did not bat,,0.0,1,2,0.0,0.0,0.0,23,0,Harare,Zimbabwe
2017-01-19,England,Queens Sports Club,did not bat,,0.0,0,2,0.0,0.0,0.0,23,0,Bulawayo,Zimbabwe
2017-01-22,England,Queens Sports Club,not out,0.0,0.0,0,2,0.0,0.0,0.0,23,0,Bulawayo,Zimbabwe
2017-11-06,South Africa,M Chinnaswamy Stadium,did not bat,,0.0,1,3,0.0,0.0,0.0,23,0,"Bengaluru, Bangalore",India
2017-06-18,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,c †Sarfraz Ahmed b Hasan Ali,1.0,11.11,0,3,0.0,0.0,0.0,23,Hasan Ali,Visakhapatnam,India
2017-08-20,Sri Lanka,Green Park,did not bat,,0.0,0,3,0.0,0.0,0.0,23,0,Kanpur,India
2017-08-24,Sri Lanka,New Wanderers Stadium,did not bat,,0.0,0,3,0.0,0.0,0.0,23,0,Johannesburg,South Africa
2017-08-27,Sri Lanka,Kingsmead,did not bat,,0.0,0,3,0.0,0.0,0.0,23,0,Durban,South Africa
2017-03-09,Sri Lanka,McLean Park,did not bat,,0.0,1,4,0.0,0.0,0.0,23,0,Napier,New Zealand
2017-09-17,Australia,Seddon Park,did not bat,,0.0,2,6,0.0,0.0,0.0,23,0,Hamilton,New Zealand
2017-09-24,Australia,Seddon Park,did not bat,,0.0,0,6,0.0,0.0,0.0,23,0,Hamilton,New Zealand
2018-01-11,West Indies,Seddon Park,did not bat,,0.0,1,14,0.0,0.0,0.0,25,0,Hamilton,New Zealand
2017-09-21,Australia,Eden Park,not out,10.0,166.67,0,6,0.0,0.0,0.0,23,0,Auckland,New Zealand
2019-02-03,Australia,Eden Park,did not bat,,0.0,0,14,0.0,0.0,0.0,25,0,Auckland,New Zealand
2017-10-22,New Zealand,Khan Shaheb Osman Ali Stadium,did not bat,,0.0,1,8,0.0,0.0,0.0,23,0,Fatullah,Bangladesh
2017-10-25,New Zealand,Khan Shaheb Osman Ali Stadium,did not bat,,0.0,0,8,0.0,0.0,0.0,23,0,Fatullah,Bangladesh
2018-01-02,South Africa,Edgbaston,did not bat,,0.0,0,9,0.0,0.0,0.0,24,0,Birmingham,England
2018-04-02,South Africa,Headingley,did not bat,,0.0,0,9,0.0,0.0,0.0,24,0,Leeds,England
2018-02-16,South Africa,Melbourne Cricket Ground,did not bat,,0.0,0,11,0.0,0.0,0.0,24,0,Melbourne,Australia
2018-10-27,West Indies,Melbourne Cricket Ground,c J O Holder b M N Samuels,0.0,0.0,1,12,0.0,0.0,0.0,24,M N Samuels,Melbourne,Australia
2019-05-03,Australia,Melbourne Cricket Ground,0,0.0,0.0,2,16,0.0,0.0,0.0,25,0,Melbourne,Australia
2018-09-19,Pakistan,Brisbane Cricket Ground,did not bat,,0.0,0,11,0.0,0.0,0.0,24,0,Brisbane,Australia
2018-09-28,Bangladesh,Adelaide Oval,did not bat,,0.0,0,11,0.0,0.0,0.0,24,0,Adelaide,Australia
