Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2010-10-20,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,b C J McKay,0,0.0,0,0,0.0,0.0,0.0,24,C J McKay,Visakhapatnam,India
2013-11-24,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,lbw b V Permaul,35,94.59,1,11,0.0,0.0,0.0,27,V Permaul,Visakhapatnam,India
2017-12-17,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,not out,100,117.65,1,45,0.0,0.0,0.0,32,0,Visakhapatnam,India
2018-10-24,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,lbw b A R Nurse,29,96.67,0,54,0.0,0.0,0.0,32,A R Nurse,Visakhapatnam,India
2011-06-06,West Indies,Queen's Park Oval,c L M P Simmons b A Martin,51,67.11,0,0,0.0,0.0,0.0,25,A Martin,0,West Indies
2011-08-06,West Indies,Queen's Park Oval,c K A Pollard b R Rampaul,3,75.0,0,0,0.0,0.0,0.0,25,R Rampaul,0,West Indies
2013-05-07,West Indies,Queen's Park Oval,c D M Bravo b K A J Roach,69,89.61,0,4,0.0,0.0,0.0,27,K A J Roach,0,West Indies
2013-09-07,Sri Lanka,Queen's Park Oval,c D P M D Jayawardene b A D Mathews,15,93.75,0,4,0.0,0.0,0.0,27,A D Mathews,0,West Indies
2013-11-07,Sri Lanka,Queen's Park Oval,c †K C Sangakkara b R M S Eranga,16,45.71,0,4,0.0,0.0,0.0,27,R M S Eranga,0,West Indies
2017-06-23,West Indies,Queen's Park Oval,lbw b D Bishoo,87,94.57,0,36,0.0,0.0,0.0,31,D Bishoo,0,West Indies
2017-06-25,West Indies,Queen's Park Oval,st S D Hope b A R Nurse,63,106.78,0,36,0.0,0.0,0.0,31,A R Nurse,0,West Indies
2011-06-16,West Indies,Sabina Park,c R R Sarwan b K A J Roach,11,42.31,0,1,0.0,0.0,0.0,25,K A J Roach,"Kingston, Jamaica",West Indies
2013-06-30,West Indies,Sabina Park,c & b K A J Roach,11,110.0,2,4,0.0,0.0,0.0,27,K A J Roach,"Kingston, Jamaica",West Indies
2013-02-07,Sri Lanka,Sabina Park,c W U Tharanga b H M R K B Herath,24,57.14,0,4,0.0,0.0,0.0,27,H M R K B Herath,"Kingston, Jamaica",West Indies
2017-06-07,West Indies,Sabina Park,c E Lewis b A S Joseph,4,133.33,2,38,0.0,0.0,0.0,31,A S Joseph,"Kingston, Jamaica",West Indies
2013-11-06,West Indies,Kennington Oval,not out,102,95.33,0,1,0.0,0.0,0.0,27,0,London,England
