Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2010-05-28,Zimbabwe,Queens Sports Club,did not bat,,0.0,1,1,0.0,0.0,0.0,22,0,Bulawayo,Zimbabwe
2010-05-30,Sri Lanka,Queens Sports Club,did not bat,,0.0,0,1,0.0,0.0,0.0,22,0,Bulawayo,Zimbabwe
2010-03-06,Zimbabwe,Harare Sports Club,not out,3.0,100.0,0,1,0.0,0.0,0.0,22,0,Harare,Zimbabwe
2011-10-14,England,Rajiv Gandhi International Stadium,did not bat,,0.0,0,1,0.0,0.0,0.0,23,0,Hyderabad,India
2014-09-11,Sri Lanka,Rajiv Gandhi International Stadium,did not bat,,0.0,1,7,0.0,0.0,0.0,27,0,Hyderabad,India
2011-10-17,England,Feroz Shah Kotla,did not bat,,0.0,0,1,0.0,0.0,0.0,23,0,Delhi,India
2014-11-10,West Indies,Feroz Shah Kotla,did not bat,,0.0,0,6,0.0,0.0,0.0,26,0,Delhi,India
2016-10-20,New Zealand,Feroz Shah Kotla,not out,18.0,78.26,0,17,0.0,0.0,0.0,28,0,Delhi,India
2011-10-20,England,Punjab Cricket Association IS Bindra Stadium,did not bat,,0.0,0,1,0.0,0.0,0.0,23,0,"Mohali, Chandigarh",India
2016-10-23,New Zealand,Punjab Cricket Association IS Bindra Stadium,did not bat,,0.0,0,17,0.0,0.0,0.0,28,0,"Mohali, Chandigarh",India
2011-11-29,West Indies,Barabati Stadium,not out,6.0,66.67,1,2,0.0,0.0,0.0,24,0,Cuttack,India
2014-02-11,Sri Lanka,Barabati Stadium,did not bat,,0.0,0,6,0.0,0.0,0.0,27,0,Cuttack,India
2011-02-12,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,,0.0,0,2,0.0,0.0,0.0,24,0,Visakhapatnam,India
2016-10-29,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,,0.0,0,17,0.0,0.0,0.0,29,0,Visakhapatnam,India
2018-10-24,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,,0.0,0,22,0.0,0.0,0.0,30,0,Visakhapatnam,India
2011-05-12,West Indies,Sardar Patel Stadium,not out,11.0,110.0,0,2,0.0,0.0,0.0,24,0,Ahmedabad,India
