Date,Versus,Ground,How Dismissed,Runs,S/R,catches,aggregate,catches_wk,stumping_wk,agg_wk,age,who_dismissed,played_city,played_country
2011-03-09,Sri Lanka,Rangiri Dambulla International Stadium,lbw b K M D N Kulasekara,12.0,54.55,0,0,0.0,0.0,0.0,19,K M D N Kulasekara,Dambulla,Sri Lanka
2011-06-09,Sri Lanka,Rangiri Dambulla International Stadium,c C K Kapugedera b T Thushara,37.0,55.22,3,3,0.0,0.0,0.0,19,T Thushara,Dambulla,Sri Lanka
2014-06-15,Bangladesh,Rangiri Dambulla International Stadium,st Mushfiqur Rahim b Shakib Al Hasan,11.0,50.0,0,14,0.0,0.0,0.0,21,Shakib Al Hasan,Dambulla,Sri Lanka
2014-06-17,Pakistan,Rangiri Dambulla International Stadium,b Saeed Ajmal,18.0,66.67,1,15,0.0,0.0,0.0,21,Saeed Ajmal,Dambulla,Sri Lanka
2014-06-19,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b M F Maharoof,10.0,71.43,0,15,0.0,0.0,0.0,21,M F Maharoof,Dambulla,Sri Lanka
2014-08-27,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b S L Malinga,28.0,82.35,0,15,0.0,0.0,0.0,21,S L Malinga,Dambulla,Sri Lanka
2014-08-30,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b C R D Fernando,0.0,0.0,0,15,0.0,0.0,0.0,21,C R D Fernando,Dambulla,Sri Lanka
2014-02-09,New Zealand,Rangiri Dambulla International Stadium,c †G J Hopkins b T G Southee,8.0,50.0,0,15,0.0,0.0,0.0,21,T G Southee,Dambulla,Sri Lanka
2014-05-09,Sri Lanka,Rangiri Dambulla International Stadium,c A D Mathews b N L T C Perera,37.0,64.91,0,15,0.0,0.0,0.0,21,N L T C Perera,Dambulla,Sri Lanka
2011-09-09,Sri Lanka,R Premadasa Stadium,run out,25.0,65.79,0,3,0.0,0.0,0.0,19,0,Colombo,Sri Lanka
2011-11-09,Sri Lanka,R Premadasa Stadium,b T Thushara,54.0,81.82,0,3,0.0,0.0,0.0,19,T Thushara,Colombo,Sri Lanka
2011-09-16,Sri Lanka,R Premadasa Stadium,lbw b K M D N Kulasekara,31.0,67.39,0,3,0.0,0.0,0.0,19,K M D N Kulasekara,Colombo,Sri Lanka
2011-10-14,Sri Lanka,R Premadasa Stadium,not out,2.0,100.0,0,3,0.0,0.0,0.0,20,0,Colombo,Sri Lanka
2018-10-02,Sri Lanka,R Premadasa Stadium,c & b H M R K B Herath,38.0,58.46,1,47,0.0,0.0,0.0,23,H M R K B Herath,Colombo,Sri Lanka
2018-02-13,Sri Lanka,R Premadasa Stadium,not out,128.0,107.56,1,48,0.0,0.0,0.0,23,0,Colombo,Sri Lanka
2011-10-23,West Indies,New Wanderers Stadium,not out,79.0,75.96,0,4,0.0,0.0,0.0,20,0,Johannesburg,South Africa
2014-11-16,South Africa,New Wanderers Stadium,run out,22.0,64.71,0,16,0.0,0.0,0.0,22,0,Johannesburg,South Africa
2011-10-25,Australia,Reliance Stadium,c S R Watson b A C Voges,30.0,73.17,1,5,0.0,0.0,0.0,20,A C Voges,Vadodara,India
2014-02-11,New Zealand,Reliance Stadium,not out,63.0,90.0,0,16,0.0,0.0,0.0,22,0,Vadodara,India
2011-11-12,Australia,Punjab Cricket Association IS Bindra Stadium,c †G A Manou b D E Bollinger,10.0,62.5,0,5,0.0,0.0,0.0,20,D E Bollinger,"Mohali, Chandigarh",India
2015-03-19,Pakistan,Punjab Cricket Association IS Bindra Stadium,c Umar Akmal b Wahab Riaz,9.0,42.86,1,23,0.0,0.0,0.0,22,Wahab Riaz,"Mohali, Chandigarh",India
2016-01-20,England,Punjab Cricket Association IS Bindra Stadium,lbw b G P Swann,35.0,116.67,0,32,0.0,0.0,0.0,22,G P Swann,"Mohali, Chandigarh",India
2012-04-08,Sri Lanka,Madhavrao Scindia Cricket Ground,b U W M B C A Welegedara,27.0,142.11,0,5,0.0,0.0,0.0,21,U W M B C A Welegedara,Rajkot,India
2013-11-01,Sri Lanka,Eden Gardens,c sub b S Randiv,107.0,93.86,1,7,0.0,0.0,0.0,21,b S Randiv,Kolkata,India
2016-10-20,England,Eden Gardens,b S T Finn,0.0,0.0,1,34,0.0,0.0,0.0,22,S T Finn,Kolkata,India
2013-01-15,Sri Lanka,Feroz Shah Kotla,did not bat,,0.0,0,7,0.0,0.0,0.0,21,0,Delhi,India
2015-02-28,Netherlands,Feroz Shah Kotla,b P W Borren,12.0,60.0,0,21,0.0,0.0,0.0,22,P W Borren,Delhi,India
2016-01-17,England,Feroz Shah Kotla,not out,112.0,114.29,2,32,0.0,0.0,0.0,22,0,Delhi,India
2014-01-25,South Africa,Sawai Mansingh Stadium,c H H Gibbs b J A Morkel,31.0,67.39,1,12,0.0,0.0,0.0,21,J A Morkel,Jaipur,India
2014-10-17,New Zealand,Sawai Mansingh Stadium,c L R P L Taylor b A J McKay,64.0,87.67,1,16,0.0,0.0,0.0,22,A J McKay,Jaipur,India
2014-01-28,South Africa,Captain Roop Singh Stadium,did not bat,,0.0,0,12,0.0,0.0,0.0,21,0,Gwalior,India
